"099年06月01日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2337  ","旺宏            ","2,504,000","0","2,504,000",
" ","2384  ","勝華            ","2,040,000","0","2,040,000",
" ","2489  ","瑞軒            ","1,361,000","0","1,361,000",
" ","3037  ","欣興            ","1,226,000","56,000","1,170,000",
" ","2610  ","華航            ","1,030,000","0","1,030,000",
" ","2303  ","聯電            ","807,000","0","807,000",
" ","2379  ","瑞昱            ","904,000","200,000","704,000",
" ","2474  ","可成            ","746,000","147,000","599,000",
" ","2353  ","宏碁            ","570,000","0","570,000",
" ","1802  ","台玻            ","500,000","0","500,000",
" ","2547  ","日勝生          ","500,000","0","500,000",
" ","2915  ","潤泰全          ","500,000","0","500,000",
" ","2603  ","長榮            ","490,000","0","490,000",
" ","2350  ","環電            ","480,000","0","480,000",
" ","6285  ","啟碁            ","478,000","0","478,000",
" ","3043  ","科風            ","450,000","0","450,000",
" ","4904  ","遠傳            ","442,000","0","442,000",
" ","3189  ","景碩            ","439,000","0","439,000",
" ","3034  ","聯詠            ","433,000","0","433,000",
" ","2704  ","國賓            ","401,000","0","401,000",
" ","2601  ","益航            ","330,000","0","330,000",
" ","3596  ","智易            ","359,000","30,000","329,000",
" ","2324  ","仁寶            ","327,000","0","327,000",
" ","8131  ","福懋科          ","310,000","5,000","305,000",
" ","3017  ","奇鋐            ","300,000","0","300,000",
" ","2049  ","上銀            ","298,000","0","298,000",
" ","2104  ","國際中橡        ","251,000","0","251,000",
" ","3035  ","智原            ","250,000","0","250,000",
" ","3061  ","璨圓            ","330,000","103,159","226,841",
" ","3231  ","緯創            ","211,000","0","211,000",
" ","3450  ","聯鈞            ","210,000","0","210,000",
" ","2908  ","特力            ","200,000","0","200,000",
" ","1733  ","五鼎            ","182,000","0","182,000",
" ","2421  ","建準            ","166,000","0","166,000",
" ","2308  ","台達電          ","150,000","0","150,000",
" ","3045  ","台灣大          ","139,000","0","139,000",
" ","3406  ","玉晶光          ","138,000","0","138,000",
" ","2103  ","台橡            ","314,000","182,000","132,000",
" ","6202  ","盛群            ","128,000","0","128,000",
" ","3638  ","F-IML           ","126,000","0","126,000",
" ","2845  ","遠東銀          ","114,000","0","114,000",
" ","5534  ","長虹            ","114,000","0","114,000",
" ","2890  ","永豐金          ","113,000","0","113,000",
" ","2393  ","億光            ","150,000","40,000","110,000",
" ","6286  ","立錡            ","106,000","0","106,000",
" ","6271  ","同欣電          ","104,000","0","104,000",
" ","2880  ","華南金          ","101,000","0","101,000",
" ","6192  ","巨路            ","100,000","0","100,000",
" ","6206  ","飛捷            ","100,000","0","100,000",
" ","6209  ","今國光          ","100,000","0","100,000",
" ","6282  ","康舒            ","85,000","0","85,000",
" ","2481  ","強茂            ","80,000","0","80,000",
" ","2912  ","統一超          ","78,000","0","78,000",
" ","910322","康師傅-DR       ","70,000","0","70,000",
" ","9904  ","寶成            ","62,000","0","62,000",
" ","2301  ","光寶科          ","51,000","0","51,000",
" ","2707  ","晶華            ","51,000","0","51,000",
" ","2423  ","固緯            ","50,000","0","50,000",
" ","3494  ","誠研            ","50,000","0","50,000",
" ","3533  ","嘉澤            ","100,000","50,000","50,000",
" ","9910  ","豐泰            ","49,000","0","49,000",
" ","3573  ","穎台            ","45,000","0","45,000",
" ","2820  ","華票            ","44,000","0","44,000",
" ","4133  ","亞諾法          ","36,000","0","36,000",
" ","1723  ","中碳            ","34,000","0","34,000",
" ","2439  ","美律            ","33,000","0","33,000",
" ","3015  ","全漢            ","33,000","0","33,000",
" ","2548  ","華固            ","29,000","0","29,000",
" ","3031  ","佰鴻            ","29,000","0","29,000",
" ","1473  ","台南            ","30,000","6,000","24,000",
" ","2451  ","創見            ","100,000","77,000","23,000",
" ","2428  ","興勤            ","22,000","0","22,000",
" ","6168  ","宏齊            ","22,000","0","22,000",
" ","6605  ","帝寶            ","12,000","0","12,000",
" ","1537  ","廣隆            ","8,000","0","8,000",
" ","2854  ","寶來證          ","7,000","0","7,000",
" ","1531  ","高林股          ","6,000","0","6,000",
" ","1722  ","台肥            ","6,000","0","6,000",
" ","6145  ","勁永            ","6,000","0","6,000",
" ","2883  ","開發金          ","5,000","0","5,000",
" ","2614  ","東森            ","4,000","0","4,000",
" ","2833  ","台壽保          ","4,000","0","4,000",
" ","6116  ","彩晶            ","3,000","0","3,000",
" ","6505  ","台塑化          ","3,000","0","3,000",
" ","1309  ","台達化          ","2,000","0","2,000",
" ","1314  ","中石化          ","2,000","0","2,000",
" ","1434  ","福懋            ","2,000","0","2,000",
" ","1504  ","東元            ","2,000","0","2,000",
" ","1605  ","華新            ","2,000","0","2,000",
" ","1904  ","正隆            ","2,000","0","2,000",
" ","2344  ","華邦電          ","2,000","0","2,000",
" ","2812  ","台中銀          ","2,000","0","2,000",
" ","2834  ","臺企銀          ","2,000","0","2,000",
" ","2887  ","台新金          ","2,000","0","2,000",
" ","2889  ","國票金          ","2,000","0","2,000",
" ","3703  ","欣陸            ","2,000","0","2,000",
" ","8078  ","華寶            ","2,000","0","2,000",
" ","8926  ","台汽電          ","2,000","0","2,000",
" ","1103  ","嘉泥            ","1,000","0","1,000",
" ","1104  ","環泥            ","1,000","0","1,000",
" ","1201  ","味全            ","1,000","0","1,000",
" ","1229  ","聯華            ","1,000","0","1,000",
" ","1234  ","黑松            ","1,000","0","1,000",
" ","1312  ","國喬            ","1,000","0","1,000",
" ","1315  ","達新            ","1,000","0","1,000",
" ","1409  ","新纖            ","1,000","0","1,000",
" ","1444  ","力麗            ","1,000","0","1,000",
" ","1451  ","年興            ","1,000","0","1,000",
" ","1507  ","永大            ","1,000","0","1,000",
" ","1532  ","勤美            ","1,000","0","1,000",
" ","1604  ","聲寶            ","1,000","0","1,000",
" ","1608  ","華榮            ","1,000","0","1,000",
" ","1709  ","和益            ","1,000","0","1,000",
" ","1736  ","喬山            ","1,000","0","1,000",
" ","1907  ","永豐餘          ","1,000","0","1,000",
" ","1909  ","榮成            ","1,000","0","1,000",
" ","2015  ","豐興            ","1,000","0","1,000",
" ","2023  ","燁輝            ","1,000","0","1,000",
" ","2027  ","大成鋼          ","1,000","0","1,000",
" ","2062  ","橋椿            ","1,000","0","1,000",
" ","2201  ","裕隆            ","1,000","0","1,000",
" ","2204  ","中華            ","1,000","0","1,000",
" ","2206  ","三陽工業        ","1,000","0","1,000",
" ","2312  ","金寶            ","1,000","0","1,000",
" ","2315  ","神達            ","1,000","0","1,000",
" ","2323  ","中環            ","1,000","0","1,000",
" ","2331  ","精英            ","1,000","0","1,000",
" ","2345  ","智邦            ","1,000","0","1,000",
" ","2352  ","佳世達          ","1,000","0","1,000",
" ","2360  ","致茂            ","1,000","0","1,000",
" ","2363  ","矽統            ","1,000","0","1,000",
" ","2371  ","大同            ","1,000","0","1,000",
" ","2376  ","技嘉            ","1,000","0","1,000",
" ","2382  ","廣達            ","1,000","0","1,000",
" ","2399  ","映泰            ","1,000","0","1,000",
" ","2449  ","京元電子        ","1,000","0","1,000",
" ","2458  ","義隆            ","1,000","0","1,000",
" ","2504  ","國產            ","1,000","0","1,000",
" ","2515  ","中工            ","1,000","0","1,000",
" ","2534  ","宏盛            ","1,000","0","1,000",
" ","2607  ","榮運            ","1,000","0","1,000",
" ","2615  ","萬海            ","1,000","0","1,000",
" ","2801  ","彰銀            ","1,000","0","1,000",
" ","2809  ","京城銀          ","1,000","0","1,000",
" ","2823  ","中壽            ","1,000","0","1,000",
" ","2836  ","高雄銀          ","1,000","0","1,000",
" ","2838  ","聯邦銀          ","1,000","0","1,000",
" ","2847  ","大眾銀          ","1,000","0","1,000",
" ","2849  ","安泰銀          ","1,000","0","1,000",
" ","2884  ","玉山金          ","1,000","0","1,000",
" ","2905  ","三商            ","1,000","0","1,000",
" ","3028  ","增你強          ","1,000","0","1,000",
" ","3059  ","華晶科          ","1,000","0","1,000",
" ","3474  ","華亞科          ","1,000","0","1,000",
" ","3561  ","昇陽光電        ","1,000","0","1,000",
" ","4725  ","信昌化          ","1,000","0","1,000",
" ","4906  ","正文            ","1,000","0","1,000",
" ","5533  ","皇鼎            ","1,000","0","1,000",
" ","5854  ","合庫            ","1,000","0","1,000",
" ","6005  ","群益證          ","1,000","0","1,000",
" ","6012  ","金鼎證          ","1,000","0","1,000",
" ","6189  ","豐藝            ","1,000","0","1,000",
" ","6191  ","精成科          ","1,000","0","1,000",
" ","9907  ","統一實          ","1,000","0","1,000",
" ","9908  ","大台北          ","1,000","0","1,000",
" ","9919  ","康那香          ","1,000","0","1,000",
" ","2892  ","第一金          ","1,000","250","750",
" ","2888  ","新光金          ","1,000","803","197",
" ","2891  ","中信金          ","423,000","5,977,000","-5,554,000",
" ","6213  ","聯茂            ","1,000","3,545,000","-3,544,000",
" ","2002  ","中鋼            ","3,000","3,522,000","-3,519,000",
" ","2383  ","台光電          ","1,000","2,694,000","-2,693,000",
" ","2022  ","聚亨            ","0","2,686,000","-2,686,000",
" ","2409  ","友達            ","3,000","2,177,000","-2,174,000",
" ","1905  ","華紙            ","0","1,981,000","-1,981,000",
" ","2882  ","國泰金          ","3,000","1,852,000","-1,849,000",
" ","3481  ","群創            ","579,000","2,426,000","-1,847,000",
" ","2448  ","晶電            ","140,000","1,581,000","-1,441,000",
" ","2609  ","陽明            ","0","1,045,000","-1,045,000",
" ","2903  ","遠百            ","0","1,000,000","-1,000,000",
" ","2014  ","中鴻            ","2,000","1,000,000","-998,000",
" ","1447  ","力鵬            ","8,000","1,000,000","-992,000",
" ","2031  ","新光鋼          ","1,000","973,000","-972,000",
" ","2317  ","鴻海            ","106,000","1,063,000","-957,000",
" ","2347  ","聯強            ","0","915,000","-915,000",
" ","2885  ","元大金          ","2,000","863,000","-861,000",
" ","3042  ","晶技            ","350,000","1,101,000","-751,000",
" ","6269  ","台郡            ","105,000","840,000","-735,000",
" ","1304  ","台聚            ","2,000","700,000","-698,000",
" ","6120  ","達運            ","0","650,000","-650,000",
" ","1303  ","南亞            ","2,000","634,000","-632,000",
" ","2499  ","東貝            ","15,000","541,000","-526,000",
" ","1313  ","聯成            ","1,000","506,000","-505,000",
" ","1308  ","亞聚            ","0","500,000","-500,000",
" ","912398","友佳-DR         ","100,000","570,000","-470,000",
" ","2855  ","統一證          ","0","458,000","-458,000",
" ","1301  ","台塑            ","1,000","450,000","-449,000",
" ","1319  ","東陽            ","522,000","960,500","-438,500",
" ","1227  ","佳格            ","0","416,000","-416,000",
" ","2408  ","南亞科          ","0","400,000","-400,000",
" ","1704  ","榮化            ","0","390,000","-390,000",
" ","3514  ","昱晶            ","1,000","385,000","-384,000",
" ","2369  ","菱生            ","0","350,000","-350,000",
" ","6176  ","瑞儀            ","0","350,000","-350,000",
" ","2412  ","中華電          ","731,000","1,052,000","-321,000",
" ","2009  ","第一銅          ","1,000","300,000","-299,000",
" ","2385  ","群光            ","0","280,000","-280,000",
" ","2441  ","超豐            ","29,000","300,000","-271,000",
" ","8103  ","瀚荃            ","0","262,000","-262,000",
" ","3579  ","尚志            ","0","260,000","-260,000",
" ","2886  ","兆豐金          ","2,000","258,000","-256,000",
" ","3094  ","聯傑            ","0","250,000","-250,000",
" ","910579","歐聖            ","0","250,000","-250,000",
" ","2881  ","富邦金          ","3,000","250,000","-247,000",
" ","6239  ","力成            ","16,000","250,000","-234,000",
" ","2485  ","兆赫            ","0","233,000","-233,000",
" ","1326  ","台化            ","2,000","230,000","-228,000",
" ","3022  ","威強電          ","0","220,000","-220,000",
