"098年10月06日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="0050  ","元大台灣50      ","5,933,000","741,000","5,192,000",
"2473  ","思源            ","1,695,000","0","1,695,000",
"2315  ","神達            ","2,113,000","430,000","1,683,000",
"2890  ","永豐金          ","2,206,000","896,000","1,310,000",
="03343 ","元富KH          ","1,389,000","106,000","1,283,000",
"2603  ","長榮            ","1,694,000","412,000","1,282,000",
="04198 ","富邦DH          ","1,450,000","219,000","1,231,000",
="04420 ","永豐8K          ","1,420,000","242,000","1,178,000",
="03802 ","大華KQ          ","1,121,000","7,000","1,114,000",
="03527 ","永豐3B          ","1,093,000","62,000","1,031,000",
="04202 ","元大BD          ","1,289,000","276,000","1,013,000",
"2363  ","矽統            ","2,082,000","1,088,000","994,000",
="07674 ","永豐73          ","960,000","10,000","950,000",
="03641 ","大華JK          ","935,000","0","935,000",
="03855 ","元大81          ","946,000","71,000","875,000",
"9136  ","巨騰-DR         ","880,000","23,000","857,000",
"2610  ","華航            ","1,000,000","150,000","850,000",
="07843 ","統一L3          ","841,000","0","841,000",
="04024 ","兆豐F3          ","1,150,000","317,000","833,000",
"1710  ","東聯            ","1,205,000","441,000","764,000",
="04608 ","元大DG          ","1,585,000","841,000","744,000",
="03199 ","統一BL          ","753,000","10,000","743,000",
="08148P","貿聯國票8C售05  ","902,000","177,000","725,000",
="04127 ","兆豐G1          ","1,063,000","339,000","724,000",
="08130 ","群益J7          ","1,062,000","351,000","711,000",
="03023 ","日盛MD          ","844,000","151,000","693,000",
="03584P","鴻海元大92售12  ","776,000","103,000","673,000",
="03570 ","凱基BY          ","921,000","271,000","650,000",
="03423 ","第一40          ","648,000","0","648,000",
="03168 ","群益G8          ","852,000","206,000","646,000",
="07704 ","大華FE          ","739,000","106,000","633,000",
="04092 ","凱基3U          ","731,000","99,000","632,000",
"1402  ","遠東新          ","1,447,000","839,341","607,659",
="05148 ","統一GY          ","589,000","1,000","588,000",
"6120  ","達運            ","780,000","196,000","584,000",
"3059  ","華晶科          ","602,000","27,000","575,000",
="04426 ","大華ND          ","594,000","20,000","574,000",
"9105  ","泰金寶-DR       ","653,000","101,000","552,000",
"2312  ","金寶            ","594,000","53,000","541,000",
="07773P","臺股指元大8B售14","539,000","0","539,000",
="05261 ","工銀FW          ","537,000","0","537,000",
"2891  ","中信金          ","1,878,000","1,342,000","536,000",
"2426  ","鼎元            ","508,000","0","508,000",
"3026  ","禾伸堂          ","502,000","0","502,000",
="03968 ","永豐5P          ","829,000","335,000","494,000",
"2439  ","美律            ","510,000","21,000","489,000",
="03266 ","寶來68          ","524,000","36,000","488,000",
="04683 ","元大DW          ","879,000","396,000","483,000",
"3189  ","景碩            ","723,000","241,000","482,000",
"2328  ","廣宇            ","890,000","409,000","481,000",
="07996 ","永豐94          ","476,000","0","476,000",
="03499 ","群益K9          ","484,000","10,000","474,000",
="03552 ","日盛NH          ","536,000","63,000","473,000",
="03635 ","永昌LA          ","466,000","0","466,000",
="07973 ","統一N5          ","459,000","0","459,000",
="04034 ","永豐5Y          ","564,000","106,000","458,000",
="03282 ","寶來84          ","540,000","88,000","452,000",
="04019 ","兆豐E7          ","547,000","96,000","451,000",
="03275 ","寶來77          ","503,000","60,000","443,000",
="07963 ","群益NC          ","443,000","0","443,000",
="07983 ","統一AF          ","435,000","0","435,000",
="04886 ","元大EK          ","424,000","0","424,000",
"2360  ","致茂            ","529,000","106,000","423,000",
="03665 ","永豐79          ","510,000","91,000","419,000",
="03913 ","元大85          ","430,000","12,000","418,000",
="03299 ","大華HA          ","442,000","31,000","411,000",
="03274 ","寶來76          ","407,000","0","407,000",
="0056  ","元大高股息      ","403,000","0","403,000",
="07903 ","元大L6          ","557,000","158,000","399,000",
"2102  ","泰豐            ","400,000","3,000","397,000",
"2023  ","燁輝            ","482,000","88,000","394,000",
"1307  ","三芳            ","390,000","0","390,000",
="03487 ","元大37          ","661,000","273,000","388,000",
="03415 ","富邦AJ          ","495,000","110,000","385,000",
="03568 ","永豐3M          ","503,000","122,000","381,000",
="07851 ","永豐90          ","381,000","0","381,000",
="03850 ","凱基3C          ","682,000","307,000","375,000",
"1605  ","華新            ","453,000","78,000","375,000",
"2311  ","日月光          ","794,000","420,000","374,000",
="07781 ","康和BS          ","435,000","70,000","365,000",
="04225 ","永豐7E          ","406,000","44,000","362,000",
="0055  ","元大MSCI金融    ","1,700,000","1,339,000","361,000",
"6269  ","台郡            ","726,000","365,000","361,000",
="05041 ","兆豐N7          ","405,000","48,000","357,000",
="03697 ","富邦BK          ","356,000","5,000","351,000",
"1217  ","愛之味          ","350,000","1,000","349,000",
"2615  ","萬海            ","397,000","48,000","349,000",
="03556 ","日盛NL          ","625,000","277,000","348,000",
="04563 ","第一54          ","356,000","10,000","346,000",
="03270P","台光電凱基92售01","572,000","227,000","345,000",
"6108  ","競國            ","560,000","215,000","345,000",
="03331P","揚明光國票93售02","478,000","137,000","341,000",
="04199 ","元大BA          ","1,229,000","890,000","339,000",
="03864 ","永豐5E          ","737,000","410,000","327,000",
"2449  ","京元電子        ","640,000","313,000","327,000",
="04381 ","國泰GM          ","476,000","150,000","326,000",
="04240 ","大華MI          ","594,000","270,000","324,000",
="07831 ","國泰EU          ","322,000","0","322,000",
="03187 ","兆豐1J          ","340,000","22,000","318,000",
="03267 ","寶來69          ","617,000","300,000","317,000",
="03235 ","元富KB          ","413,000","99,000","314,000",
"2106  ","建大            ","373,000","60,700","312,300",
="03496 ","凱基1W          ","514,000","207,000","307,000",
="04850 ","永豐9Z          ","307,000","0","307,000",
="08121 ","寶來AC          ","303,000","2,000","301,000",
="03125 ","永豐1B          ","324,000","24,000","300,000",
="03459 ","兆豐A6          ","300,000","0","300,000",
="03578P","欣興統一92售03  ","300,000","0","300,000",
="03869 ","大華KX          ","300,000","0","300,000",
="05048 ","兆豐AE          ","300,000","0","300,000",
"1451  ","年興            ","300,000","1,000","299,000",
="03659 ","凱基2M          ","297,000","0","297,000",
="03941 ","亞東HW          ","297,000","0","297,000",
="04674 ","元富LW          ","320,000","30,000","290,000",
"2545  ","皇翔            ","300,000","10,000","290,000",
="04163 ","大華MC          ","298,000","10,000","288,000",
="04228 ","寶來CD          ","297,000","10,000","287,000",
="08103P","滬深2X國票8B售03","286,000","0","286,000",
="04157 ","大華LW          ","337,000","55,000","282,000",
="03531 ","永豐3F          ","279,000","0","279,000",
"2448  ","晶電            ","914,000","636,000","278,000",
="03670 ","寶來98          ","556,000","279,000","277,000",
="04913 ","大華1G          ","299,000","23,000","276,000",
"2474  ","可成            ","313,000","37,000","276,000",
="04272 ","日盛40          ","301,000","40,000","261,000",
="05093 ","永豐D4          ","368,000","111,000","257,000",
="03655 ","康和BX          ","256,000","0","256,000",
="04070 ","元大97          ","425,000","169,000","256,000",
="07754 ","寶來17          ","256,000","0","256,000",
"2362  ","藍天            ","307,000","52,504","254,496",
="03268 ","寶來70          ","475,000","222,000","253,000",
="04750 ","群益91          ","253,000","0","253,000",
="04889 ","元大EN          ","260,000","8,000","252,000",
="07942 ","元大M8          ","293,000","41,000","252,000",
="03251 ","凱基1C          ","271,000","20,000","251,000",
="03563 ","大華JI          ","349,000","99,000","250,000",
="04457 ","富邦DZ          ","378,000","128,000","250,000",
"2402  ","毅嘉            ","250,000","0","250,000",
"2472  ","立隆電          ","250,000","0","250,000",
="03424 ","第一41          ","248,000","0","248,000",
="03494P","臺股指富邦92售04","248,000","0","248,000",
="05161P","華新科國票96售01","248,000","0","248,000",
="04896 ","凱基7A          ","275,000","30,000","245,000",
="03201 ","統一BN          ","239,000","0","239,000",
="04101 ","凱基3V          ","238,000","1,000","237,000",
="04185 ","凱基3Z          ","248,000","12,000","236,000",
="04153 ","日盛28          ","308,000","76,000","232,000",
="04286 ","凱基4H          ","313,000","82,000","231,000",
="03337 ","工銀JB          ","556,000","327,000","229,000",
="03344 ","永豐38          ","239,000","10,000","229,000",
="03296 ","大華GX          ","238,000","10,000","228,000",
"2204  ","中華            ","397,000","172,000","225,000",
="07871 ","元大8W          ","224,000","0","224,000",
"1722  ","台肥            ","549,000","327,000","222,000",
"3037  ","欣興            ","275,000","55,000","220,000",
"5388  ","中磊            ","220,000","0","220,000",
="05262 ","工銀FX          ","218,000","0","218,000",
="03027 ","富邦M4          ","217,000","0","217,000",
="07247 ","元富FZ          ","216,000","0","216,000",
="04452 ","富邦DU          ","214,000","0","214,000",
="04136 ","康和CG          ","421,000","208,000","213,000",
="07759 ","日盛LU          ","211,000","0","211,000",
="04324 ","凱基4N          ","262,000","53,000","209,000",
="03924 ","富邦CL          ","228,000","20,000","208,000",
="04097 ","元富KW          ","527,000","319,000","208,000",
="04788 ","元富MF          ","295,000","88,000","207,000",
="03444P","裕隆統一93售02  ","262,000","58,000","204,000",
="04280 ","凱基4B          ","369,000","165,000","204,000",
="04562 ","第一53          ","352,000","150,000","202,000",
"2104  ","國際中橡        ","304,000","102,000","202,000",
="03567 ","永豐3L          ","200,000","0","200,000",
"1711  ","永光            ","200,000","0","200,000",
"6213  ","聯茂            ","200,000","0","200,000",
"8105  ","凌巨            ","400,000","200,000","200,000",
="08178 ","永昌EL          ","199,000","0","199,000",
="08216P","台灣50凱基93售01","198,000","0","198,000",
"2391  ","合勤            ","501,000","304,000","197,000",
"6196  ","帆宣            ","200,000","5,000","195,000",
="03559 ","大華JE          ","193,000","0","193,000",
="03626 ","國票BM          ","193,000","0","193,000",
="07722 ","永豐83          ","193,000","0","193,000",
="04006 ","國泰GA          ","242,000","50,000","192,000",
="04492 ","統一DU          ","220,000","32,000","188,000",
="08210P","滬深2X富邦8B售01","216,000","30,000","186,000",
"3504  ","揚明光          ","234,000","48,000","186,000",
="05212 ","兆豐AK          ","185,000","0","185,000",
="07763 ","大華FK          ","200,000","20,000","180,000",
="03072 ","統一AP          ","198,000","20,000","178,000",
="03664 ","寶來92          ","208,000","31,000","177,000",
="07856 ","大華56          ","177,000","0","177,000",
="04571 ","寶來DY          ","256,000","80,000","176,000",
="04772 ","富邦ED          ","607,000","432,000","175,000",
"2847  ","大眾銀          ","252,000","77,000","175,000",
="07751 ","寶來15          ","173,000","0","173,000",
="04243P","大立光永昌93售08","184,000","12,000","172,000",
="08174 ","元大FE          ","171,000","0","171,000",
="03300 ","大華HB          ","175,000","5,000","170,000",
"2542  ","興富發          ","380,000","211,000","169,000",
="03808 ","永豐4V          ","198,000","30,000","168,000",
="03825 ","凱基CZ          ","198,000","30,000","168,000",
