"097年02月27日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="0050  ","元大台灣50      ","16,499,000","750,000","15,749,000",
="03351 ","元富KR          ","14,734,000","669,000","14,065,000",
="03346 ","元富KL          ","14,557,000","523,000","14,034,000",
="03347 ","元富KM          ","14,793,000","783,000","14,010,000",
="03349 ","元富KP          ","15,666,000","1,666,000","14,000,000",
="03355 ","永豐1Z          ","14,016,000","16,000","14,000,000",
="03358 ","國票BI          ","15,055,000","1,055,000","14,000,000",
="03363 ","富邦N9          ","15,391,000","1,391,000","14,000,000",
="03364 ","富邦AA          ","15,667,000","1,667,000","14,000,000",
="03368 ","富邦AE          ","14,165,000","165,000","14,000,000",
="03361 ","凱基1J          ","14,455,000","459,000","13,996,000",
="03337 ","工銀JB          ","14,137,000","142,000","13,995,000",
="03338 ","工銀JC          ","14,176,000","186,000","13,990,000",
="03367 ","富邦AD          ","14,157,000","167,000","13,990,000",
="03353 ","永豐1X          ","14,015,000","26,000","13,989,000",
="03345 ","元富KK          ","14,396,000","412,000","13,984,000",
="03362 ","富邦N8          ","14,775,000","794,000","13,981,000",
="03357 ","群益NY          ","14,498,000","518,000","13,980,000",
="03365 ","富邦AB          ","16,415,000","2,440,000","13,975,000",
="03342 ","永豐36          ","14,022,000","48,000","13,974,000",
="03343 ","元富KH          ","14,483,000","511,000","13,972,000",
="03366 ","富邦AC          ","14,958,000","987,000","13,971,000",
="03348 ","元富KN          ","15,348,000","1,379,000","13,969,000",
="03354 ","永豐1Y          ","13,995,000","35,000","13,960,000",
="03359 ","國票BJ          ","15,438,000","1,487,000","13,951,000",
="03356 ","群益NX          ","14,154,000","243,000","13,911,000",
="03339 ","工銀JD          ","14,661,000","786,000","13,875,000",
="03352 ","永豐1W          ","15,594,000","1,828,000","13,766,000",
="03344 ","永豐38          ","14,176,000","666,000","13,510,000",
="03341 ","元富KF          ","13,504,000","785,000","12,719,000",
"2618  ","長榮航          ","8,310,000","2,261,529","6,048,471",
"2475  ","華映            ","5,587,000","2,087,532","3,499,468",
"2325  ","矽品            ","3,456,000","396,744","3,059,256",
"2610  ","華航            ","5,202,000","2,179,370","3,022,630",
="06314 ","大華CA          ","3,364,000","847,000","2,517,000",
="08012P","臺股指凱基8B售10","2,430,000","104,000","2,326,000",
"1314  ","中石化          ","2,699,000","732,363","1,966,637",
="06311 ","大華BW          ","1,655,000","0","1,655,000",
"1409  ","新纖            ","1,845,000","201,000","1,644,000",
="07637 ","凱基20          ","1,709,000","100,000","1,609,000",
"3037  ","欣興            ","1,745,000","170,710","1,574,290",
="07216 ","永豐NE          ","1,635,000","109,000","1,526,000",
="06796 ","國泰DS          ","1,945,000","438,000","1,507,000",
="06309 ","永昌HY          ","1,506,000","0","1,506,000",
