"095年05月02日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"2504  ","國產            ","3,916,000","0","3,916,000",
="03664 ","寶來92          ","3,854,000","0","3,854,000",
"5854  ","合庫            ","3,593,000","286,000","3,307,000",
"2801  ","彰銀            ","4,010,000","1,095,000","2,915,000",
"3214  ","元砷            ","2,336,000","0","2,336,000",
"2614  ","東森            ","2,274,000","111,000","2,163,000",
"3059  ","華晶科          ","2,311,000","378,000","1,933,000",
"2888  ","新光金          ","4,609,000","2,948,000","1,661,000",
="03765 ","寶來B1          ","1,509,000","3,000","1,506,000",
"1722  ","台肥            ","1,669,000","297,000","1,372,000",
"2014  ","中鴻            ","2,557,000","1,332,000","1,225,000",
="03452 ","凱基1Q          ","1,164,000","0","1,164,000",
="03612 ","群益30          ","1,062,000","0","1,062,000",
"1905  ","華紙            ","1,180,000","126,000","1,054,000",
"2501  ","國建            ","1,404,000","352,000","1,052,000",
"1101  ","台泥            ","1,902,000","854,000","1,048,000",
"2023  ","燁輝            ","1,777,000","736,000","1,041,000",
="03658 ","凱基2L          ","985,000","0","985,000",
="03661 ","凱基2P          ","977,000","0","977,000",
"2492  ","華新科          ","991,000","34,000","957,000",
="03353P","台積電台新92售02","927,000","23,000","904,000",
="03511 ","富邦AU          ","875,000","21,000","854,000",
="03651 ","大華JV          ","840,000","0","840,000",
"2002  ","中鋼            ","1,294,000","547,000","747,000",
"2107  ","厚生            ","1,172,000","460,000","712,000",
"3051  ","力特            ","711,000","15,000","696,000",
"1504  ","東元            ","921,000","251,000","670,000",
"2704  ","國賓            ","660,000","36,000","624,000",
"3012  ","廣輝            ","1,307,000","700,000","607,000",
"3037  ","欣興            ","692,000","90,000","602,000",
"1314  ","中石化          ","3,555,000","2,958,000","597,000",
="03773 ","永豐4M          ","553,000","0","553,000",
="03507 ","富邦AQ          ","647,000","98,000","549,000",
"2353  ","宏碁            ","1,230,000","683,000","547,000",
"2408  ","南亞科          ","1,149,000","635,000","514,000",
="03273 ","寶來75          ","476,000","0","476,000",
="03274P","可成兆豐92售03  ","452,000","0","452,000",
"1229  ","聯華            ","1,005,000","567,000","438,000",
"2371  ","大同            ","454,000","20,000","434,000",
"1402  ","遠東新          ","757,000","324,000","433,000",
="03764P","大立光元富93售01","2,899,000","2,485,000","414,000",
"2446  ","全懋            ","514,000","110,000","404,000",
"2515  ","中工            ","404,000","2,000","402,000",
"2391  ","合勤            ","385,000","0","385,000",
="03607 ","群益25          ","383,000","0","383,000",
="03708 ","工銀JZ          ","1,296,000","913,000","383,000",
="03644 ","大華JN          ","380,000","0","380,000",
="03617 ","群益35          ","378,000","0","378,000",
="03525 ","永豐2Z          ","363,000","0","363,000",
="03675 ","日盛AK          ","532,000","177,000","355,000",
"2340  ","光磊            ","750,000","400,000","350,000",
"3062  ","建漢            ","350,000","0","350,000",
"4906  ","正文            ","324,000","0","324,000",
"1704  ","榮化            ","568,000","254,000","314,000",
"2493  ","揚博            ","301,000","0","301,000",
"3036  ","文曄            ","301,000","0","301,000",
"2448  ","晶電            ","437,000","168,000","269,000",
"6286  ","立錡            ","383,000","116,000","267,000",
"1503  ","士電            ","431,000","180,000","251,000",
="03618 ","國泰FM          ","244,000","0","244,000",
"1904  ","正隆            ","347,000","104,000","243,000",
="03715 ","日盛NW          ","263,000","25,000","238,000",
"6116  ","彩晶            ","225,000","0","225,000",
"2206  ","三陽工業        ","411,000","193,000","218,000",
="03606 ","群益24          ","215,000","0","215,000",
"2301  ","光寶科          ","719,000","511,000","208,000",
