"095年05月23日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03416 ","富邦AK          ","6,934,000","350,000","6,584,000",
="03663 ","元大54          ","5,604,000","477,000","5,127,000",
"2330  ","台積電          ","3,867,000","728,000","3,139,000",
"5854  ","合庫            ","3,828,000","1,440,000","2,388,000",
"2449  ","京元電子        ","3,841,000","1,662,000","2,179,000",
"3017  ","奇鋐            ","1,593,000","20,000","1,573,000",
="03333 ","永豐1S          ","1,293,000","0","1,293,000",
="03664 ","寶來92          ","1,137,000","0","1,137,000",
="03618 ","國泰FM          ","1,099,000","0","1,099,000",
"2883  ","開發金          ","1,128,000","54,000","1,074,000",
="03708 ","工銀JZ          ","1,381,000","312,000","1,069,000",
="03656 ","日盛AH          ","1,700,000","708,000","992,000",
"2315  ","神達            ","1,160,000","255,000","905,000",
"2107  ","厚生            ","901,000","105,000","796,000",
="03694 ","富邦BG          ","935,000","225,000","710,000",
="03658 ","凱基2L          ","664,000","0","664,000",
"2504  ","國產            ","804,000","179,000","625,000",
="03354 ","永豐1Y          ","600,000","0","600,000",
="01004T","土銀富邦R2      ","590,000","0","590,000",
"2501  ","國建            ","820,000","263,000","557,000",
="03404P","友達凱基92售03  ","511,000","0","511,000",
"2340  ","光磊            ","512,000","7,000","505,000",
="03697P","台積電元大93售05","527,000","30,000","497,000",
="01002T","土銀國泰R1      ","460,000","0","460,000",
="03596 ","元富65          ","456,000","49,000","407,000",
="03646 ","大華JQ          ","409,000","13,000","396,000",
"2363  ","矽統            ","527,000","132,000","395,000",
="03677 ","凱基2T          ","382,000","14,000","368,000",
"2303  ","聯電            ","2,756,000","2,410,000","346,000",
="03756P","創意永豐93售01  ","616,000","280,000","336,000",
"2353  ","宏碁            ","336,000","0","336,000",
"5471  ","松翰            ","317,000","2,000","315,000",
"2475  ","華映            ","328,000","20,000","308,000",
"2301  ","光寶科          ","380,000","80,000","300,000",
"2377  ","微星            ","445,000","145,000","300,000",
"2891  ","中信金          ","443,000","143,000","300,000",
"2606  ","裕民            ","304,000","12,000","292,000",
"2412  ","中華電          ","291,000","1,000","290,000",
"2886  ","兆豐金          ","339,000","69,000","270,000",
="03721 ","永昌DP          ","403,000","147,000","256,000",
"3271  ","其樂達          ","251,000","0","251,000",
="03671 ","寶來99          ","330,000","95,000","235,000",
"2884  ","玉山金          ","275,300","54,000","221,300",
="03723 ","兆豐F8          ","266,000","50,000","216,000",
"2338  ","光罩            ","356,000","153,000","203,000",
="03746P","聯發科凱基93售07","217,000","16,000","201,000",
="03683 ","大華JW          ","190,000","0","190,000",
"2418  ","雅新            ","448,500","260,000","188,500",
"1532  ","勤美            ","339,000","162,000","177,000",
="03668 ","寶來96          ","513,000","358,000","155,000",
"3019  ","亞光            ","154,000","0","154,000",
"3045  ","台灣大          ","158,000","4,000","154,000",
"2006  ","東和鋼鐵        ","202,000","50,000","152,000",
"2324  ","仁寶            ","172,000","20,000","152,000",
="03334P","元油2X凱基95售02","176,000","25,000","151,000",
"2382  ","廣達            ","153,000","3,000","150,000",
"4904  ","遠傳            ","147,000","0","147,000",
