"098年07月03日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"2890  ","永豐金          ","3,732,000","590,000","3,142,000",
"2891  ","中信金          ","4,110,000","983,000","3,127,000",
"2337  ","旺宏            ","2,714,000","199,000","2,515,000",
"2887  ","台新金          ","3,604,000","1,730,000","1,874,000",
"2363  ","矽統            ","1,898,000","102,000","1,796,000",
"2885  ","元大金          ","2,149,000","458,000","1,691,000",
"2325  ","矽品            ","1,753,000","101,000","1,652,000",
"2882  ","國泰金          ","1,850,000","261,000","1,589,000",
"2303  ","聯電            ","1,956,000","423,000","1,533,000",
"2834  ","臺企銀          ","2,339,000","874,000","1,465,000",
"6116  ","彩晶            ","3,325,000","2,188,000","1,137,000",
"9151  ","旺旺            ","1,050,000","0","1,050,000",
="07832 ","大華FQ          ","1,032,000","0","1,032,000",
"2379  ","瑞昱            ","1,025,000","45,000","980,000",
="03228P","臺股指麥證92售01","1,104,000","173,000","931,000",
="07851 ","永豐90          ","1,092,000","210,000","882,000",
"2884  ","玉山金          ","1,486,000","622,000","864,000",
="03734 ","日盛NZ          ","1,120,000","324,000","796,000",
"2880  ","華南金          ","1,128,000","338,000","790,000",
"2023  ","燁輝            ","842,000","59,000","783,000",
"2820  ","華票            ","805,000","54,000","751,000",
"2376  ","技嘉            ","732,000","42,600","689,400",
"2392  ","正崴            ","784,000","103,000","681,000",
"1102  ","亞泥            ","631,000","24,000","607,000",
"2881  ","富邦金          ","1,119,000","512,000","607,000",
="07862 ","元大8M          ","820,000","231,000","589,000",
="03022 ","凱基N1          ","630,000","45,000","585,000",
"3061  ","璨圓            ","584,000","1,000","583,000",
="06661 ","群益JZ          ","556,000","0","556,000",
"2610  ","華航            ","636,000","83,000","553,000",
="03837 ","工銀KG          ","599,000","55,000","544,000",
="08112P","聯發科元大8B售10","869,000","335,000","534,000",
"6120  ","達運            ","509,000","1,000","508,000",
="05560 ","寶來GM          ","508,000","12,000","496,000",
="07014P","華新科凱基89售11","483,000","0","483,000",
="03343 ","元富KH          ","566,000","85,000","481,000",
"2384  ","勝華            ","605,000","127,000","478,000",
="06915P","漢唐元富89售04  ","775,000","300,000","475,000",
="07528 ","元大6P          ","1,040,000","565,000","475,000",
"2704  ","國賓            ","636,000","161,000","475,000",
="07805 ","元富NS          ","552,000","80,000","472,000",
="0055  ","元大MSCI金融    ","681,000","215,000","466,000",
"2409  ","友達            ","989,000","533,000","456,000",
="07815 ","元富GT          ","879,000","429,000","450,000",
="06712 ","第一21          ","464,000","15,000","449,000",
="07775P","聯發科國票8B售02","876,000","427,000","449,000",
="03470 ","永豐54          ","448,000","3,000","445,000",
="07497P","健策永豐8A售02  ","1,100,000","659,000","441,000",
"1201  ","味全            ","738,000","304,000","434,000",
="03727 ","富邦BL          ","549,000","134,000","415,000",
"3045  ","台灣大          ","680,000","268,000","412,000",
"2105  ","正新            ","429,000","18,000","411,000",
="07963 ","群益NC          ","777,000","374,000","403,000",
"2340  ","光磊            ","400,000","0","400,000",
="03383P","南電凱基93售03  ","396,000","5,000","391,000",
="07855 ","凱基59          ","464,000","74,000","390,000",
="07828 ","工銀IW          ","411,000","30,000","381,000",
="07080 ","國泰DY          ","429,000","50,000","379,000",
="06590 ","群益JU          ","556,000","180,000","376,000",
="07714P","大立光統一8B售04","367,000","0","367,000",
"2883  ","開發金          ","746,000","384,000","362,000",
"6269  ","台郡            ","361,000","1,000","360,000",
="07947P","矽創元大8B售01  ","359,000","0","359,000",
="07224 ","永豐NM          ","375,000","22,000","353,000",
"1216  ","統一            ","635,000","282,000","353,000",
="07806 ","日盛LX          ","1,275,000","924,000","351,000",
"2357  ","華碩            ","749,000","400,000","349,000",
="03718 ","元大CY          ","396,000","50,000","346,000",
="03821 ","群益AL          ","715,000","373,000","342,000",
="07072 ","日盛JV          ","353,000","15,000","338,000",
="03239 ","大華GP          ","465,000","128,000","337,000",
"6285  ","啟碁            ","583,000","252,000","331,000",
="03335 ","永豐1U          ","347,000","21,000","326,000",
"2504  ","國產            ","485,000","160,000","325,000",
"2367  ","燿華            ","399,000","81,000","318,000",
"2106  ","建大            ","503,000","190,000","313,000",
="07398 ","永豐36          ","421,000","110,000","311,000",
"2034  ","允強            ","412,000","101,000","311,000",
"3037  ","欣興            ","340,000","29,000","311,000",
"2412  ","中華電          ","571,000","264,000","307,000",
="03600 ","元富69          ","355,000","58,000","297,000",
"9933  ","中鼎            ","305,000","9,000","296,000",
="03026P","群創凱基93售08  ","488,000","195,000","293,000",
="05922 ","永昌HL          ","298,000","5,000","293,000",
"9939  ","宏全            ","325,000","34,000","291,000",
="07784 ","寶來M6          ","412,000","126,000","286,000",
"2474  ","可成            ","389,000","103,000","286,000",
="03002 ","群益NH          ","315,000","30,000","285,000",
="06868 ","元富EL          ","442,000","158,000","284,000",
="07830 ","國泰ET          ","313,000","30,000","283,000",
="03282 ","寶來84          ","353,000","72,000","281,000",
="03271P","聯茂凱基92售01  ","295,000","22,000","273,000",
="07860 ","元大8K          ","1,058,000","786,000","272,000",
="06847P","臺股指凱基89售10","270,000","0","270,000",
="03203 ","兆豐FQ          ","342,000","73,000","269,000",
="03373 ","大華81          ","304,000","35,000","269,000",
="07942 ","元大M8          ","279,000","15,000","264,000",
="03013 ","元富JD          ","260,000","0","260,000",
"2377  ","微星            ","282,000","31,000","251,000",
"1504  ","東元            ","262,000","13,000","249,000",
="03405 ","元大26          ","269,000","22,000","247,000",
="03809 ","永豐4W          ","244,000","0","244,000",
"3044  ","健鼎            ","247,000","5,000","242,000",
"2475  ","華映            ","772,000","531,000","241,000",
="03085 ","元富JL          ","300,000","60,000","240,000",
"2332  ","友訊            ","248,000","9,000","239,000",
="03855 ","元大81          ","243,000","5,000","238,000",
="03493P","臺股指富邦92售03","1,085,000","849,000","236,000",
="03698 ","國泰FQ          ","299,000","65,000","234,000",
"3059  ","華晶科          ","315,000","81,000","234,000",
="03583 ","群益17          ","320,000","88,000","232,000",
"2393  ","億光            ","332,000","102,000","230,000",
"6176  ","瑞儀            ","377,000","147,000","230,000",
"3017  ","奇鋐            ","231,000","6,000","225,000",
="03382P","瑞昱凱基93售02  ","475,000","252,000","223,000",
="07610 ","寶來03          ","229,000","6,000","223,000",
="03071P","聯發科群益91售06","300,000","79,000","221,000",
"1305  ","華夏            ","223,000","2,000","221,000",
="03081P","大立光元大91售21","240,000","20,000","220,000",
="03040P","貿聯兆豐92售03  ","1,016,000","797,000","219,000",
"2454  ","聯發科          ","263,000","44,100","218,900",
="0056  ","元大高股息      ","220,000","4,000","216,000",
"2330  ","台積電          ","343,000","131,000","212,000",
"2448  ","晶電            ","318,000","108,000","210,000",
"3481  ","群創            ","336,000","128,000","208,000",
="07834 ","大華FS          ","326,000","120,000","206,000",
="03791 ","元富83          ","212,000","7,000","205,000",
="03649P","聯發科國泰93售02","285,000","81,000","204,000",
="03079P","臺股指康和91售03","208,000","5,000","203,000",
="06800 ","寶來LR          ","203,000","0","203,000",
="06720 ","工銀HS          ","202,000","0","202,000",
="07691 ","兆豐89          ","590,000","389,000","201,000",
"1507  ","永大            ","200,000","0","200,000",
"2027  ","大成鋼          ","400,000","200,000","200,000",
="03758 ","寶來A3          ","198,000","0","198,000",
="07185 ","凱基NP          ","198,000","0","198,000",
"5522  ","遠雄            ","229,000","31,000","198,000",
="06789 ","第一27          ","196,000","0","196,000",
="03765P","大立光元富96售01","194,000","0","194,000",
="06856 ","日盛IW          ","330,000","137,000","193,000",
="03167 ","日盛MK          ","486,000","294,000","192,000",
"2301  ","光寶科          ","227,000","35,000","192,000",
"1402  ","遠東新          ","275,000","84,000","191,000",
="03739 ","日盛05          ","510,000","322,000","188,000",
"1319  ","東陽            ","192,000","4,000","188,000",
="06949 ","元富EX          ","256,000","69,000","187,000",
"1513  ","中興電          ","186,000","0","186,000",
="07311P","臺股指群益8A售11","275,000","90,000","185,000",
="07430 ","兆豐75          ","183,000","0","183,000",
="03241 ","統一BS          ","363,000","181,000","182,000",
="07927 ","凱基61          ","241,000","60,000","181,000",
"2511  ","太子            ","213,000","32,000","181,000",
="07748 ","大華39          ","183,000","5,000","178,000",
"1708  ","東鹼            ","178,000","1,000","177,000",
="07853 ","永豐92          ","259,000","84,000","175,000",
="07715 ","元大8A          ","174,000","0","174,000",
="08113P","大立光元大8C售06","419,000","246,000","173,000",
"1301  ","台塑            ","298,000","126,000","172,000",
="06993 ","亞東FL          ","188,000","18,000","170,000",
="07582 ","元大6Y          ","170,000","0","170,000",
"1101  ","台泥            ","200,000","30,000","170,000",
="07017P","大立光凱基8A售03","168,000","0","168,000",
="07410 ","統一H2          ","622,000","455,000","167,000",
"3049  ","和鑫            ","168,000","1,000","167,000",
="03171 ","日盛MP          ","211,000","48,000","163,000",
="07781 ","康和BS          ","313,000","150,000","163,000",
="07841 ","統一L1          ","411,000","248,000","163,000",
="08103P","滬深2X國票8B售03","337,000","176,000","161,000",
"1440  ","南紡            ","168,000","8,000","160,000",
="06838P","滬深2X凱基89售13","159,000","0","159,000",
