"099年03月22日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="06693 ","永豐KJ          ","1,614,000","99,000","1,515,000",
="06552 ","凱基MN          ","1,395,000","180,000","1,215,000",
"2610  ","華航            ","1,200,000","20,000","1,180,000",
"2101  ","南港            ","1,836,000","675,000","1,161,000",
"2369  ","菱生            ","1,400,000","251,000","1,149,000",
="03084 ","元富JK          ","1,065,000","3,000","1,062,000",
="07530 ","元大6R          ","1,044,000","29,000","1,015,000",
"1507  ","永大            ","985,000","0","985,000",
"2915  ","潤泰全          ","1,278,000","315,000","963,000",
="07273 ","永豐08          ","995,000","40,000","955,000",
"2337  ","旺宏            ","2,476,000","1,528,000","948,000",
"3576  ","聯合再生        ","900,000","1,000","899,000",
="08402P","創意元大91售01  ","888,000","10,000","878,000",
="07532 ","凱基NY          ","935,000","62,000","873,000",
="03142 ","統一AU          ","964,000","114,000","850,000",
="03793P","超眾永豐93售01  ","848,000","90,000","758,000",
"3514  ","昱晶            ","834,000","87,000","747,000",
="07588 ","元大7E          ","877,000","132,000","745,000",
="03030 ","富邦M7          ","937,000","200,000","737,000",
"2330  ","台積電          ","1,598,000","881,000","717,000",
="05291 ","富邦60          ","767,000","53,000","714,000",
"2601  ","益航            ","861,000","167,000","694,000",
="03152 ","群益NN          ","884,000","192,000","692,000",
="03393 ","永豐2B          ","689,000","4,000","685,000",
="05306 ","元富AJ          ","682,000","0","682,000",
="06984 ","永豐LJ          ","720,000","42,000","678,000",
="07870 ","元大8V          ","669,000","0","669,000",
="06811 ","富邦C8          ","674,000","10,000","664,000",
"6269  ","台郡            ","781,000","117,000","664,000",
="03339 ","工銀JD          ","726,000","72,000","654,000",
="07657 ","元大7S          ","703,000","60,000","643,000",
"9945  ","潤泰新          ","876,000","237,000","639,000",
"6168  ","宏齊            ","670,000","40,000","630,000",
="07647 ","凱基28          ","631,000","7,000","624,000",
="05513 ","凱基JQ          ","611,000","0","611,000",
"2351  ","順德            ","715,000","106,000","609,000",
"1326  ","台化            ","787,000","200,000","587,000",
"1416  ","廣豐            ","600,000","13,000","587,000",
="03518 ","群益13          ","665,000","80,000","585,000",
"2499  ","東貝            ","691,000","106,000","585,000",
"1802  ","台玻            ","695,000","111,000","584,000",
="07890P","祥碩元大8B售03  ","963,000","388,000","575,000",
="03383 ","大華HF          ","629,000","60,000","569,000",
"2547  ","日勝生          ","714,000","150,000","564,000",
="05835 ","永豐FQ          ","726,000","170,000","556,000",
"2455  ","全新            ","761,000","223,000","538,000",
="05493 ","國泰BZ          ","545,000","11,000","534,000",
"2327  ","國巨            ","1,614,000","1,082,000","532,000",
="08280P","聚陽元富8C售02  ","570,000","43,000","527,000",
="07585 ","元大7B          ","617,000","109,000","508,000",
"910322","康師傅-DR       ","506,000","0","506,000",
"2453  ","凌群            ","500,000","0","500,000",
="03274 ","寶來76          ","702,000","210,000","492,000",
="07261 ","永豐NV          ","491,000","0","491,000",
="07145 ","兆豐57          ","585,000","99,000","486,000",
="05369 ","元大LW          ","543,000","60,000","483,000",
="03298 ","大華GZ          ","485,000","3,000","482,000",
="07445 ","統一I1          ","2,750,000","2,272,000","478,000",
="07302P","儒鴻國泰8B售01  ","1,367,000","890,000","477,000",
="07306 ","元大5C          ","1,032,000","573,000","459,000",
="07424 ","日盛LB          ","456,000","0","456,000",
"2314  ","台揚            ","450,000","0","450,000",
="07755 ","寶來18          ","693,000","246,000","447,000",
="07603 ","寶來NV          ","811,000","371,000","440,000",
="06426 ","大華CL          ","446,000","10,000","436,000",
="06833 ","群益KJ          ","536,000","100,000","436,000",
"8021  ","尖點            ","436,000","0","436,000",
="06486P","台郡群益8A售01  ","433,000","2,000","431,000",
="07871 ","元大8W          ","516,000","86,000","430,000",
="03513 ","富邦AW          ","456,000","40,000","416,000",
"5471  ","松翰            ","430,000","19,000","411,000",
="07896 ","元富HH          ","475,000","65,000","410,000",
"2484  ","希華            ","400,000","0","400,000",
"9907  ","統一實          ","404,000","4,000","400,000",
"2023  ","燁輝            ","499,000","105,000","394,000",
"2461  ","光群雷          ","390,000","0","390,000",
="03239 ","大華GP          ","405,000","20,000","385,000",
="06597 ","富邦B8          ","383,000","0","383,000",
="07423 ","大華EP          ","382,000","0","382,000",
="07856P","臺股指凱基8B售02","468,000","90,000","378,000",
="06244 ","大華BT          ","753,000","379,000","374,000",
="06762 ","元大2M          ","475,000","105,000","370,000",
"3026  ","禾伸堂          ","843,000","473,000","370,000",
"2408  ","南亞科          ","426,000","58,000","368,000",
="05576 ","元大ND          ","427,000","60,000","367,000",
="03766 ","寶來B2          ","396,000","35,000","361,000",
="06899 ","統一E7          ","430,000","85,000","345,000",
="05565 ","寶來GS          ","344,000","0","344,000",
="03538 ","富邦AX          ","585,000","242,000","343,000",
="06882 ","元大3D          ","556,000","215,000","341,000",
="07111 ","日盛KI          ","474,000","138,000","336,000",
="03207P","宏達電凱基92售02","419,000","84,000","335,000",
="07085 ","寶來MN          ","334,000","0","334,000",
"6202  ","盛群            ","339,000","5,000","334,000",
="03798 ","大華KK          ","388,000","55,000","333,000",
="07354 ","工銀IK          ","610,000","279,000","331,000",
="05682 ","永豐EM          ","356,000","33,000","323,000",
="03676 ","凱基2S          ","581,000","259,000","322,000",
="06531 ","寶來KG          ","397,000","75,000","322,000",
"2449  ","京元電子        ","497,000","176,000","321,000",
="03434 ","永豐2R          ","468,000","155,000","313,000",
"2412  ","中華電          ","344,000","34,000","310,000",
="03410 ","元大31          ","402,000","93,000","309,000",
"2049  ","上銀            ","443,000","135,000","308,000",
="07119 ","永豐ME          ","306,000","0","306,000",
"2448  ","晶電            ","653,000","348,000","305,000",
="07774 ","統一K6          ","300,000","0","300,000",
="05926 ","永昌HQ          ","299,000","0","299,000",
="06330 ","永豐HX          ","299,000","0","299,000",
="06193 ","元大F6          ","296,000","0","296,000",
"2384  ","勝華            ","690,000","394,000","296,000",
="06522 ","永豐KD          ","295,000","0","295,000",
="07120 ","永豐MF          ","443,000","148,000","295,000",
="03114 ","日盛MI          ","297,000","3,000","294,000",
="07336 ","群益MJ          ","369,000","78,000","291,000",
