"099年03月02日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="0050  ","元大台灣50      ","7,692,000","951,000","6,741,000",
="03476 ","工銀JG          ","3,090,000","0","3,090,000",
"1314  ","中石化          ","3,491,000","1,096,000","2,395,000",
"1201  ","味全            ","2,282,000","168,000","2,114,000",
="07909 ","元富HN          ","2,974,000","957,000","2,017,000",
="07323 ","永昌JZ          ","2,029,000","29,000","2,000,000",
="04655 ","群益85          ","1,987,000","0","1,987,000",
"910322","康師傅-DR       ","2,096,000","198,000","1,898,000",
"2201  ","裕隆            ","1,880,000","81,000","1,799,000",
="07389 ","永豐33          ","2,137,000","362,000","1,775,000",
="05746 ","兆豐NG          ","1,763,000","10,000","1,753,000",
="08403 ","統一BY          ","1,608,000","0","1,608,000",
="07603 ","寶來NV          ","1,677,000","82,000","1,595,000",
="06260 ","富邦A8          ","1,583,000","40,000","1,543,000",
="06086 ","永豐GX          ","1,887,000","544,000","1,343,000",
="04694 ","統一FJ          ","1,401,000","94,000","1,307,000",
="04583 ","統一ES          ","1,243,000","0","1,243,000",
="07032 ","元富FC          ","1,522,000","297,000","1,225,000",
="05712 ","大華BA          ","1,431,000","248,000","1,183,000",
="05056 ","康和EK          ","1,390,000","241,000","1,149,000",
="07335 ","群益MI          ","1,321,000","180,000","1,141,000",
="07451 ","元大5V          ","1,150,000","63,000","1,087,000",
="06010 ","工銀GR          ","1,541,000","471,000","1,070,000",
="07162 ","元大4V          ","1,180,000","110,000","1,070,000",
="03218P","玉晶光元富92售01","1,606,000","546,000","1,060,000",
"2006  ","東和鋼鐵        ","1,445,000","452,648","992,352",
="03257 ","永豐1K          ","1,459,000","473,000","986,000",
="07314 ","元大5L          ","1,426,000","459,000","967,000",
="05472 ","台証73          ","1,009,000","49,000","960,000",
="07217 ","永豐NF          ","1,187,000","249,000","938,000",
="07990 ","元大9A          ","1,675,000","780,000","895,000",
"2499  ","東貝            ","908,000","63,000","845,000",
="08313P","臺股指康和8C售08","920,000","93,000","827,000",
="07355 ","凱基NQ          ","1,211,000","390,000","821,000",
="07964 ","群益ND          ","1,087,000","295,000","792,000",
="06163 ","統一74          ","820,000","30,000","790,000",
="07721 ","永豐82          ","789,000","0","789,000",
="05291 ","富邦60          ","823,000","40,000","783,000",
"2891  ","中信金          ","1,177,000","400,000","777,000",
="07361 ","大華DX          ","755,000","0","755,000",
="06271 ","統一88          ","755,000","39,000","716,000",
="05258 ","工銀FT          ","1,091,000","379,000","712,000",
="06063 ","元富CC          ","871,000","162,000","709,000",
="06330 ","永豐HX          ","694,000","0","694,000",
="05523 ","群益FW          ","683,000","4,000","679,000",
="05304 ","元富AG          ","947,000","297,000","650,000",
="05681 ","永豐EL          ","644,000","0","644,000",
="05729 ","元大NV          ","640,000","0","640,000",
="04690 ","統一FF          ","658,000","19,000","639,000",
="05718 ","永豐FB          ","658,000","30,000","628,000",
"2474  ","可成            ","658,000","33,000","625,000",
="08397 ","寶來86          ","892,000","275,000","617,000",
="05139 ","元富NU          ","714,000","102,000","612,000",
="05578 ","群益GF          ","612,000","0","612,000",
="06414 ","元大H7          ","611,000","0","611,000",
="05448 ","日盛ES          ","606,000","0","606,000",
="08348P","台積電元富8C售02","673,000","70,000","603,000",
="05231 ","兆豐MN          ","595,000","0","595,000",
="06591 ","群益JV          ","614,000","19,000","595,000",
="04584 ","統一ET          ","594,000","0","594,000",
="05679 ","永豐EJ          ","594,000","0","594,000",
"2408  ","南亞科          ","594,000","3,000","591,000",
"1710  ","東聯            ","624,000","38,305","585,695",
="05277 ","永豐CJ          ","579,000","0","579,000",
="08230 ","群益EP          ","576,000","0","576,000",
="05120 ","富邦EH          ","570,000","1,000","569,000",
"2903  ","遠百            ","673,000","105,000","568,000",
="05741P","聯發科元大96售14","552,000","0","552,000",
="07039 ","元富FK          ","1,115,000","563,000","552,000",
="06520 ","永豐KB          ","525,000","0","525,000",
="03538 ","富邦AX          ","542,000","30,000","512,000",
="07844 ","統一L4          ","752,000","249,000","503,000",
"2618  ","長榮航          ","500,000","0","500,000",
="05321 ","日盛DW          ","499,000","0","499,000",
="05385 ","統一06          ","811,000","317,000","494,000",
="06603 ","亞東FH          ","503,000","9,000","494,000",
="06762 ","元大2M          ","500,000","6,000","494,000",
="07239 ","元富FR          ","495,000","3,000","492,000",
="07006 ","永豐LQ          ","495,000","4,000","491,000",
="07139 ","兆豐51          ","490,000","0","490,000",
="07278 ","兆豐60          ","486,000","3,000","483,000",
="07597 ","國泰EK          ","481,000","0","481,000",
"2344  ","華邦電          ","676,000","200,000","476,000",
="03302 ","元大14          ","495,000","20,000","475,000",
="04466 ","群益73          ","474,000","0","474,000",
="06494 ","永昌JG          ","735,000","263,000","472,000",
="06342 ","統一96          ","978,000","507,000","471,000",
="07398 ","永豐36          ","548,000","78,000","470,000",
"9945  ","潤泰新          ","527,000","60,000","467,000",
="07117 ","永豐MC          ","458,000","0","458,000",
="05619 ","元富AX          ","513,000","60,000","453,000",
="05374P","台積電國票96售07","450,000","1,000","449,000",
="05995 ","凱基LD          ","533,000","86,000","447,000",
="06606 ","元大1X          ","443,000","0","443,000",
="08221 ","富邦42          ","452,000","15,000","437,000",
="07487 ","永豐67          ","484,000","50,000","434,000",
="07530 ","元大6R          ","800,000","367,000","433,000",
="06269 ","統一86          ","782,000","353,000","429,000",
="04976 ","永昌NK          ","427,000","0","427,000",
="06401 ","元大J8          ","711,000","292,000","419,000",
="08232P","亞泥元大8C售01  ","416,000","0","416,000",
="06793 ","元大2W          ","756,000","341,000","415,000",
="06154 ","亞東EQ          ","425,000","12,000","413,000",
="07197 ","統一G2          ","400,000","0","400,000",
="05546 ","工銀GE          ","625,000","226,000","399,000",
="07609 ","寶來02          ","803,000","405,000","398,000",
="03305 ","元大17          ","656,000","259,000","397,000",
="06248 ","凱基LR          ","396,000","0","396,000",
="07595 ","國泰EH          ","392,000","0","392,000",
="08252P","台積電凱基8C售01","440,000","48,000","392,000",
="08285P","台灣50兆豐91售01","457,000","65,000","392,000",
="07633 ","凱基16          ","421,000","30,000","391,000",
="08259 ","永豐CZ          ","391,000","0","391,000",
"3474  ","華亞科          ","846,000","455,000","391,000",
="05212 ","兆豐AK          ","381,000","0","381,000",
="08250 ","工銀FQ          ","401,000","20,000","381,000",
="03463 ","大華HR          ","480,000","101,000","379,000",
="04906 ","凱基7L          ","396,000","20,000","376,000",
="06899 ","統一E7          ","435,000","60,000","375,000",
"2311  ","日月光          ","577,000","208,000","369,000",
="07087 ","寶來MQ          ","438,000","74,000","364,000",
="05867 ","元大C4          ","1,594,000","1,238,000","356,000",
="06326 ","永豐HT          ","356,000","0","356,000",
="07467 ","永豐47          ","588,000","241,000","347,000",
="07415 ","寶來NK          ","344,000","0","344,000",
"2406  ","國碩            ","345,000","2,000","343,000",
="07886P","和大元大8B售03  ","988,000","647,000","341,000",
"2103  ","台橡            ","371,000","31,372","339,628",
="05182 ","永豐E2          ","455,000","118,000","337,000",
="05204 ","第一64          ","335,000","0","335,000",
="06829 ","國票AT          ","335,000","0","335,000",
="06805 ","寶來LW          ","334,000","0","334,000",
="06795 ","元大2Y          ","741,000","409,000","332,000",
="05998 ","元大C7          ","327,000","0","327,000",
="07009 ","永豐LT          ","431,000","104,000","327,000",
="08372 ","凱基46          ","359,000","33,000","326,000",
"3017  ","奇鋐            ","455,000","131,000","324,000",
="07267 ","永豐02          ","516,000","194,000","322,000",
="06694 ","永豐KK          ","321,000","0","321,000",
="03207P","宏達電凱基92售02","320,000","0","320,000",
="04886 ","元大EK          ","317,000","0","317,000",
="06586 ","群益JQ          ","324,000","10,000","314,000",
="05367 ","元大LU          ","420,000","110,000","310,000",
="07237 ","元富FP          ","305,000","1,000","304,000",
="04462 ","凱基4W          ","301,000","0","301,000",
="06455 ","元大1Q          ","300,000","0","300,000",
"2325  ","矽品            ","383,000","83,081","299,919",
="06680 ","寶來LK          ","298,000","0","298,000",
="06307 ","永昌HW          ","297,000","0","297,000",
="06696 ","日盛HJ          ","302,000","5,000","297,000",
="05446 ","日盛EQ          ","539,000","244,000","295,000",
="06472 ","永豐JT          ","295,000","0","295,000",
="07322 ","永昌JY          ","331,000","39,000","292,000",
="05866 ","元大C3          ","288,000","0","288,000",
="06482P","滬深2X群益88售07","285,000","0","285,000",
="05807P","微星元大87售03  ","645,000","361,000","284,000",
="05988 ","富邦84          ","538,000","254,000","284,000",
"2885  ","元大金          ","1,619,000","1,335,000","284,000",
="05437 ","康和AL          ","283,000","0","283,000",
="05575 ","元大NC          ","303,000","20,000","283,000",
="08347 ","群益LE          ","286,000","5,000","281,000",
"8103  ","瀚荃            ","297,000","16,000","281,000",
="04891P","友達元大94售01  ","280,000","0","280,000",
="04926 ","元大EX          ","280,000","0","280,000",
="06418P","燿華元富88售02  ","379,000","101,000","278,000",
="03229 ","元富JV          ","276,000","1,000","275,000",
="06897 ","統一E5          ","429,000","155,000","274,000",
"2393  ","億光            ","490,000","218,000","272,000",
="05620 ","元富AY          ","321,000","50,000","271,000",
="06757 ","國泰DQ          ","316,000","45,000","271,000",
="07531 ","元大6S          ","270,000","0","270,000",
