"094年05月23日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03103 ","元大9N          ","22,019,000","1,320,000","20,699,000",
="03102 ","元大9M          ","21,328,000","845,000","20,483,000",
="03104 ","元大9P          ","17,312,000","52,000","17,260,000",
="03105 ","元大9Q          ","12,808,000","296,000","12,512,000",
="0617P ","寶來58          ","5,573,000","1,322,000","4,251,000",
"6116  ","彩晶            ","1,722,000","481,000","1,241,000",
="0605  ","信證12          ","1,000,000","0","1,000,000",
"2325  ","矽品            ","1,880,000","907,000","973,000",
"2822  ","農銀            ","1,169,000","274,000","895,000",
"8249  ","菱光            ","802,000","0","802,000",
"2330  ","台積電          ","1,290,000","559,000","731,000",
"3231  ","緯創            ","677,000","0","677,000",
="0594  ","金鼎18          ","499,000","0","499,000",
="0653P ","寶來61          ","519,000","20,000","499,000",
"2371  ","大同            ","545,000","58,000","487,000",
"2303  ","聯電            ","988,000","512,000","476,000",
"1101  ","台泥            ","654,000","198,000","456,000",
"1314  ","中石化          ","1,602,000","1,169,000","433,000",
"2618  ","長榮航          ","703,000","286,000","417,000",
"2439  ","美律            ","500,000","101,000","399,000",
="03013 ","元富JD          ","2,420,000","2,082,000","338,000",
"1312  ","國喬            ","313,000","7,000","306,000",
"3061  ","璨圓            ","300,000","0","300,000",
"3012  ","廣輝            ","428,000","137,000","291,000",
="0624  ","中信50          ","402,000","140,000","262,000",
"3005  ","神基            ","260,000","0","260,000",
="0595  ","金鼎19          ","765,000","515,000","250,000",
="0681  ","台証62          ","812,000","566,000","246,000",
="0749  ","元大L8          ","425,000","183,000","242,000",
="0751P ","元大M1          ","1,961,000","1,724,000","237,000",
="0687  ","台証63          ","1,254,000","1,024,000","230,000",
"2444  ","兆勁            ","200,000","0","200,000",
"2890  ","永豐金          ","389,000","211,000","178,000",
"2903  ","遠百            ","185,000","10,000","175,000",
="03093 ","凱基81          ","455,000","282,000","173,000",
="0774  ","中信63          ","172,000","0","172,000",
="0678  ","復華12          ","447,000","280,000","167,000",
="03044 ","寶來55          ","1,141,000","978,000","163,000",
"2412  ","中華電          ","212,000","50,000","162,000",
="0610  ","富邦50          ","449,000","289,000","160,000",
="0788  ","元京02          ","230,000","71,000","159,000",
="03039 ","寶來50          ","1,310,000","1,172,000","138,000",
"2886  ","兆豐金          ","421,000","286,000","135,000",
="0790  ","寶來73          ","370,000","237,000","133,000",
"2367  ","燿華            ","131,000","1,000","130,000",
="0830P ","寶來56          ","136,000","11,000","125,000",
="0670  ","信證17          ","2,504,000","2,381,000","123,000",
="03047 ","寶來58          ","1,710,000","1,589,000","121,000",
="0787  ","元京01          ","290,000","176,000","114,000",
"6197  ","佳必琪          ","191,000","77,000","114,000",
="03051 ","亞東CK          ","276,000","163,000","113,000",
="0799  ","元京04          ","194,000","81,000","113,000",
"2324  ","仁寶            ","165,000","57,000","108,000",
="0732  ","群益66          ","286,000","179,000","107,000",
"2883  ","開發金          ","120,000","14,000","106,000",
="0755  ","元大M2          ","127,000","25,000","102,000",
"2363  ","矽統            ","100,000","0","100,000",
="0671  ","大華53          ","455,000","360,000","95,000",
="0710  ","寶來66          ","343,000","251,000","92,000",
="0306  ","元京07          ","488,000","397,000","91,000",
"2328  ","廣宇            ","91,000","0","91,000",
="0631  ","元大L3          ","90,000","0","90,000",
="0779  ","元大N4          ","494,000","411,000","83,000",
="0603  ","中信46          ","150,000","76,000","74,000",
="03095 ","凱基83          ","640,000","567,000","73,000",
="0796  ","寶來75          ","2,018,000","1,948,000","70,000",
="03042 ","寶來53          ","921,000","852,000","69,000",
="0329  ","元京22          ","137,000","70,000","67,000",
="0664  ","中信55          ","90,000","23,000","67,000",
="0635  ","信證14          ","757,000","693,000","64,000",
="0636  ","信證15          ","64,000","0","64,000",
="0657  ","元富39          ","63,000","0","63,000",
="0720  ","復華13          ","286,000","225,000","61,000",
"2454  ","聯發科          ","489,000","428,000","61,000",
="0343  ","倍利46          ","877,000","817,000","60,000",
="0675  ","元富40          ","60,000","0","60,000",
"3006  ","晶豪科          ","60,000","0","60,000",
"3063  ","飛信            ","60,000","0","60,000",
"8016  ","矽創            ","88,000","28,000","60,000",
="0652  ","寶來60          ","86,000","30,000","56,000",
"2379  ","瑞昱            ","85,000","29,000","56,000",
="0332  ","亞東17          ","402,000","347,000","55,000",
"2449  ","京元電子        ","120,000","65,000","55,000",
"2015  ","豐興            ","70,000","16,000","54,000",
="0686  ","元富41          ","50,000","0","50,000",
="0715  ","統一55          ","134,000","85,000","49,000",
"1524  ","耿鼎            ","50,000","1,000","49,000",
="03043 ","寶來54          ","445,000","397,000","48,000",
"1301  ","台塑            ","181,000","134,000","47,000",
"3271  ","其樂達          ","46,000","0","46,000",
="0608  ","元大L1          ","45,000","0","45,000",
="0758  ","元大M5          ","45,000","0","45,000",
="0707  ","台証65          ","43,000","0","43,000",
"1606  ","歌林            ","50,000","7,000","43,000",
="03078 ","第一36          ","491,000","451,000","40,000",
"2354  ","鴻準            ","140,000","100,000","40,000",
="03088 ","元富JP          ","495,000","456,000","39,000",
"5203  ","訊連            ","50,000","12,000","38,000",
"2352  ","佳世達          ","112,000","75,000","37,000",
="0310  ","倍利44          ","759,000","724,000","35,000",
="0324  ","元京18          ","45,000","10,000","35,000",
="0592  ","統一50          ","35,000","0","35,000",
="0604  ","中信47          ","80,000","45,000","35,000",
"1560  ","中砂            ","35,000","1,000","34,000",
"6004  ","元京證          ","34,000","0","34,000",
="0345  ","台証67          ","578,000","545,000","33,000",
="03049 ","寶來60          ","131,000","100,000","31,000",
="0333  ","元京23          ","30,000","0","30,000",
="0342  ","倍利45          ","819,000","789,000","30,000",
="0683  ","新壽02          ","85,000","55,000","30,000",
"3059  ","華晶科          ","100,000","70,000","30,000",
="0789  ","寶來72          ","237,000","211,000","26,000",
="03025 ","富邦M2          ","1,925,000","1,900,000","25,000",
"6280  ","崇貿            ","25,000","0","25,000",
="03017 ","大華GD          ","1,160,000","1,136,000","24,000",
="0337  ","統一57          ","110,000","86,000","24,000",
="03058 ","凱基77          ","1,482,000","1,460,000","22,000",
="03069 ","統一AL          ","396,000","376,000","20,000",
="0308  ","元京09          ","20,000","0","20,000",
="0632P ","元大L4          ","20,000","0","20,000",
"3022  ","威強電          ","20,000","0","20,000",
"1530  ","亞崴            ","20,000","1,000","19,000",
="03024 ","日盛ME          ","556,000","538,000","18,000",
="0597  ","建華59          ","17,000","0","17,000",
="03061 ","大華GI          ","315,000","299,000","16,000",
="0757  ","元大M4          ","58,000","42,000","16,000",
="01001T","土銀富邦R1      ","15,000","0","15,000",
="0666  ","亞東11          ","338,000","323,000","15,000",
="0745P ","元大L6          ","15,000","0","15,000",
"3026  ","禾伸堂          ","15,000","0","15,000",
="03101 ","元大9J          ","929,000","918,000","11,000",
="0609  ","元大L2          ","10,000","0","10,000",
="0638  ","建華66          ","1,195,000","1,185,000","10,000",
="0641  ","元富38          ","134,000","124,000","10,000",
="0748  ","元大L7          ","10,000","0","10,000",
"3025  ","星通            ","10,000","0","10,000",
"1102  ","亞泥            ","52,000","43,000","9,000",
"3062  ","建漢            ","10,000","1,000","9,000",
="0587  ","台証47          ","33,000","25,000","8,000",
="0658  ","群益63          ","8,000","0","8,000",
"3044  ","健鼎            ","6,000","0","6,000",
"6286  ","立錡            ","6,000","0","6,000",
="0323  ","元京17          ","5,000","0","5,000",
="0626  ","信證16          ","5,000","0","5,000",
="0708  ","元富42          ","160,000","155,000","5,000",
="0723  ","亞東14          ","22,000","17,000","5,000",
="0750  ","元大L9          ","107,000","102,000","5,000",
"2473  ","思源            ","5,000","0","5,000",
"6285  ","啟碁            ","5,000","0","5,000",
="0729  ","建華75          ","1,137,000","1,133,000","4,000",
="0741  ","建華83          ","1,132,000","1,128,000","4,000",
="0772  ","元大N2          ","204,000","200,000","4,000",
"2617  ","台航            ","7,000","3,000","4,000",
="0593  ","統一51          ","43,000","40,000","3,000",
="0621  ","倍利41          ","3,000","0","3,000",
="0775  ","中信64          ","5,000","2,000","3,000",
="0791  ","永昌24          ","66,000","63,000","3,000",
="03074 ","永昌BX          ","553,000","551,000","2,000",
="0586  ","建華58          ","442,000","440,000","2,000",
="0598  ","建華60          ","651,000","649,000","2,000",
="0689  ","康和08          ","2,000","0","2,000",
="0702  ","永昌22          ","141,000","139,000","2,000",
="0717  ","台証66          ","462,000","460,000","2,000",
="0722  ","寶來71          ","2,000","0","2,000",
="0737  ","康和09          ","2,000","0","2,000",
="0742  ","亞東15          ","247,000","245,000","2,000",
="0777  ","康和10          ","2,000","0","2,000",
="0793  ","永昌26          ","289,000","287,000","2,000",
"2495  ","普安            ","3,000","1,000","2,000",
="03085 ","元富JL          ","1,880,000","1,879,000","1,000",
="0627  ","建華63          ","505,000","504,000","1,000",
="0642  ","亞東09          ","19,000","18,000","1,000",
="0643  ","建華67          ","1,000","0","1,000",
="0649  ","亞東10          ","1,000","0","1,000",
="0685  ","大華55          ","1,000","0","1,000",
="0731  ","建華77          ","1,640,000","1,639,000","1,000",
="0734  ","建華78          ","1,000","0","1,000",
="0735  ","建華79          ","1,000","0","1,000",
="0738  ","建華80          ","1,000","0","1,000",
="0740  ","建華82          ","1,000","0","1,000",
"8008  ","建興電          ","1,000","0","1,000",
"2801  ","彰銀            ","574,000","5,853,000","-5,279,000",
"2409  ","友達            ","1,526,000","5,917,000","-4,391,000",
="03006 ","元富HW          ","2,139,000","5,338,000","-3,199,000",
="0698  ","寶來63          ","440,000","2,884,000","-2,444,000",
="0050  ","元大台灣50      ","328,000","1,827,000","-1,499,000",
="0747  ","富邦59          ","32,000","1,384,000","-1,352,000",
="03003 ","群益NI          ","1,477,000","2,795,000","-1,318,000",
="0304  ","金鼎23          ","1,634,000","2,909,000","-1,275,000",
"3009  ","奇美電          ","677,000","1,944,000","-1,267,000",
="0705  ","寶來64          ","187,000","1,396,000","-1,209,000",
"2704  ","國賓            ","0","1,204,000","-1,204,000",
"2350  ","環電            ","0","1,200,000","-1,200,000",
"4906  ","正文            ","0","1,070,000","-1,070,000",
="0633  ","統一52          ","56,000","1,072,000","-1,016,000",
="0724  ","建華72          ","1,484,000","2,496,000","-1,012,000",
"2315  ","神達            ","64,000","1,075,000","-1,011,000",
="0616  ","寶來57          ","7,300,000","8,284,000","-984,000",
="03016 ","大華GC          ","1,164,000","2,115,000","-951,000",
="03001 ","永豐99          ","991,000","1,940,000","-949,000",
"2475  ","華映            ","256,000","1,181,000","-925,000",
"6239  ","力成            ","175,000","1,086,000","-911,000",
"2353  ","宏碁            ","602,000","1,446,000","-844,000",
="0753  ","中信59          ","467,000","1,273,000","-806,000",
"2323  ","中環            ","1,305,000","2,095,000","-790,000",
="03007 ","元富HX          ","2,533,000","3,309,000","-776,000",
"2408  ","南亞科          ","4,084,000","4,841,000","-757,000",
="0759  ","玉山02          ","635,000","1,365,000","-730,000",
="03071 ","統一AN          ","898,000","1,617,000","-719,000",
="03022 ","凱基N1          ","79,000","793,000","-714,000",
"2341  ","英群            ","0","680,000","-680,000",
"2103  ","台橡            ","0","674,000","-674,000",
="03063 ","大華GK          ","471,000","1,131,000","-660,000",
"2845  ","遠東銀          ","69,000","722,000","-653,000",
="0321  ","金鼎25          ","645,000","1,288,000","-643,000",
="0330  ","金鼎26          ","2,840,000","3,480,000","-640,000",
"2834  ","臺企銀          ","20,000","655,000","-635,000",
="0728  ","建華74          ","2,358,000","2,976,000","-618,000",
="03055 ","凱基74          ","454,000","1,054,000","-600,000",
="0596  ","新壽01          ","0","584,000","-584,000",
="0744  ","元大L5          ","0","579,000","-579,000",
="0334  ","元京24          ","293,000","861,000","-568,000",
="0314  ","大展01          ","534,000","1,097,000","-563,000",
="0712  ","統一54          ","66,000","616,000","-550,000",
="0761  ","金鼎21          ","717,000","1,257,000","-540,000",
="0762  ","元大M6          ","284,000","820,000","-536,000",
"2882  ","國泰金          ","73,000","587,000","-514,000",
"2206  ","三陽工業        ","0","510,000","-510,000",
="0736  ","富邦57          ","159,000","668,000","-509,000",
="03011 ","元富JB          ","1,392,000","1,895,000","-503,000",
"2002  ","中鋼            ","261,000","757,000","-496,000",
"2376  ","技嘉            ","0","488,000","-488,000",
"2384  ","勝華            ","36,000","507,000","-471,000",
="03008 ","元富HY          ","334,000","793,000","-459,000",
="0346  ","台証68          ","1,427,000","1,885,000","-458,000",
="0768  ","群益68          ","552,000","1,007,000","-455,000",
="0679  ","亞東12          ","14,000","450,000","-436,000",
="0327  ","元京20          ","527,000","950,000","-423,000",
"2448  ","晶電            ","0","405,000","-405,000",
="0340  ","新壽05          ","1,000","395,000","-394,000",
"6505  ","台塑化          ","55,000","449,000","-394,000",
="03005 ","大華62          ","2,283,000","2,675,000","-392,000",
="0718  ","建華70          ","1,234,000","1,624,000","-390,000",
"2888  ","新光金          ","102,000","481,000","-379,000",
="0797  ","寶來76          ","0","366,000","-366,000",
"1313  ","聯成            ","0","358,000","-358,000",
="0785  ","元大N8          ","320,000","670,000","-350,000",
="03032 ","寶來43          ","422,000","768,000","-346,000",
