"095年07月17日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2409  ","友達            ","5,383,000","135,000","5,248,000",
" ","3474  ","華亞科          ","2,187,000","0","2,187,000",
" ","3009  ","奇美電          ","1,579,000","0","1,579,000",
" ","2881  ","富邦金          ","1,108,000","0","1,108,000",
" ","2338  ","光罩            ","900,000","0","900,000",
" ","2476  ","鉅祥            ","880,000","0","880,000",
" ","2483  ","百容            ","810,000","0","810,000",
" ","2439  ","美律            ","784,000","20,000","764,000",
" ","2492  ","華新科          ","700,000","0","700,000",
" ","2412  ","中華電          ","693,000","0","693,000",
" ","3019  ","亞光            ","670,000","0","670,000",
" ","2459  ","敦吉            ","650,000","0","650,000",
" ","2612  ","中航            ","648,000","0","648,000",
" ","2002  ","中鋼            ","591,000","40,000","551,000",
" ","3012  ","廣輝            ","550,000","0","550,000",
" ","6286  ","立錡            ","749,000","199,000","550,000",
" ","9933  ","中鼎            ","500,000","0","500,000",
" ","2368  ","金像電          ","450,000","0","450,000",
" ","4906  ","正文            ","363,000","0","363,000",
" ","1477  ","聚陽            ","360,000","0","360,000",
" ","2887  ","台新金          ","321,000","0","321,000",
" ","2481  ","強茂            ","304,000","0","304,000",
" ","1704  ","榮化            ","300,000","0","300,000",
" ","3311  ","閎暉            ","338,000","46,000","292,000",
" ","2882  ","國泰金          ","380,000","95,000","285,000",
" ","2351  ","順德            ","468,000","220,000","248,000",
" ","6285  ","啟碁            ","386,000","140,000","246,000",
" ","3045  ","台灣大          ","235,000","0","235,000",
" ","2460  ","建通            ","229,000","0","229,000",
" ","2303  ","聯電            ","228,000","0","228,000",
" ","1303  ","南亞            ","227,000","0","227,000",
" ","2605  ","新興            ","200,000","0","200,000",
" ","3059  ","華晶科          ","200,000","0","200,000",
" ","2883  ","開發金          ","190,000","0","190,000",
" ","2498  ","宏達電          ","191,000","7,000","184,000",
" ","2911  ","麗嬰房          ","180,000","0","180,000",
" ","3037  ","欣興            ","235,000","77,000","158,000",
" ","2886  ","兆豐金          ","151,000","0","151,000",
" ","2891  ","中信金          ","137,000","0","137,000",
" ","2880  ","華南金          ","131,000","0","131,000",
" ","2890  ","永豐金          ","130,000","0","130,000",
" ","4904  ","遠傳            ","127,000","0","127,000",
" ","3003  ","健和興          ","126,000","0","126,000",
" ","2107  ","厚生            ","100,000","0","100,000",
" ","1301  ","台塑            ","106,000","9,000","97,000",
" ","2475  ","華映            ","96,000","0","96,000",
" ","2356  ","英業達          ","190,000","100,000","90,000",
" ","1326  ","台化            ","71,000","0","71,000",
" ","2451  ","創見            ","71,000","0","71,000",
