"094年12月20日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03705 ","工銀JW          ","20,919,000","450,000","20,469,000",
="03704 ","工銀JV          ","14,898,000","1,058,000","13,840,000",
="03703 ","工銀JU          ","14,458,000","1,011,000","13,447,000",
="0050  ","元大台灣50      ","5,230,000","13,000","5,217,000",
"2614  ","東森            ","4,911,000","1,155,775","3,755,225",
"2606  ","裕民            ","2,610,000","105,000","2,505,000",
"2449  ","京元電子        ","2,260,000","466,000","1,794,000",
"2408  ","南亞科          ","2,364,000","882,407","1,481,593",
="03189 ","兆豐1L          ","1,353,000","0","1,353,000",
="03217 ","國泰EZ          ","1,362,000","12,000","1,350,000",
"2313  ","華通            ","1,990,000","737,000","1,253,000",
"1710  ","東聯            ","1,242,000","1,000","1,241,000",
"2023  ","燁輝            ","1,272,000","49,000","1,223,000",
"1434  ","福懋            ","1,203,000","101,000","1,102,000",
="03547 ","日盛NC          ","2,615,000","1,559,000","1,056,000",
="03195 ","群益NT          ","1,032,000","0","1,032,000",
="03473 ","元富37          ","1,144,000","151,000","993,000",
="03236 ","元富KC          ","981,000","0","981,000",
"2384  ","勝華            ","1,187,000","261,000","926,000",
"3042  ","晶技            ","922,000","0","922,000",
="03695 ","富邦BH          ","1,115,000","202,000","913,000",
"1303  ","南亞            ","2,034,000","1,145,000","889,000",
"2534  ","宏盛            ","1,516,000","631,000","885,000",
="03453 ","凱基1R          ","939,000","66,000","873,000",
"2605  ","新興            ","972,000","120,000","852,000",
="03561 ","大華JG          ","1,140,000","305,000","835,000",
"2457  ","飛宏            ","751,000","1,000","750,000",
"3037  ","欣興            ","1,956,000","1,246,000","710,000",
"1314  ","中石化          ","680,000","1,000","679,000",
="03402 ","群益03          ","1,048,000","388,000","660,000",
="03242 ","統一BT          ","649,000","0","649,000",
"2402  ","毅嘉            ","760,000","113,000","647,000",
="03175 ","日盛MT          ","553,000","0","553,000",
="03282 ","寶來84          ","549,000","0","549,000",
"1718  ","中纖            ","532,000","0","532,000",
="03441 ","群益06          ","545,000","15,000","530,000",
"8078  ","華寶            ","588,000","72,000","516,000",
="03256 ","永豐1J          ","532,000","18,000","514,000",
="03339 ","工銀JD          ","1,905,000","1,399,000","506,000",
"2352  ","佳世達          ","720,000","217,000","503,000",
"2327  ","國巨            ","600,000","100,000","500,000",
="03245 ","日盛MU          ","643,000","156,000","487,000",
"2394  ","普立爾          ","872,000","407,000","465,000",
"3012  ","廣輝            ","701,000","236,000","465,000",
"6166  ","凌華            ","454,000","0","454,000",
="03151 ","工銀JA          ","425,000","0","425,000",
"2486  ","一詮            ","423,000","0","423,000",
="03615 ","群益33          ","825,000","412,000","413,000",
="03075 ","第一33          ","595,000","186,000","409,000",
"2883  ","開發金          ","709,000","317,000","392,000",
="03415 ","富邦AJ          ","1,382,000","992,000","390,000",
"2409  ","友達            ","1,342,000","955,000","387,000",
"2476  ","鉅祥            ","878,000","494,000","384,000",
="03174 ","日盛MS          ","1,125,000","748,000","377,000",
"2387  ","精元            ","354,000","0","354,000",
="03154 ","群益NQ          ","350,000","0","350,000",
="03514 ","群益09          ","3,016,000","2,668,000","348,000",
="03229 ","元富JV          ","645,000","313,000","332,000",
"2308  ","台達電          ","678,000","349,000","329,000",
