"098年08月12日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"3009  ","奇美電          ","6,484,000","1,775,000","4,709,000",
="0050  ","元大台灣50      ","3,740,000","1,513,000","2,227,000",
"2885  ","元大金          ","2,581,000","832,000","1,749,000",
"2475  ","華映            ","2,659,000","1,033,000","1,626,000",
"6116  ","彩晶            ","2,256,000","638,000","1,618,000",
"8008  ","建興電          ","1,651,000","92,000","1,559,000",
"2382  ","廣達            ","1,560,000","148,000","1,412,000",
"2002  ","中鋼            ","1,857,000","489,000","1,368,000",
"3481  ","群創            ","1,488,000","190,000","1,298,000",
="03191P","玉晶光凱基93售03","1,262,000","0","1,262,000",
="04226 ","統一DB          ","1,198,000","45,000","1,153,000",
="07015P","大立光凱基89售17","1,024,000","0","1,024,000",
"3311  ","閎暉            ","1,022,000","11,000","1,011,000",
="07780 ","康和BR          ","1,155,000","156,000","999,000",
="03337 ","工銀JB          ","1,005,000","20,000","985,000",
="04268 ","永豐7X          ","1,318,000","336,000","982,000",
"2355  ","敬鵬            ","963,000","0","963,000",
="03778 ","永豐4S          ","891,000","0","891,000",
="07960P","美律元大8B售05  ","878,000","0","878,000",
"2353  ","宏碁            ","904,000","68,000","836,000",
="04073 ","元大AA          ","1,287,000","469,000","818,000",
="07815 ","元富GT          ","882,000","107,000","775,000",
"1605  ","華新            ","868,000","116,000","752,000",
"1101  ","台泥            ","919,000","183,000","736,000",
"2881  ","富邦金          ","2,200,000","1,477,000","723,000",
="03137 ","凱基89          ","725,000","15,000","710,000",
="03047 ","寶來58          ","747,000","40,000","707,000",
="07497P","健策永豐8A售02  ","1,042,000","338,000","704,000",
="07749 ","寶來13          ","1,121,000","421,000","700,000",
="03270P","台光電凱基92售01","721,000","24,000","697,000",
="03123 ","亞東GR          ","690,000","0","690,000",
"2014  ","中鴻            ","785,000","110,000","675,000",
="07983 ","統一AF          ","1,523,000","850,000","673,000",
"2884  ","玉山金          ","820,000","164,000","656,000",
"6120  ","達運            ","630,000","0","630,000",
="03241 ","統一BS          ","635,000","32,000","603,000",
="03169 ","群益G9          ","1,432,000","832,000","600,000",
="03442 ","群益07          ","756,000","166,000","590,000",
="03716 ","日盛NX          ","633,000","50,000","583,000",
="07573 ","大華EY          ","570,000","0","570,000",
="03040P","貿聯兆豐92售03  ","619,000","54,000","565,000",
="03189 ","兆豐1L          ","918,000","391,000","527,000",
="07964 ","群益ND          ","1,472,000","957,000","515,000",
"2311  ","日月光          ","882,000","373,000","509,000",
"1513  ","中興電          ","509,000","3,000","506,000",
"2485  ","兆赫            ","807,000","304,000","503,000",
="03838 ","工銀KH          ","624,000","125,000","499,000",
"1722  ","台肥            ","589,000","93,000","496,000",
="03329 ","永豐1N          ","540,000","59,000","481,000",
="07909 ","元富HN          ","489,000","15,000","474,000",
"6176  ","瑞儀            ","563,000","96,000","467,000",
"3026  ","禾伸堂          ","460,000","0","460,000",
"1707  ","葡萄王          ","564,000","120,000","444,000",
"2363  ","矽統            ","480,000","40,000","440,000",
="03615P","大立光元大92售21","784,000","346,000","438,000",
"2888  ","新光金          ","1,309,000","883,000","426,000",
"2377  ","微星            ","505,000","99,000","406,000",
="03659 ","凱基2M          ","435,000","34,000","401,000",
="06948 ","元富EW          ","396,000","2,000","394,000",
"2337  ","旺宏            ","803,000","411,000","392,000",
"3014  ","聯陽            ","472,000","90,000","382,000",
"2303  ","聯電            ","655,000","283,000","372,000",
="03103 ","元大9N          ","370,000","0","370,000",
="03230P","台積電群益92售07","1,070,000","703,000","367,000",
"2101  ","南港            ","380,000","13,000","367,000",
"2104  ","國際中橡        ","411,000","44,000","367,000",
"2201  ","裕隆            ","622,000","257,000","365,000",
="06073 ","富邦92          ","353,000","0","353,000",
"8016  ","矽創            ","369,000","17,000","352,000",
="03278 ","寶來80          ","380,000","29,000","351,000",
"2368  ","金像電          ","350,000","0","350,000",
"2384  ","勝華            ","625,000","277,000","348,000",
="03570 ","凱基BY          ","448,000","105,000","343,000",
="07987 ","凱基69          ","344,000","2,000","342,000",
="07701 ","富邦L2          ","527,000","190,000","337,000",
"3022  ","威強電          ","413,000","76,000","337,000",
="04477P","南電元大94售04  ","339,000","5,000","334,000",
"2327  ","國巨            ","532,000","204,000","328,000",
="07374 ","統一G5          ","365,000","40,000","325,000",
="03729 ","富邦BN          ","320,000","0","320,000",
="03894 ","康和CC          ","320,000","0","320,000",
="07953 ","兆豐96          ","337,000","24,000","313,000",
="04202 ","元大BD          ","310,000","0","310,000",
="03328 ","元大25          ","302,000","2,000","300,000",
="03509P","和大元大92售02  ","327,000","30,000","297,000",
="04457 ","富邦DZ          ","300,000","10,000","290,000",
"2609  ","陽明            ","308,000","19,000","289,000",
="03463P","正文國票93售01  ","288,000","1,000","287,000",
="04137 ","康和CH          ","297,000","10,000","287,000",
="07985 ","統一AH          ","409,000","124,000","285,000",
"2892  ","第一金          ","973,000","688,000","285,000",
="03488P","臺股指凱基92售07","296,000","12,000","284,000",
"1611  ","中電            ","330,000","52,000","278,000",
="03453P","聯茂元富92售01  ","336,000","60,000","276,000",
="07245 ","元富FX          ","275,000","1,000","274,000",
="03283 ","寶來85          ","418,000","146,000","272,000",
="07363 ","大華DZ          ","421,000","154,000","267,000",
="04220 ","永豐6Z          ","265,000","0","265,000",
="04094 ","凱基DZ          ","297,000","33,000","264,000",
"2015  ","豐興            ","349,000","85,000","264,000",
"1201  ","味全            ","288,000","27,000","261,000",
"3080  ","威力盟          ","261,000","1,000","260,000",
="07507 ","日盛LJ          ","274,000","16,000","258,000",
="03351P","瑞儀兆豐93售04  ","409,000","152,000","257,000",
="06956P","百和元富89售01  ","257,000","0","257,000",
="07661 ","元大7W          ","423,000","166,000","257,000",
="04168 ","工銀KV          ","316,000","60,000","256,000",
="04293 ","元大BU          ","413,000","158,000","255,000",
"5203  ","訊連            ","329,000","74,000","255,000",
="04255 ","永豐7J          ","316,000","65,000","251,000",
="07831 ","國泰EU          ","330,000","80,000","250,000",
"3593  ","力銘            ","252,000","2,000","250,000",
"1301  ","台塑            ","446,000","201,000","245,000",
="07658 ","元大7T          ","801,000","557,000","244,000",
