"099年11月10日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03663P","聯電群益92售01  ","6,654,000","259,000","6,395,000",
"1605  ","華新            ","5,574,000","1,903,000","3,671,000",
="03610P","台積電元大92售28","4,308,000","1,192,000","3,116,000",
="03401P","台泥凱基92售01  ","2,949,000","113,000","2,836,000",
="032150","潤泰全麥證85購01","2,806,000","234,000","2,572,000",
="03708P","鴻海亞東93售01  ","3,073,000","545,000","2,528,000",
"910579","歐聖            ","2,812,000","418,000","2,394,000",
="032496","貿聯國泰85購01  ","2,906,000","707,000","2,199,000",
"2002  ","中鋼            ","3,141,068","1,139,000","2,002,068",
="0061  ","元大寶滬深      ","3,041,000","1,080,000","1,961,000",
"2892  ","第一金          ","2,159,000","393,000","1,766,000",
="034298","欣興凱基87購01  ","1,829,000","79,000","1,750,000",
"1457  ","宜進            ","1,700,000","0","1,700,000",
="030380","聯電麥證84購04  ","1,695,000","10,000","1,685,000",
="032681","全新元大88購01  ","1,664,000","10,000","1,654,000",
="031311","聯電富邦86購01  ","1,746,000","120,000","1,626,000",
="033771","敬鵬元大89購01  ","1,667,000","61,000","1,606,000",
"9907  ","統一實          ","1,836,000","253,000","1,583,000",
="033962","長榮航第一88購01","1,843,000","311,000","1,532,000",
="030187","宏達電永豐84購02","1,498,000","0","1,498,000",
"2891  ","中信金          ","1,641,000","153,002","1,487,998",
"2034  ","允強            ","1,516,000","62,000","1,454,000",
="031159","台灣50凱基85購01","1,407,000","0","1,407,000",
="033931","晶電統一8A購01  ","1,258,000","35,000","1,223,000",
"2888  ","新光金          ","1,195,000","0","1,195,000",
="03042P","台積電群益91售08","1,177,000","0","1,177,000",
"3481  ","群創            ","1,234,000","66,000","1,168,000",
="03710P","台郡凱基93售01  ","1,365,000","198,000","1,167,000",
="032796","健策永豐86購01  ","1,697,000","542,000","1,155,000",
"2885  ","元大金          ","1,828,000","690,000","1,138,000",
"2834  ","臺企銀          ","1,678,000","560,000","1,118,000",
="05196 ","寶來F6          ","1,099,000","0","1,099,000",
="032143","京元電群益85購01","1,355,000","265,000","1,090,000",
="032911","力山永豐86購02  ","1,288,000","248,000","1,040,000",
="032933","嘉晶元富86購01  ","2,997,000","1,958,000","1,039,000",
="030167","臺股指元大84購48","969,000","0","969,000",
="034152","奇力新永豐87購01","2,596,000","1,639,000","957,000",
="034368","聯電日盛87購01  ","967,000","20,000","947,000",
="033041","臺股指元大86購14","1,199,000","278,000","921,000",
="033597","S&P反1國票86購01","1,241,000","321,000","920,000",
="03506P","臺股指元富92售08","928,000","11,000","917,000",
="033003","亞德客統一88購01","979,000","114,000","865,000",
="03664P","南茂康和92售01  ","4,120,000","3,274,000","846,000",
="033707","新光金元大86購03","1,262,000","417,000","845,000",
="033255","元油2X康和86購02","900,000","64,000","836,000",
"2384  ","勝華            ","2,029,000","1,216,200","812,800",
="034036","國巨凱基87購01  ","1,026,000","216,000","810,000",
="030699","中石化國泰84購02","809,000","0","809,000",
"1314  ","中石化          ","1,440,000","655,000","785,000",
="033838","大立光凱基86購07","919,000","148,000","771,000",
="03433P","台積電凱基92售15","771,000","2,000","769,000",
="031626","奇力新永豐85購03","922,000","160,000","762,000",
"1313  ","聯成            ","1,111,000","351,000","760,000",
="033311","京元電第一86購01","1,402,000","644,000","758,000",
="031988","亞德客國票85購01","817,000","70,000","747,000",
="032723","奇力新國票87購01","1,049,000","321,000","728,000",
="032281","亞德客麥證85購04","893,000","166,000","727,000",
="033178","南電康和86購01  ","720,000","0","720,000",
="031894","臺股指麥證85購01","713,000","8,000","705,000",
="03330P","欣興國票93售02  ","926,000","239,000","687,000",
="033981","宏達電永豐87購02","693,000","10,000","683,000",
="033694","元油2X元大86購11","678,000","0","678,000",
="034202","力成元大87購02  ","804,000","130,000","674,000",
="030244","元金2X元大84購04","670,000","0","670,000",
="032117","大毅凱基85購01  ","675,000","5,000","670,000",
="03195P","創意永豐91售04  ","1,133,000","467,000","666,000",
="031531","上緯控群益85購01","685,000","25,000","660,000",
="033047","鴻海中信86購01  ","1,058,000","400,000","658,000",
"1704  ","榮化            ","801,000","143,000","658,000",
="032426","京鼎富邦86購02  ","860,000","210,000","650,000",
="033839","大立光凱基86購08","634,000","0","634,000",
"2412  ","中華電          ","1,140,000","509,000","631,000",
="031388","滬深2X元富85購06","626,000","0","626,000",
="032608","創意中信87購01  ","1,100,000","483,000","617,000",
"2352  ","佳世達          ","787,000","171,000","616,000",
="031989","可成國票85購04  ","777,000","174,000","603,000",
="032477","上証2X元大85購12","593,000","0","593,000",
="03629P","台積電麥證92售02","1,131,000","552,000","579,000",
="034480","宏達電元富87購01","569,000","0","569,000",
"8008  ","建興電          ","576,000","8,000","568,000",
="034367","光寶科日盛87購01","1,048,000","481,000","567,000",
="033731","矽創富邦88購01  ","626,000","60,000","566,000",
"1902  ","台紙            ","767,000","205,000","562,000",
="034206","易華電元大87購01","852,000","293,000","559,000",
="03338P","台勝科凱基92售02","557,000","0","557,000",
"2903  ","遠百            ","1,075,000","527,000","548,000",
="032373","鴻海元大85購15  ","612,000","65,000","547,000",
="032604","中磊群益86購01  ","1,238,000","695,000","543,000",
"1210  ","大成            ","861,000","318,540","542,460",
="033310","光磊富邦87購01  ","1,447,000","919,000","528,000",
="033669","世紀鋼凱基86購02","952,000","433,000","519,000",
="033439","禾伸堂元富86購01","592,000","74,000","518,000",
="030085","國巨兆豐85購03  ","515,000","0","515,000",
="030451","廣宇元大84購01  ","517,000","2,000","515,000",
="032666","日電貿康和86購01","538,000","24,000","514,000",
"1402  ","遠東新          ","887,000","374,000","513,000",
="033354","盛群永豐86購01  ","945,000","438,000","507,000",
="030314","上証2X中信86購02","505,000","0","505,000",
="032265","中磊永豐85購02  ","704,000","199,000","505,000",
="031155","大立光群益85購05","508,000","5,000","503,000",
="031986","宏達電永豐85購03","677,000","185,000","492,000",
