"098年12月10日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3049  ","和鑫            ","4,942,000","0","4,942,000",
" ","2393  ","億光            ","4,933,000","0","4,933,000",
" ","2499  ","東貝            ","4,299,000","0","4,299,000",
" ","6120  ","達運            ","3,097,000","52,000","3,045,000",
" ","3037  ","欣興            ","3,304,000","328,000","2,976,000",
" ","2489  ","瑞軒            ","2,670,000","0","2,670,000",
" ","3702  ","大聯大          ","2,275,000","6,000","2,269,000",
" ","8046  ","南電            ","1,643,000","1,000","1,642,000",
" ","2402  ","毅嘉            ","1,540,000","1,000","1,539,000",
" ","3514  ","昱晶            ","1,788,000","360,000","1,428,000",
" ","3576  ","聯合再生        ","1,454,000","116,000","1,338,000",
" ","1702  ","南僑            ","1,326,000","0","1,326,000",
" ","3030  ","德律            ","1,200,000","0","1,200,000",
" ","2448  ","晶電            ","1,186,000","0","1,186,000",
" ","2355  ","敬鵬            ","1,185,000","0","1,185,000",
" ","2325  ","矽品            ","1,000,000","8,000","992,000",
" ","4104  ","佳醫            ","963,000","0","963,000",
" ","1319  ","東陽            ","970,000","105,000","865,000",
" ","2354  ","鴻準            ","784,000","2,000","782,000",
" ","3060  ","銘異            ","871,000","201,000","670,000",
" ","5534  ","長虹            ","600,000","4,000","596,000",
" ","5434  ","崇越            ","568,000","1,000","567,000",
" ","1707  ","葡萄王          ","600,000","50,000","550,000",
" ","2404  ","漢唐            ","530,000","1,000","529,000",
" ","3561  ","昇陽光電        ","500,000","0","500,000",
" ","6176  ","瑞儀            ","500,000","0","500,000",
" ","8112  ","至上            ","500,000","0","500,000",
" ","2547  ","日勝生          ","500,000","1,000","499,000",
" ","3034  ","聯詠            ","500,000","3,000","497,000",
" ","2014  ","中鴻            ","500,000","11,000","489,000",
" ","3383  ","新世紀          ","460,000","10,000","450,000",
" ","3019  ","亞光            ","433,000","0","433,000",
" ","1471  ","首利            ","430,000","0","430,000",
" ","3474  ","華亞科          ","406,000","1,000","405,000",
" ","2351  ","順德            ","400,000","0","400,000",
" ","2618  ","長榮航          ","400,000","0","400,000",
" ","1525  ","江申            ","518,000","120,000","398,000",
" ","9945  ","潤泰新          ","361,000","0","361,000",
" ","2384  ","勝華            ","350,000","0","350,000",
" ","2464  ","盟立            ","350,000","0","350,000",
" ","6213  ","聯茂            ","322,000","6,000","316,000",
" ","1521  ","大億            ","290,000","0","290,000",
" ","3607  ","谷崧            ","252,000","0","252,000",
" ","6108  ","競國            ","250,000","0","250,000",
" ","1722  ","台肥            ","231,000","2,000","229,000",
" ","3653  ","健策            ","209,000","0","209,000",
" ","3022  ","威強電          ","205,000","0","205,000",
" ","1225  ","福懋油          ","200,000","0","200,000",
" ","1905  ","華紙            ","200,000","0","200,000",
" ","2102  ","泰豐            ","200,000","4,000","196,000",
" ","2474  ","可成            ","250,000","57,000","193,000",
" ","3614  ","誠致            ","310,000","150,000","160,000",
" ","2915  ","潤泰全          ","158,000","1,000","157,000",
" ","2108  ","南帝            ","730,000","586,000","144,000",
" ","8078  ","華寶            ","247,000","104,000","143,000",
" ","2486  ","一詮            ","100,000","0","100,000",
" ","6112  ","聚碩            ","100,000","0","100,000",
" ","3545  ","敦泰            ","82,000","0","82,000",
" ","1523  ","開億            ","70,000","0","70,000",
" ","3533  ","嘉澤            ","490,000","433,000","57,000",
" ","3596  ","智易            ","71,000","20,000","51,000",
" ","1540  ","喬福            ","50,000","0","50,000",
" ","2387  ","精元            ","90,000","40,000","50,000",
" ","6286  ","立錡            ","57,000","7,000","50,000",
" ","8070  ","長華            ","50,000","0","50,000",
" ","6271  ","同欣電          ","170,000","121,000","49,000",
" ","1530  ","亞崴            ","70,000","29,000","41,000",
" ","1451  ","年興            ","25,000","0","25,000",
" ","4904  ","遠傳            ","25,000","7,000","18,000",
" ","3044  ","健鼎            ","554,000","544,000","10,000",
" ","2201  ","裕隆            ","10,000","5,000","5,000",
" ","3041  ","揚智            ","0","7,494,370","-7,494,370",
" ","3009  ","奇美電          ","0","4,973,000","-4,973,000",
" ","1101  ","台泥            ","0","3,117,000","-3,117,000",
" ","2350  ","環電            ","0","3,001,000","-3,001,000",
" ","2882  ","國泰金          ","0","2,949,200","-2,949,200",
" ","1303  ","南亞            ","0","2,928,970","-2,928,970",
" ","2330  ","台積電          ","0","2,528,765","-2,528,765",
" ","5854  ","合庫            ","0","2,064,000","-2,064,000",
" ","2374  ","佳能            ","170,000","2,057,000","-1,887,000",
" ","2409  ","友達            ","1,296,000","3,125,000","-1,829,000",
" ","1711  ","永光            ","0","1,756,000","-1,756,000",
" ","2412  ","中華電          ","75,000","1,666,966","-1,591,966",
" ","3005  ","神基            ","0","1,590,000","-1,590,000",
" ","2006  ","東和鋼鐵        ","0","1,558,469","-1,558,469",
" ","2352  ","佳世達          ","0","1,523,000","-1,523,000",
" ","2317  ","鴻海            ","50,000","1,554,000","-1,504,000",
" ","2401  ","凌陽            ","0","1,477,000","-1,477,000",
" ","2303  ","聯電            ","0","1,461,000","-1,461,000",
" ","2606  ","裕民            ","0","1,424,000","-1,424,000",
" ","9136  ","巨騰-DR         ","0","1,415,000","-1,415,000",
" ","2311  ","日月光          ","0","1,354,000","-1,354,000",
" ","2881  ","富邦金          ","0","1,282,000","-1,282,000",
" ","1102  ","亞泥            ","0","1,171,700","-1,171,700",
" ","6269  ","台郡            ","170,000","1,252,000","-1,082,000",
" ","2362  ","藍天            ","0","1,069,000","-1,069,000",
" ","2382  ","廣達            ","490,000","1,506,000","-1,016,000",
" ","1216  ","統一            ","43,000","1,010,000","-967,000",
" ","2426  ","鼎元            ","0","966,000","-966,000",
" ","2379  ","瑞昱            ","100,000","1,052,000","-952,000",
" ","2886  ","兆豐金          ","0","883,000","-883,000",
" ","2391  ","合勤            ","0","855,000","-855,000",
" ","3017  ","奇鋐            ","227,000","1,078,000","-851,000",
" ","2105  ","正新            ","0","832,500","-832,500",
" ","2349  ","錸德            ","0","800,000","-800,000",
" ","2485  ","兆赫            ","0","766,000","-766,000",
" ","3080  ","威力盟          ","0","704,000","-704,000",
" ","2347  ","聯強            ","0","684,000","-684,000",
" ","3059  ","華晶科          ","0","662,000","-662,000",
" ","2458  ","義隆            ","0","620,000","-620,000",
" ","1301  ","台塑            ","0","617,990","-617,990",
