"095年08月17日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="04278 ","日盛46          ","28,617,000","1,674,000","26,943,000",
="04274 ","日盛42          ","13,940,000","416,000","13,524,000",
="04277 ","日盛45          ","14,000,000","626,000","13,374,000",
="04275 ","日盛43          ","13,532,000","274,000","13,258,000",
="04276 ","日盛44          ","13,673,000","1,525,000","12,148,000",
="0050  ","元大台灣50      ","11,621,000","2,129,000","9,492,000",
="03423 ","第一40          ","5,974,000","44,000","5,930,000",
"2408  ","南亞科          ","3,897,000","1,652,000","2,245,000",
"2315  ","神達            ","2,769,000","661,000","2,108,000",
="03987 ","統一CU          ","2,000,000","0","2,000,000",
"2418  ","雅新            ","2,195,000","365,000","1,830,000",
"2504  ","國產            ","1,803,000","30,000","1,773,000",
"2446  ","全懋            ","2,100,000","512,000","1,588,000",
="03917 ","富邦CD          ","2,828,000","1,272,000","1,556,000",
"2014  ","中鴻            ","1,659,000","127,000","1,532,000",
="03809 ","永豐4W          ","3,441,000","1,931,000","1,510,000",
="03937 ","凱基3J          ","3,734,000","2,279,000","1,455,000",
"2388  ","威盛            ","1,365,000","0","1,365,000",
="04071 ","元大98          ","2,390,000","1,189,000","1,201,000",
="03889 ","永豐5K          ","1,166,000","114,000","1,052,000",
="03919 ","富邦CF          ","1,178,000","146,000","1,032,000",
="03812 ","兆豐B1          ","994,000","15,000","979,000",
="04262 ","永豐7R          ","1,196,000","221,000","975,000",
"2501  ","國建            ","1,011,000","96,000","915,000",
"2449  ","京元電子        ","1,128,000","225,000","903,000",
"2534  ","宏盛            ","936,000","66,000","870,000",
="04066 ","大華LU          ","752,000","0","752,000",
="08002 ","寶來A5          ","1,592,000","849,000","743,000",
"2484  ","希華            ","720,000","0","720,000",
="04087 ","永豐6C          ","1,617,000","933,000","684,000",
"2542  ","興富發          ","1,016,000","349,542","666,458",
="03972 ","元大87          ","650,000","0","650,000",
"2605  ","新興            ","1,137,000","500,000","637,000",
="03751 ","元大59          ","744,000","111,000","633,000",
="04079 ","元大AG          ","1,563,000","943,000","620,000",
"9945  ","潤泰新          ","1,857,000","1,241,000","616,000",
="04179 ","永豐6U          ","1,437,000","834,000","603,000",
"3474  ","華亞科          ","954,000","358,000","596,000",
"2511  ","太子            ","600,000","22,000","578,000",
="04008 ","富邦CV          ","1,097,000","523,000","574,000",
"2915  ","潤泰全          ","571,000","40,000","531,000",
"2323  ","中環            ","551,000","43,000","508,000",
"2362  ","藍天            ","500,000","0","500,000",
="03991 ","統一CY          ","2,480,000","2,001,000","479,000",
="03332 ","永豐1R          ","478,000","0","478,000",
="03886 ","凱基3E          ","898,000","428,000","470,000",
"2545  ","皇翔            ","476,000","7,000","469,000",
"9904  ","寶成            ","975,000","507,000","468,000",
="03945 ","日盛16          ","843,000","396,000","447,000",
="03923 ","富邦CK          ","439,000","0","439,000",
"1605  ","華新            ","520,000","85,000","435,000",
="03927 ","大華LI          ","1,558,000","1,131,000","427,000",
="03807 ","永豐4U          ","1,824,000","1,403,000","421,000",
"9105  ","泰金寶-DR       ","420,000","0","420,000",
="03824 ","元大71          ","1,149,000","734,000","415,000",
="03942 ","日盛13          ","1,729,000","1,317,000","412,000",
"3012  ","廣輝            ","792,000","380,000","412,000",
="04144 ","元大AS          ","2,062,000","1,661,000","401,000",
"2889  ","國票金          ","410,000","20,000","390,000",
="03725 ","凱基2X          ","388,000","0","388,000",
"1503  ","士電            ","422,000","47,000","375,000",
"2601  ","益航            ","370,000","6,000","364,000",
="04124 ","兆豐F7          ","1,358,000","1,018,000","340,000",
"2538  ","基泰            ","524,000","211,000","313,000",
"2548  ","華固            ","384,000","71,000","313,000",
"4906  ","正文            ","711,000","400,000","311,000",
="03833 ","工銀KC          ","640,000","343,000","297,000",
="04034 ","永豐5Y          ","427,000","132,000","295,000",
="03851 ","元大77          ","2,438,000","2,152,000","286,000",
="03946 ","日盛17          ","2,109,000","1,823,000","286,000",
="04108 ","永豐6P          ","983,000","700,000","283,000",
="03891 ","永豐5M          ","877,000","595,000","282,000",
="04064 ","大華LS          ","1,163,000","885,000","278,000",
="03897 ","寶來BG          ","1,121,000","849,000","272,000",
="03566 ","永豐3K          ","426,000","156,000","270,000",
"3034  ","聯詠            ","628,000","361,000","267,000",
="04196 ","富邦DF          ","722,000","465,000","257,000",
"2340  ","光磊            ","800,000","550,000","250,000",
"2034  ","允強            ","253,000","5,000","248,000",
"2356  ","英業達          ","341,000","98,000","243,000",
="04012 ","兆豐D9          ","1,164,000","922,000","242,000",
="03953 ","兆豐C9          ","285,000","50,000","235,000",
"2352  ","佳世達          ","319,000","85,000","234,000",
="04149 ","元大AX          ","1,104,000","876,000","228,000",
="03509 ","元富DY          ","221,000","0","221,000",
="04047 ","凱基3R          ","1,010,000","790,000","220,000",
="03992 ","永豐5R          ","769,000","550,000","219,000",
="04095 ","元富KU          ","1,268,000","1,052,000","216,000",
="03417 ","富邦AL          ","360,000","150,000","210,000",
="04228 ","寶來CD          ","1,828,000","1,619,000","209,000",
"6141  ","柏承            ","204,000","0","204,000",
="03881 ","永昌LM          ","474,000","276,000","198,000",
="04198 ","富邦DH          ","2,047,000","1,849,000","198,000",
"9939  ","宏全            ","202,000","4,000","198,000",
="04042 ","日盛22          ","976,000","780,000","196,000",
"2351  ","順德            ","266,000","70,000","196,000",
="03981 ","永昌LS          ","896,000","701,000","195,000",
"3231  ","緯創            ","520,000","328,000","192,000",
"2107  ","厚生            ","200,000","12,000","188,000",
="03948 ","兆豐C4          ","185,000","0","185,000",
="03841 ","大華KV          ","1,092,000","912,000","180,000",
="04106 ","永豐6M          ","572,000","392,000","180,000",
"2402  ","毅嘉            ","286,000","106,000","180,000",
"2885  ","元大金          ","185,000","10,000","175,000",
="03896 ","大華LC          ","170,000","0","170,000",
="03982 ","永昌LT          ","1,029,000","859,000","170,000",
"1616  ","億泰            ","170,000","3,000","167,000",
"2344  ","華邦電          ","226,000","60,000","166,000",
="03922 ","富邦CJ          ","284,000","119,000","165,000",
="04187 ","亞東JB          ","467,000","303,000","164,000",
"1419  ","新紡            ","250,000","88,000","162,000",
="03901 ","統一CD          ","628,000","467,000","161,000",
="04049 ","元大92          ","720,000","567,000","153,000",
"3041  ","揚智            ","598,000","446,000","152,000",
="03949 ","兆豐C5          ","156,000","5,000","151,000",
"2337  ","旺宏            ","171,000","20,000","151,000",
"3702  ","大聯大          ","200,000","50,000","150,000",
="04197 ","富邦DG          ","295,000","150,000","145,000",
"1229  ","聯華            ","310,000","167,000","143,000",
="03848 ","永豐5C          ","172,000","30,000","142,000",
="03979 ","富邦CP          ","805,000","663,000","142,000",
="04029 ","大華LL          ","857,000","715,000","142,000",
"2394  ","普立爾          ","359,000","220,000","139,000",
="03988 ","統一CV          ","361,000","225,000","136,000",
"2349  ","錸德            ","136,000","0","136,000",
="03932 ","工銀KP          ","1,247,000","1,115,000","132,000",
"2105  ","正新            ","212,000","80,000","132,000",
="03916 ","凱基3G          ","1,992,000","1,862,000","130,000",
="03931 ","工銀KN          ","151,000","21,000","130,000",
="03983 ","永昌LU          ","382,000","252,000","130,000",
"2612  ","中航            ","136,000","7,000","129,000",
="03855 ","元大81          ","215,000","90,000","125,000",
="04081 ","國泰GB          ","1,517,000","1,395,000","122,000",
="04161 ","大華MA          ","1,331,000","1,211,000","120,000",
="04118 ","永昌MD          ","1,429,000","1,310,000","119,000",
="04253 ","永豐7G          ","715,000","598,000","117,000",
"3005  ","神基            ","200,000","83,000","117,000",
"2606  ","裕民            ","666,000","553,000","113,000",
="03994 ","永豐5T          ","1,501,000","1,389,000","112,000",
="04181 ","永豐6W          ","769,000","658,000","111,000",
="03871 ","大華KZ          ","109,000","0","109,000",
="03941 ","亞東HW          ","1,552,000","1,443,000","109,000",
="03819 ","兆豐B8          ","1,069,000","963,000","106,000",
="03911 ","統一CP          ","2,439,000","2,333,000","106,000",
="04236 ","工銀LB          ","1,171,000","1,065,000","106,000",
="04167 ","大華MG          ","1,812,000","1,708,000","104,000",
="01004T","土銀富邦R2      ","100,000","0","100,000",
="03954 ","兆豐D1          ","1,354,000","1,254,000","100,000",
"3008  ","大立光          ","193,000","93,000","100,000",
="04147 ","元大AV          ","752,000","653,000","99,000",
="08006 ","寶來B4          ","1,309,000","1,211,000","98,000",
"2834  ","臺企銀          ","204,000","106,000","98,000",
="04051 ","元大94          ","2,116,000","2,019,000","97,000",
"1905  ","華紙            ","150,000","54,000","96,000",
"2903  ","遠百            ","287,000","193,000","94,000",
="03963 ","康和CF          ","1,531,000","1,438,000","93,000",
="03939 ","亞東HU          ","1,562,000","1,470,000","92,000",
="04048 ","凱基3S          ","726,000","635,000","91,000",
="04003 ","凱基3P          ","796,000","706,000","90,000",
="04158 ","大華LX          ","2,899,000","2,809,000","90,000",
="03675 ","日盛AK          ","89,000","1,000","88,000",
"3037  ","欣興            ","455,000","367,000","88,000",
="03976 ","元大91          ","1,301,000","1,214,000","87,000",
="03902 ","統一CE          ","829,000","743,000","86,000",
="03995 ","永豐5U          ","3,301,000","3,215,000","86,000",
"3189  ","景碩            ","201,000","117,000","84,000",
="03998 ","群益45          ","896,000","815,000","81,000",
"6206  ","飛捷            ","81,000","0","81,000",
="03724 ","凱基2W          ","81,000","1,000","80,000",
"2015  ","豐興            ","115,000","35,000","80,000",
"3271  ","其樂達          ","90,000","10,000","80,000",
="04028 ","大華LK          ","512,000","434,000","78,000",
"2854  ","寶來證          ","78,000","0","78,000",
="03957 ","兆豐D4          ","1,505,000","1,428,000","77,000",
"3311  ","閎暉            ","184,000","107,000","77,000",
