"095年08月31日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03695 ","富邦BH          ","206,000","0","206,000",
="03972 ","元大87          ","200,000","0","200,000",
="04223 ","永豐7C          ","1,164,000","966,000","198,000",
"2363  ","矽統            ","203,000","6,992","196,008",
="03927 ","大華LI          ","1,343,000","1,147,000","196,000",
="03895 ","寶來B8          ","1,304,000","1,109,000","195,000",
="03986 ","永昌LX          ","773,000","579,000","194,000",
="04145 ","元大AT          ","1,572,000","1,386,000","186,000",
"2449  ","京元電子        ","460,300","276,336","183,964",
"3062  ","建漢            ","268,000","85,000","183,000",
="03983 ","永昌LU          ","342,000","160,000","182,000",
="03841 ","大華KV          ","1,483,000","1,303,000","180,000",
="04026 ","兆豐F5          ","906,000","726,000","180,000",
="04072 ","元大99          ","929,000","750,000","179,000",
"2107  ","厚生            ","179,000","0","179,000",
"2376  ","技嘉            ","179,000","3,520","175,480",
="01004T","土銀富邦R2      ","174,000","0","174,000",
"8016  ","矽創            ","172,000","0","172,000",
="03916 ","凱基3G          ","1,759,000","1,589,000","170,000",
="04114 ","永昌LZ          ","467,000","298,000","169,000",
="04293 ","元大BU          ","1,212,000","1,044,000","168,000",
"1313  ","聯成            ","616,000","450,000","166,000",
="04048 ","凱基3S          ","1,267,000","1,102,000","165,000",
="04144 ","元大AS          ","1,046,000","882,000","164,000",
"2475  ","華映            ","160,000","0","160,000",
"1326  ","台化            ","244,000","85,000","159,000",
"6505  ","台塑化          ","366,000","210,000","156,000",
"3231  ","緯創            ","324,000","168,136","155,864",
"2315  ","神達            ","1,025,000","869,272","155,728",
="04157 ","大華LW          ","1,664,000","1,512,000","152,000",
="03947 ","兆豐C3          ","150,000","0","150,000",
="04122 ","群益58          ","1,777,000","1,627,000","150,000",
="04169 ","工銀KW          ","309,000","159,000","150,000",
"2314  ","台揚            ","150,000","0","150,000",
="03844 ","永豐4Y          ","547,000","398,000","149,000",
="04147 ","元大AV          ","333,000","187,000","146,000",
="04139 ","康和CK          ","1,328,000","1,186,000","142,000",
="04007 ","富邦CU          ","2,865,000","2,724,000","141,000",
"1216  ","統一            ","187,000","46,000","141,000",
="03884 ","永昌LQ          ","1,015,000","877,000","138,000",
"2227  ","裕日車          ","134,000","0","134,000",
="03675 ","日盛AK          ","134,000","1,000","133,000",
="04142 ","元大AQ          ","257,000","125,000","132,000",
="03992 ","永豐5R          ","1,587,000","1,457,000","130,000",
="04231 ","國泰GF          ","129,000","0","129,000",
="03853 ","元大79          ","503,000","377,000","126,000",
="04008 ","富邦CV          ","1,010,000","886,000","124,000",
="04018 ","兆豐E6          ","1,708,000","1,591,000","117,000",
"2610  ","華航            ","132,000","17,720","114,280",
="04034 ","永豐5Y          ","526,000","413,000","113,000",
="04088 ","永豐6D          ","1,909,000","1,796,000","113,000",
="03883 ","永昌LP          ","1,387,000","1,275,000","112,000",
="04172 ","工銀KZ          ","2,050,000","1,938,000","112,000",
"3019  ","亞光            ","178,000","66,552","111,448",
="03905 ","統一CI          ","938,000","827,000","111,000",
="03996 ","群益42          ","640,000","530,000","110,000",
"2371  ","大同            ","114,000","4,680","109,320",
="04276 ","日盛44          ","607,000","499,000","108,000",
"2847  ","大眾銀          ","110,000","2,000","108,000",
="04168 ","工銀KV          ","699,000","592,000","107,000",
="04268P","南電元富93售03  ","2,072,000","1,966,000","106,000",
="04309 ","兆豐H1          ","296,000","190,000","106,000",
"1614  ","三洋電          ","106,000","0","106,000",
="03873 ","大華LB          ","1,196,000","1,091,000","105,000",
"3034  ","聯詠            ","327,639","223,863","103,776",
="03887 ","統一CB          ","727,000","624,000","103,000",
="04047 ","凱基3R          ","1,068,000","965,000","103,000",
="04127 ","兆豐G1          ","458,000","355,000","103,000",
="04123 ","元大EV          ","1,017,000","915,000","102,000",
"1616  ","億泰            ","102,000","0","102,000",
"3008  ","大立光          ","158,000","56,000","102,000",
="03817 ","兆豐B6          ","156,000","56,000","100,000",
="03924 ","富邦CL          ","689,000","589,000","100,000",
="04133 ","兆豐G7          ","430,000","331,000","99,000",
"2820  ","華票            ","101,000","2,000","99,000",
"2201  ","裕隆            ","98,000","1,192","96,808",
="03919 ","富邦CF          ","766,000","671,000","95,000",
="03888 ","統一CC          ","180,000","86,000","94,000",
="04104 ","永豐6K          ","1,801,000","1,711,000","90,000",
="04161 ","大華MA          ","1,466,000","1,376,000","90,000",
="04235 ","元富LD          ","1,633,000","1,543,000","90,000",
"2324  ","仁寶            ","97,000","8,000","89,000",
"2812  ","台中銀          ","89,000","0","89,000",
="04271 ","日盛39          ","702,000","614,000","88,000",
="04113 ","永昌LY          ","1,727,000","1,642,000","85,000",
="03833 ","工銀KC          ","378,000","294,000","84,000",
="04085 ","亞東HZ          ","999,000","917,000","82,000",
="04324 ","凱基4N          ","1,355,000","1,273,000","82,000",
="04303 ","康和CV          ","1,380,000","1,300,000","80,000",
="03957 ","兆豐D4          ","989,000","910,000","79,000",
"3022  ","威強電          ","80,000","1,000","79,000",
="03492 ","元大42          ","77,000","0","77,000",
="04032 ","永豐5W          ","496,000","419,000","77,000",
"2606  ","裕民            ","91,000","14,000","77,000",
"3012  ","廣輝            ","124,000","48,000","76,000",
="04011 ","富邦CY          ","405,000","330,000","75,000",
"2349  ","錸德            ","75,000","872","74,128",
"2501  ","國建            ","92,000","18,912","73,088",
"1102  ","亞泥            ","74,000","1,648","72,352",
="04106 ","永豐6M          ","494,000","422,000","72,000",
"2492  ","華新科          ","253,000","181,000","72,000",
="03834 ","工銀KD          ","247,000","176,000","71,000",
="03998 ","群益45          ","1,061,000","990,000","71,000",
="04299 ","康和CR          ","85,000","15,000","70,000",
="04039 ","元大ET          ","821,000","752,000","69,000",
"2504  ","國產            ","120,000","51,104","68,896",
"1722  ","台肥            ","95,000","26,368","68,632",
="03725 ","凱基2X          ","68,000","0","68,000",
="03819 ","兆豐B8          ","1,014,000","946,000","68,000",
="04327 ","元大BY          ","5,222,000","5,154,000","68,000",
="03982 ","永昌LT          ","1,222,000","1,155,000","67,000",
="04209 ","元大BL          ","132,000","65,000","67,000",
"3045  ","台灣大          ","78,000","11,000","67,000",
