"094年03月14日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2449  ","京元電子        ","5,100,000","1,000","5,099,000",
" ","2489  ","瑞軒            ","2,394,000","1,000","2,393,000",
" ","6505  ","台塑化          ","1,426,000","37,000","1,389,000",
" ","2888  ","新光金          ","2,000,000","618,000","1,382,000",
" ","6282  ","康舒            ","1,793,000","459,000","1,334,000",
" ","3037  ","欣興            ","1,376,000","201,000","1,175,000",
" ","2436  ","偉詮電          ","1,100,000","0","1,100,000",
" ","2201  ","裕隆            ","1,500,000","442,000","1,058,000",
" ","2409  ","友達            ","1,419,000","456,000","963,000",
" ","6172  ","互億            ","866,000","0","866,000",
" ","3024  ","憶聲            ","850,000","0","850,000",
" ","2376  ","技嘉            ","800,000","1,000","799,000",
" ","2404  ","漢唐            ","810,000","30,000","780,000",
" ","1303  ","南亞            ","782,000","5,000","777,000",
" ","6239  ","力成            ","910,000","214,000","696,000",
" ","2464  ","盟立            ","665,000","0","665,000",
" ","2451  ","創見            ","675,000","11,000","664,000",
" ","2393  ","億光            ","1,285,000","667,000","618,000",
" ","2609  ","陽明            ","1,800,000","1,203,000","597,000",
" ","6285  ","啟碁            ","575,000","0","575,000",
" ","6197  ","佳必琪          ","500,000","1,000","499,000",
" ","2328  ","廣宇            ","456,000","0","456,000",
" ","3059  ","華晶科          ","452,000","0","452,000",
" ","3189  ","景碩            ","514,000","120,000","394,000",
" ","8078  ","華寶            ","1,281,000","898,000","383,000",
" ","3005  ","神基            ","364,000","0","364,000",
" ","2454  ","聯發科          ","355,000","1,000","354,000",
" ","2371  ","大同            ","350,000","4,000","346,000",
" ","2330  ","台積電          ","1,556,000","1,229,520","326,480",
" ","2314  ","台揚            ","320,000","1,000","319,000",
" ","3049  ","和鑫            ","320,000","1,000","319,000",
" ","1907  ","永豐餘          ","312,000","1,000","311,000",
" ","1536  ","和大            ","245,000","0","245,000",
" ","3017  ","奇鋐            ","444,000","215,000","229,000",
" ","3007  ","綠點            ","1,383,000","1,154,438","228,562",
" ","2206  ","三陽工業        ","200,000","0","200,000",
" ","2459  ","敦吉            ","200,000","0","200,000",
" ","9925  ","新保            ","254,000","101,000","153,000",
" ","1704  ","榮化            ","150,000","0","150,000",
" ","3058  ","立德            ","150,000","0","150,000",
" ","3063  ","飛信            ","150,000","0","150,000",
" ","1710  ","東聯            ","258,000","121,000","137,000",
" ","3031  ","佰鴻            ","127,000","0","127,000",
" ","3041  ","揚智            ","100,000","0","100,000",
" ","2379  ","瑞昱            ","90,000","1,000","89,000",
" ","2469  ","力信            ","75,000","0","75,000",
" ","3271  ","其樂達          ","74,000","0","74,000",
" ","1723  ","中碳            ","62,000","160","61,840",
" ","3030  ","德律            ","100,000","50,000","50,000",
" ","6131  ","悠克            ","80,000","30,000","50,000",
" ","2548  ","華固            ","50,000","1,000","49,000",
" ","3034  ","聯詠            ","50,000","1,000","49,000",
" ","2847B ","眾乙特          ","44,000","0","44,000",
" ","9924  ","福興            ","40,000","0","40,000",
" ","2102  ","泰豐            ","38,000","0","38,000",
" ","8101  ","華冠            ","32,000","0","32,000",
" ","2103  ","台橡            ","30,000","0","30,000",
" ","3019  ","亞光            ","35,000","5,000","30,000",
" ","1802  ","台玻            ","30,000","1,000","29,000",
" ","1736  ","喬山            ","20,000","0","20,000",
" ","2820  ","華票            ","22,000","2,000","20,000",
" ","5434  ","崇越            ","20,000","0","20,000",
" ","2323  ","中環            ","18,000","0","18,000",
" ","1527  ","鑽全            ","13,000","1,000","12,000",
" ","2837  ","萬泰銀          ","12,000","1,000","11,000",
" ","1560  ","中砂            ","10,000","0","10,000",
" ","2447  ","鼎新            ","10,000","0","10,000",
" ","1216  ","統一            ","11,000","3,000","8,000",
" ","9917  ","中保科          ","3,000","1,000","2,000",
" ","2353  ","宏碁            ","3,000","2,000","1,000",
" ","2492  ","華新科          ","1,000","0","1,000",
" ","2801  ","彰銀            ","0","4,635,000","-4,635,000",
" ","2002  ","中鋼            ","250,000","3,621,000","-3,371,000",
" ","2892  ","第一金          ","0","3,014,000","-3,014,000",
" ","2303  ","聯電            ","11,000","2,534,000","-2,523,000",
" ","6116  ","彩晶            ","221,000","2,675,000","-2,454,000",
" ","2325  ","矽品            ","50,000","2,256,000","-2,206,000",
" ","1326  ","台化            ","100,000","2,210,000","-2,110,000",
" ","2807  ","竹商銀          ","0","2,106,000","-2,106,000",
" ","1718  ","中纖            ","0","2,008,000","-2,008,000",
" ","2023  ","燁輝            ","0","1,985,000","-1,985,000",
" ","2311  ","日月光          ","0","1,717,000","-1,717,000",
" ","2606  ","裕民            ","3,000","1,534,000","-1,531,000",
" ","2612  ","中航            ","519,000","1,981,000","-1,462,000",
" ","3038  ","全台            ","200,000","1,561,000","-1,361,000",
" ","2603  ","長榮            ","1,500,000","2,843,000","-1,343,000",
" ","1905  ","華紙            ","0","1,300,755","-1,300,755",
" ","1101  ","台泥            ","0","1,174,000","-1,174,000",
" ","3051  ","力特            ","0","1,146,000","-1,146,000",
" ","2315  ","神達            ","748,000","1,751,000","-1,003,000",
" ","2485  ","兆赫            ","0","940,000","-940,000",
" ","2344  ","華邦電          ","0","923,000","-923,000",
" ","1402  ","遠東新          ","0","883,000","-883,000",
" ","2014  ","中鴻            ","0","851,000","-851,000",
" ","4532  ","瑞智            ","60,000","907,000","-847,000",
" ","2834  ","臺企銀          ","0","802,000","-802,000",
" ","2610  ","華航            ","0","800,000","-800,000",
" ","2475  ","華映            ","0","782,000","-782,000",
" ","1301  ","台塑            ","20,000","775,000","-755,000",
" ","1440  ","南紡            ","0","702,000","-702,000",
" ","1722  ","台肥            ","0","702,000","-702,000",
" ","1313  ","聯成            ","0","701,000","-701,000",
" ","2605  ","新興            ","0","675,000","-675,000",
" ","3009  ","奇美電          ","0","634,000","-634,000",
" ","2384  ","勝華            ","2,853,000","3,437,000","-584,000",
" ","2880  ","華南金          ","0","549,000","-549,000",
" ","2891  ","中信金          ","0","504,000","-504,000",
" ","2481  ","強茂            ","500,000","1,003,000","-503,000",
" ","2618  ","長榮航          ","0","502,000","-502,000",
" ","2006  ","東和鋼鐵        ","0","501,000","-501,000",
" ","2614  ","東森            ","0","501,000","-501,000",
" ","2408  ","南亞科          ","0","462,000","-462,000",
" ","6235  ","華孚            ","0","442,000","-442,000",
" ","2352  ","佳世達          ","8,000","448,000","-440,000",
" ","8016  ","矽創            ","82,000","495,000","-413,000",
" ","1308  ","亞聚            ","0","389,000","-389,000",
" ","2337  ","旺宏            ","0","374,000","-374,000",
" ","2615  ","萬海            ","0","371,000","-371,000",
" ",="0050  ","元大台灣50      ","0","363,000","-363,000",
" ","2204  ","中華            ","0","356,000","-356,000",
" ","4906  ","正文            ","66,000","420,000","-354,000",
" ","2354  ","鴻準            ","86,000","433,000","-347,000",
" ","2882  ","國泰金          ","25,000","362,000","-337,000",
" ","1737  ","臺鹽            ","0","335,000","-335,000",
" ","1311  ","福聚            ","0","331,000","-331,000",
" ","2365  ","昆盈            ","0","315,000","-315,000",
" ","2368  ","金像電          ","0","300,000","-300,000",
" ","3045  ","台灣大          ","0","273,000","-273,000",
" ","2886  ","兆豐金          ","0","261,000","-261,000",
" ","2881  ","富邦金          ","8,000","266,000","-258,000",
" ","2890  ","永豐金          ","200,000","453,000","-253,000",
