證券代號,證券名稱,date,year,month,day,投信買進股數(總),投信賣出股數(總),投信買賣超股數(總),自營商買進股數(自有),自營商賣出股數(自有),自營商買賣超股數(自有),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),自營商買進股數(總),自營商賣出股數(總),自營商買賣超股數(總),外資買進股數(非自營),外資賣出股數(非自營),外資買賣超股數(非自營),外資買進股數(自營),外資賣出股數(自營),外資買賣超股數(自營),外資買進股數(總),外資賣出股數(總),外資買賣超股數(總)
"=""053882""",聯發科中信98購02,20200218,2020,2,18,nan,nan,nan,0,0,0,0,"182,000","-182,000",0,"182,000","-182,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200219,2020,2,19,nan,nan,nan,0,0,0,0,"302,000","-302,000",0,"302,000","-302,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200220,2020,2,20,nan,nan,nan,0,0,0,"3,000","258,000","-255,000","3,000","258,000","-255,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200221,2020,2,21,nan,nan,nan,0,0,0,"215,000","55,000","160,000","215,000","55,000","160,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200224,2020,2,24,nan,nan,nan,0,0,0,0,"103,000","-103,000",0,"103,000","-103,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200225,2020,2,25,nan,nan,nan,0,0,0,0,"155,000","-155,000",0,"155,000","-155,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200226,2020,2,26,nan,nan,nan,0,0,0,0,"55,000","-55,000",0,"55,000","-55,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200227,2020,2,27,nan,nan,nan,0,0,0,0,"252,000","-252,000",0,"252,000","-252,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200302,2020,3,2,nan,nan,nan,0,0,0,0,"60,000","-60,000",0,"60,000","-60,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200303,2020,3,3,nan,nan,nan,0,0,0,"50,000","40,000","10,000","50,000","40,000","10,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200304,2020,3,4,nan,nan,nan,0,0,0,"8,000","597,000","-589,000","8,000","597,000","-589,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
"=""053882""",聯發科中信98購02,20200306,2020,3,6,nan,nan,nan,0,0,0,0,"27,000","-27,000",0,"27,000","-27,000",nan,nan,nan,nan,nan,nan,nan,nan,nan
