"107年11月16日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3037  ","欣興            ","2,209,000","0","2,209,000",
" ","2891  ","中信金          ","1,612,000","0","1,612,000",
" ","4915  ","致伸            ","1,150,000","0","1,150,000",
" ","8016  ","矽創            ","1,249,000","115,000","1,134,000",
" ","4943  ","康控-KY         ","1,054,000","0","1,054,000",
" ","2634  ","漢翔            ","803,000","0","803,000",
" ","1102  ","亞泥            ","917,000","176,000","741,000",
" ","6271  ","同欣電          ","573,000","0","573,000",
" ","2892  ","第一金          ","460,000","0","460,000",
" ","9921  ","巨大            ","406,000","0","406,000",
" ","6552  ","易華電          ","393,000","0","393,000",
" ","1319  ","東陽            ","360,000","0","360,000",
" ","6176  ","瑞儀            ","352,000","0","352,000",
" ","2355  ","敬鵬            ","348,000","0","348,000",
" ","8464  ","億豐            ","312,000","0","312,000",
" ",="00633L","富邦上証正2     ","300,000","0","300,000",
" ","2439  ","美律            ","300,000","0","300,000",
" ","2449  ","京元電子        ","300,000","0","300,000",
" ","1310  ","台苯            ","299,000","0","299,000",
" ","3035  ","智原            ","295,000","0","295,000",
" ","6278  ","台表科          ","297,000","13,000","284,000",
" ","1515  ","力山            ","270,000","0","270,000",
" ","3044  ","健鼎            ","253,000","1,000","252,000",
" ","2421  ","建準            ","231,000","0","231,000",
" ","3645  ","達邁            ","220,000","0","220,000",
" ","3665  ","貿聯-KY         ","212,000","0","212,000",
" ","2027  ","大成鋼          ","200,000","0","200,000",
" ","5876  ","上海商銀        ","200,000","0","200,000",
" ","3596  ","智易            ","192,000","0","192,000",
" ","4958  ","臻鼎-KY         ","185,000","0","185,000",
" ","8163  ","達方            ","179,000","0","179,000",
" ","2492  ","華新科          ","176,000","0","176,000",
" ","4551  ","智伸科          ","137,000","0","137,000",
" ",="00703 ","台新MSCI中國    ","100,000","0","100,000",
" ","1527  ","鑽全            ","84,000","0","84,000",
" ","6414  ","樺漢            ","84,000","0","84,000",
" ",="00632R","元大台灣50反1   ","80,000","0","80,000",
" ","6239  ","力成            ","78,012","0","78,012",
" ","5269  ","祥碩            ","81,000","8,000","73,000",
" ","9914  ","美利達          ","72,000","0","72,000",
" ","2382  ","廣達            ","70,000","0","70,000",
" ","4927  ","泰鼎-KY         ","60,000","0","60,000",
" ","2379  ","瑞昱            ","50,625","0","50,625",
" ","1451  ","年興            ","50,000","0","50,000",
" ","3003  ","健和興          ","50,000","0","50,000",
" ","8039  ","台虹            ","370,000","325,000","45,000",
" ","2882  ","國泰金          ","42,993","0","42,993",
" ","6285  ","啟碁            ","40,000","0","40,000",
" ","2886  ","兆豐金          ","38,689","0","38,689",
" ","3481  ","群創            ","49,000","11,000","38,000",
" ","2883  ","開發金          ","31,000","0","31,000",
" ","9958  ","世紀鋼          ","30,000","0","30,000",
" ","1303  ","南亞            ","27,482","0","27,482",
" ","2881  ","富邦金          ","27,234","0","27,234",
" ","2317  ","鴻海            ","27,000","0","27,000",
" ","3583  ","辛耘            ","25,000","0","25,000",
" ","2885  ","元大金          ","24,000","0","24,000",
" ","2890  ","永豐金          ","24,000","0","24,000",
" ","3005  ","神基            ","24,000","0","24,000",
" ","2301  ","光寶科          ","23,000","0","23,000",
" ","2884  ","玉山金          ","23,000","0","23,000",
" ","6415  ","矽力-KY         ","29,000","6,000","23,000",
" ","2887  ","台新金          ","22,000","0","22,000",
" ","2880  ","華南金          ","20,000","0","20,000",
" ","5880  ","合庫金          ","20,000","0","20,000",
" ","2474  ","可成            ","25,011","11,000","14,011",
" ","2801  ","彰銀            ","14,000","0","14,000",
" ","3023  ","信邦            ","13,000","0","13,000",
" ","3532  ","台勝科          ","13,000","0","13,000",
" ","3376  ","新日興          ","10,000","0","10,000",
" ","3653  ","健策            ","10,000","0","10,000",
" ","4119  ","旭富            ","10,000","0","10,000",
" ","5288  ","豐祥-KY         ","10,000","0","10,000",
" ","6416  ","瑞祺電通        ","10,000","0","10,000",
" ","9933  ","中鼎            ","10,000","0","10,000",
" ","9904  ","寶成            ","9,672","0","9,672",
" ","2834  ","臺企銀          ","9,000","0","9,000",
" ","1101  ","台泥            ","28,216","21,000","7,216",
" ","2845  ","遠東銀          ","7,000","0","7,000",
" ","2610  ","華航            ","6,000","0","6,000",
