"108年12月18日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","3481  ","群創            ","8,253,000","0","8,253,000",
" ","2409  ","友達            ","7,619,000","0","7,619,000",
" ","2892  ","第一金          ","4,667,000","0","4,667,000",
" ","6005  ","群益證          ","3,416,000","0","3,416,000",
" ","2303  ","聯電            ","1,944,000","0","1,944,000",
" ","2408  ","南亞科          ","1,966,000","51,000","1,915,000",
" ","1210  ","大成            ","1,860,000","0","1,860,000",
" ","1907  ","永豐餘          ","1,494,000","0","1,494,000",
" ","2376  ","技嘉            ","1,012,000","42,000","970,000",
" ","3045  ","台灣大          ","932,000","0","932,000",
" ","4935  ","茂林-KY         ","692,000","0","692,000",
" ","3006  ","晶豪科          ","606,000","0","606,000",
" ","5522  ","遠雄            ","507,000","0","507,000",
" ","4958  ","臻鼎-KY         ","455,000","5,000","450,000",
" ","6278  ","台表科          ","426,000","11,000","415,000",
" ","1402  ","遠東新          ","405,000","0","405,000",
" ","2344  ","華邦電          ","383,000","0","383,000",
" ","3706  ","神達            ","375,000","0","375,000",
" ","4190  ","佐登-KY         ","357,000","0","357,000",
" ","1303  ","南亞            ","345,000","0","345,000",
" ","2606  ","裕民            ","309,000","0","309,000",
" ",="00637L","元大滬深300正2  ","300,000","0","300,000",
" ","3702  ","大聯大          ","297,000","0","297,000",
" ","2330  ","台積電          ","543,000","248,000","295,000",
" ","1536  ","和大            ","290,000","0","290,000",
" ","3189  ","景碩            ","327,000","58,000","269,000",
" ","2451  ","創見            ","265,000","0","265,000",
" ","4938  ","和碩            ","332,000","100,000","232,000",
" ","2882  ","國泰金          ","229,000","0","229,000",
" ","2337  ","旺宏            ","387,000","162,000","225,000",
" ","2351  ","順德            ","220,000","0","220,000",
" ","9938  ","百和            ","265,000","59,000","206,000",
" ","2439  ","美律            ","201,000","0","201,000",
" ","6230  ","超眾            ","201,000","0","201,000",
" ","2883  ","開發金          ","198,000","0","198,000",
" ","9904  ","寶成            ","181,000","0","181,000",
" ","2002  ","中鋼            ","176,000","0","176,000",
" ","2492  ","華新科          ","174,000","3,000","171,000",
" ","1301  ","台塑            ","170,000","0","170,000",
" ","2377  ","微星            ","213,000","43,000","170,000",
" ","1326  ","台化            ","169,000","0","169,000",
" ","1560  ","中砂            ","160,000","0","160,000",
" ","2884  ","玉山金          ","158,000","0","158,000",
" ","2354  ","鴻準            ","156,000","0","156,000",
" ","2888  ","新光金          ","146,000","0","146,000",
" ","2887  ","台新金          ","143,000","0","143,000",
" ","6285  ","啟碁            ","142,000","0","142,000",
" ",="00631L","元大台灣50正2   ","140,000","0","140,000",
" ","5880  ","合庫金          ","132,000","0","132,000",
" ","2880  ","華南金          ","130,000","0","130,000",
" ","5215  ","科嘉-KY         ","313,000","193,000","120,000",
" ","6271  ","同欣電          ","118,000","0","118,000",
" ","1409  ","新纖            ","107,000","0","107,000",
" ","2885  ","元大金          ","159,000","54,000","105,000",
" ","3338  ","泰碩            ","96,000","0","96,000",
" ","2536  ","宏普            ","93,000","0","93,000",
" ","2801  ","彰銀            ","90,000","0","90,000",
" ","3036  ","文曄            ","81,000","0","81,000",
" ","8464  ","億豐            ","157,000","86,000","71,000",
" ","1216  ","統一            ","68,000","0","68,000",
" ","1101  ","台泥            ","66,000","7,000","59,000",
" ","2015  ","豐興            ","56,000","0","56,000",
" ","2382  ","廣達            ","66,000","13,000","53,000",
" ","2520  ","冠德            ","50,000","0","50,000",
" ","4927  ","泰鼎-KY         ","50,000","0","50,000",
" ","2227  ","裕日車          ","70,000","25,000","45,000",
" ","2823  ","中壽            ","43,000","0","43,000",
" ","5876  ","上海商銀        ","41,000","0","41,000",
" ","1477  ","聚陽            ","40,000","0","40,000",
" ","1102  ","亞泥            ","33,000","0","33,000",
" ","2353  ","宏碁            ","32,000","0","32,000",
" ","2308  ","台達電          ","31,000","0","31,000",
" ","2633  ","台灣高鐵        ","29,000","0","29,000",
" ","2301  ","光寶科          ","28,000","0","28,000",
" ","6505  ","台塑化          ","25,000","0","25,000",
" ","2105  ","正新            ","24,000","0","24,000",
" ","4904  ","遠傳            ","24,000","0","24,000",
" ","5534  ","長虹            ","28,000","5,000","23,000",
" ","2371  ","大同            ","21,000","0","21,000",
" ","3533  ","嘉澤            ","80,000","62,000","18,000",
" ","5871  ","中租-KY         ","17,000","0","17,000",
" ","2228  ","劍麟            ","15,000","0","15,000",
" ","2412  ","中華電          ","54,000","40,000","14,000",
" ","2834  ","臺企銀          ","14,000","0","14,000",
" ","2357  ","華碩            ","18,000","6,000","12,000",
" ","3661  ","世芯-KY         ","15,000","3,000","12,000",
" ","8422  ","可寧衛          ","11,000","0","11,000",
" ","4763  ","材料-KY         ","10,000","0","10,000",
" ","6166  ","凌華            ","10,000","0","10,000",
" ","2347  ","聯強            ","13,000","4,000","9,000",
" ","2912  ","統一超          ","9,000","0","9,000",
" ","2731  ","雄獅            ","8,000","0","8,000",
" ","5269  ","祥碩            ","8,000","0","8,000",
" ","2498  ","宏達電          ","7,000","0","7,000",
" ","2603  ","長榮            ","7,000","0","7,000",
" ","9910  ","豐泰            ","6,000","0","6,000",
" ","2207  ","和泰車          ","4,000","0","4,000",
" ","1504  ","東元            ","3,000","0","3,000",
" ","5434  ","崇越            ","3,000","0","3,000",
" ","8462  ","柏文            ","2,000","0","2,000",
" ","1314  ","中石化          ","1,000","0","1,000",
" ","1434  ","福懋            ","1,000","0","1,000",
" ","1605  ","華新            ","1,000","0","1,000",
" ","1710  ","東聯            ","1,000","0","1,000",
" ","1717  ","長興            ","1,000","0","1,000",
" ","1722  ","台肥            ","1,000","0","1,000",
" ","2006  ","東和鋼鐵        ","1,000","0","1,000",
" ","2897  ","王道銀行        ","1,000","0","1,000",
