"097年07月11日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2002  ","中鋼            ","6,159,000","0","6,159,000",
" ","2311  ","日月光          ","5,066,000","0","5,066,000",
" ","2317  ","鴻海            ","4,128,000","40,000","4,088,000",
" ","3702  ","大聯大          ","3,183,000","4,000","3,179,000",
" ","2511  ","太子            ","3,702,000","804,000","2,898,000",
" ","9904  ","寶成            ","2,747,000","0","2,747,000",
" ","1313  ","聯成            ","2,686,000","0","2,686,000",
" ","2328  ","廣宇            ","2,502,000","2,000","2,500,000",
" ","9911  ","櫻花            ","2,176,000","0","2,176,000",
" ","1402  ","遠東新          ","2,139,000","0","2,139,000",
" ","1314  ","中石化          ","2,008,000","10,000","1,998,000",
" ","1902  ","台紙            ","1,968,000","0","1,968,000",
" ","1905  ","華紙            ","1,775,000","0","1,775,000",
" ","3041  ","揚智            ","1,700,000","0","1,700,000",
" ","2006  ","東和鋼鐵        ","1,680,000","64,000","1,616,000",
" ","1710  ","東聯            ","1,588,000","3,000","1,585,000",
" ","1102  ","亞泥            ","1,671,000","100,000","1,571,000",
" ","2350  ","環電            ","1,504,000","0","1,504,000",
" ","1215  ","卜蜂            ","1,462,000","0","1,462,000",
" ","1301  ","台塑            ","1,779,000","400,000","1,379,000",
" ","2105  ","正新            ","1,505,000","152,500","1,352,500",
" ","2606  ","裕民            ","1,354,000","3,000","1,351,000",
" ","2352  ","佳世達          ","1,328,000","7,000","1,321,000",
" ","2915  ","潤泰全          ","1,331,000","75,000","1,256,000",
" ","2605  ","新興            ","1,222,000","1,000","1,221,000",
" ","3042  ","晶技            ","2,365,000","1,177,000","1,188,000",
" ","1305  ","華夏            ","1,170,000","0","1,170,000",
" ","1216  ","統一            ","1,238,000","100,000","1,138,000",
" ","2347  ","聯強            ","1,114,000","0","1,114,000",
" ","1708  ","東鹼            ","1,025,000","20,000","1,005,000",
" ","1712  ","興農            ","1,000,000","0","1,000,000",
" ","2022  ","聚亨            ","1,000,000","0","1,000,000",
" ","8105  ","凌巨            ","1,000,000","0","1,000,000",
" ","2834  ","臺企銀          ","1,015,000","17,000","998,000",
" ","1225  ","福懋油          ","977,000","0","977,000",
" ","1210  ","大成            ","807,000","0","807,000",
" ","2332  ","友訊            ","799,000","3,000","796,000",
" ","2617  ","台航            ","796,000","2,000","794,000",
" ","9907  ","統一實          ","757,000","7,000","750,000",
" ","9938  ","百和            ","726,000","0","726,000",
" ","1907  ","永豐餘          ","714,000","9,000","705,000",
" ","2903  ","遠百            ","705,000","7,000","698,000",
" ","2601  ","益航            ","630,000","0","630,000",
" ","1101  ","台泥            ","628,000","0","628,000",
" ","2104  ","國際中橡        ","616,000","0","616,000",
" ","4906  ","正文            ","650,000","50,000","600,000",
" ","2454  ","聯發科          ","668,000","140,000","528,000",
" ","2023  ","燁輝            ","502,000","0","502,000",
