"099年09月13日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"2801  ","彰銀            ","7,286,000","836,000","6,450,000",
="0050  ","元大台灣50      ","8,107,000","2,344,000","5,763,000",
="04615 ","元大DP          ","5,099,000","30,000","5,069,000",
"2891  ","中信金          ","4,490,000","458,000","4,032,000",
="030308","大立光台新85購01","3,789,000","0","3,789,000",
="032060","力麗群益85購01  ","3,716,000","457,000","3,259,000",
="030229","智邦凱基84購05  ","3,034,000","19,000","3,015,000",
="031766","國巨國票85購03  ","3,233,000","241,000","2,992,000",
="031600","鴻海國泰85購03  ","2,983,000","54,000","2,929,000",
="030621","南亞科兆豐84購01","4,134,000","1,262,000","2,872,000",
="08428P","臺股指統一91售02","2,868,000","0","2,868,000",
"2881  ","富邦金          ","3,709,000","1,064,000","2,645,000",
="030112","台新金麥證85購01","2,656,000","351,000","2,305,000",
="030756","台積電元大85購06","2,631,000","335,000","2,296,000",
"2886  ","兆豐金          ","3,209,000","928,000","2,281,000",
="03399P","A50正2中信94售01","2,281,000","102,000","2,179,000",
"2303  ","聯電            ","2,180,000","2,000","2,178,000",
"5854  ","合庫            ","4,990,000","2,828,000","2,162,000",
"2311  ","日月光          ","2,291,650","133,000","2,158,650",
"2352  ","佳世達          ","2,136,000","48,000","2,088,000",
="032457","潤泰全群益85購01","1,982,000","10,000","1,972,000",
="031742","義隆元富85購01  ","1,988,000","17,000","1,971,000",
="031986","宏達電永豐85購03","2,876,000","905,000","1,971,000",
"2384  ","勝華            ","2,788,000","836,000","1,952,000",
="032604","中磊群益86購01  ","1,759,000","31,000","1,728,000",
="03480P","大立光凱基92售04","3,366,000","1,666,000","1,700,000",
="030726","友達中信85購01  ","1,672,000","20,000","1,652,000",
"3049  ","和鑫            ","2,359,000","798,000","1,561,000",
"2882  ","國泰金          ","2,193,000","652,000","1,541,000",
"2883  ","開發金          ","1,418,000","25,391","1,392,609",
="032830","鴻海第一86購01  ","1,909,000","527,000","1,382,000",
"2317  ","鴻海            ","2,055,000","676,000","1,379,000",
="032238","日月光元富85購01","1,603,000","226,000","1,377,000",
="04714 ","工銀LJ          ","1,475,000","99,000","1,376,000",
"2448  ","晶電            ","1,754,000","415,000","1,339,000",
"2330  ","台積電          ","1,620,000","282,000","1,338,000",
="032512","奇力新第一85購01","1,321,000","0","1,321,000",
="032997","上証2X元富86購01","1,660,000","363,000","1,297,000",
="030954","國巨永豐84購09  ","2,118,000","824,000","1,294,000",
="032132","盛群永豐85購01  ","1,396,000","110,000","1,286,000",
"2312  ","金寶            ","2,238,000","961,000","1,277,000",
"1304  ","台聚            ","3,750,000","2,483,000","1,267,000",
="031633","嘉晶元大88購01  ","2,847,000","1,586,000","1,261,000",
"2457  ","飛宏            ","1,865,000","632,000","1,233,000",
="032361","鴻海凱基85購18  ","1,888,000","674,000","1,214,000",
="032458","智原群益86購01  ","1,504,000","302,000","1,202,000",
"2890  ","永豐金          ","1,820,000","621,000","1,199,000",
="032432","嘉晶永豐85購02  ","1,713,000","517,000","1,196,000",
="03029P","旺宏永豐91售04  ","2,990,000","1,803,000","1,187,000",
="031748","智邦麥證86購01  ","1,775,000","602,000","1,173,000",
"2340  ","光磊            ","1,226,000","66,000","1,160,000",
="032611","為升凱基86購01  ","1,652,000","495,000","1,157,000",
="032390","欣興國泰85購01  ","1,238,000","90,000","1,148,000",
"911609","揚子江          ","2,028,000","903,000","1,125,000",
"2885  ","元大金          ","2,092,000","971,000","1,121,000",
="04763 ","統一FN          ","1,120,000","0","1,120,000",
="030824","健鼎元富84購01  ","1,606,000","491,000","1,115,000",
"2501  ","國建            ","1,140,000","40,000","1,100,000",
"1447  ","力鵬            ","1,338,000","275,000","1,063,000",
="03402P","台達電凱基92售01","1,108,000","67,000","1,041,000",
="030226","群創兆豐84購01  ","1,038,000","0","1,038,000",
="030107","臺企銀麥證84購01","1,832,000","798,000","1,034,000",
="032726","義隆凱基86購01  ","1,283,000","250,000","1,033,000",
="04056P","臺股指群益93售10","1,059,000","30,000","1,029,000",
="031482","台光電凱基85購02","1,049,000","22,000","1,027,000",
="03008P","美律康和91售01  ","1,207,000","200,000","1,007,000",
"2014  ","中鴻            ","1,384,000","414,000","970,000",
"1319  ","東陽            ","1,245,000","276,000","969,000",
"2002  ","中鋼            ","1,206,600","241,009","965,591",
"2504  ","國產            ","1,078,000","117,000","961,000",
="030707","大立光國泰84購11","1,369,000","413,000","956,000",
="030296","大立光元富84購08","952,000","0","952,000",
="032098","潤泰全元大86購01","1,091,000","139,000","952,000",
="032700","建準群益86購01  ","1,437,000","491,000","946,000",
="05112 ","群益D5          ","1,223,000","291,000","932,000",
="032154","中橡元大85購01  ","1,182,000","251,000","931,000",
"2027  ","大成鋼          ","1,030,000","101,000","929,000",
="032143","京元電群益85購01","1,230,000","302,000","928,000",
"4938  ","和碩            ","1,011,000","85,000","926,000",
"3450  ","聯鈞            ","982,000","65,000","917,000",
="03895 ","寶來B8          ","891,000","0","891,000",
="031108","鴻海群益84購11  ","980,000","95,000","885,000",
="032714","為升兆豐87購01  ","1,061,000","177,000","884,000",
="031220","南亞科元富85購01","2,458,000","1,579,000","879,000",
="032062","中鴻群益85購01  ","876,000","0","876,000",
="04700 ","國泰HH          ","871,000","0","871,000",
="031159","台灣50凱基85購01","1,238,000","373,000","865,000",
="030875","致伸麥證84購01  ","1,037,000","188,000","849,000",
="030543","大立光元大86購05","849,000","5,000","844,000",
="04153 ","日盛28          ","1,079,000","235,000","844,000",
="031877","南亞科群益85購05","1,568,000","734,000","834,000",
"2409  ","友達            ","3,390,000","2,558,000","832,000",
"9904  ","寶成            ","955,000","126,000","829,000",
="032794","明泰永豐86購01  ","903,000","85,000","818,000",
="031473","宏碁日盛85購01  ","1,047,000","232,000","815,000",
="030682","智邦元大84購10  ","951,000","140,000","811,000",
"1216  ","統一            ","949,000","143,000","806,000",
="031518","國泰金兆豐85購01","865,000","63,000","802,000",
="032605","上証2X中信86購04","924,000","126,000","798,000",
="04623 ","統一EX          ","777,000","0","777,000",
="030365","南亞科統一86購02","936,000","169,000","767,000",
"2892  ","第一金          ","1,321,000","560,000","761,000",
="031935","臺股指凱基85購13","948,000","198,000","750,000",
"2017  ","官田鋼          ","750,000","0","750,000",
="031988","亞德客國票85購01","918,000","172,000","746,000",
="04633 ","永昌MK          ","739,000","0","739,000",
"2913  ","農林            ","783,000","44,000","739,000",
="04609P","健策永豐94售01  ","834,000","100,000","734,000",
="031542","智原凱基85購02  ","766,000","36,000","730,000",
="030946","華新科國票84購09","1,124,000","403,000","721,000",
"3481  ","群創            ","1,221,027","510,000","711,027",
="030773","訊芯永豐84購02  ","2,282,000","1,580,000","702,000",
"1718  ","中纖            ","906,000","204,000","702,000",
="031778","大成鋼兆豐86購01","765,000","65,000","700,000",
="032870","新光鋼凱基86購01","805,000","106,000","699,000",
="032089","亞德客元大85購02","702,000","13,000","689,000",
="030477","技嘉麥證84購05  ","812,000","125,000","687,000",
="031936","臺股指凱基85購14","778,000","94,000","684,000",
="04873 ","永豐A2          ","678,000","0","678,000",
="030769","瑞儀元大84購05  ","1,783,000","1,112,000","671,000",
="031105","鴻海群益84購08  ","676,000","17,000","659,000",
="04463 ","凱基4X          ","658,000","0","658,000",
="032186","康普凱基85購01  ","744,000","99,000","645,000",
="032016","A50正2群益85購03","930,000","286,000","644,000",
="04804 ","永昌NC          ","643,000","0","643,000",
="030674","力山元大84購05  ","627,000","0","627,000",
="031230","台泥元大85購01  ","620,000","0","620,000",
="032381","台勝科元大85購06","614,000","0","614,000",
="030060","台勝科第一84購01","625,000","16,000","609,000",
="030157","華邦電元大84購08","608,000","0","608,000",
="030779","亞泥凱基84購03  ","605,000","0","605,000",
="031586","元油2X元大85購02","903,000","298,000","605,000",
="032666","日電貿康和86購01","794,000","198,000","596,000",
="032683","嘉晶元大89購01  ","744,000","150,000","594,000",
="04963 ","元富ND          ","594,000","0","594,000",
="030858","台積電永豐84購06","2,007,000","1,414,000","593,000",
="031831","滬深2X元大85購04","608,000","25,000","583,000",
="03414P","裕隆群益92售03  ","1,170,000","588,000","582,000",
="032317","瑞儀永昌85購02  ","861,000","282,000","579,000",
"6282  ","康舒            ","697,000","118,000","579,000",
="030668","元上證元大84購03","577,000","0","577,000",
="05044 ","兆豐AA          ","783,000","208,000","575,000",
="030774","嘉聯益台新85購01","945,000","375,000","570,000",
="0055  ","元大MSCI金融    ","907,000","338,000","569,000",
"2520  ","冠德            ","749,000","182,000","567,000",
="031364","健鼎元大85購01  ","687,000","122,000","565,000",
="032672","上証2X元大86購02","2,917,000","2,355,000","562,000",
"2547  ","日勝生          ","729,000","171,000","558,000",
="03353P","台積電台新92售02","827,000","270,000","557,000",
="032437","達邁永豐85購02  ","933,000","378,000","555,000",
="031949","臺股指元富85購05","922,000","379,000","543,000",
="032559","聯發科凱基85購09","542,000","0","542,000",
="031520","同欣電兆豐85購01","558,000","20,000","538,000",
="05080 ","凱基7S          ","537,000","0","537,000",
