"099年09月09日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="03198P","南亞科元大91售15","5,410,000","133,000","5,277,000",
="032364","台積電凱基85購05","3,985,000","412,000","3,573,000",
="032725","元油2X永豐86購01","3,894,000","471,000","3,423,000",
"2409  ","友達            ","4,594,000","1,179,000","3,415,000",
="032611","為升凱基86購01  ","3,728,000","475,000","3,253,000",
"2610  ","華航            ","4,064,000","1,317,000","2,747,000",
"1704  ","榮化            ","3,465,000","811,000","2,654,000",
="04153 ","日盛28          ","2,585,000","0","2,585,000",
"2312  ","金寶            ","3,913,000","1,424,000","2,489,000",
="032726","義隆凱基86購01  ","2,817,000","574,000","2,243,000",
"3481  ","群創            ","2,903,000","782,000","2,121,000",
="03824 ","元大71          ","2,002,000","0","2,002,000",
="031639","晶電兆豐85購02  ","2,650,000","695,000","1,955,000",
"2618  ","長榮航          ","3,480,000","1,548,000","1,932,000",
="031521","T50反1群益85購05","2,032,000","239,000","1,793,000",
="05123 ","富邦EL          ","1,869,000","89,000","1,780,000",
="032262","鴻海永豐85購03  ","1,735,000","24,000","1,711,000",
="03822 ","元大69          ","1,673,000","0","1,673,000",
="032136","美律富邦87購01  ","1,691,000","33,000","1,658,000",
="08465P","台灣50國票92售01","2,844,000","1,266,000","1,578,000",
"2384  ","勝華            ","2,534,000","985,000","1,549,000",
="03467P","臺股指國票92售04","1,667,000","177,000","1,490,000",
"2889  ","國票金          ","1,481,000","10,000","1,471,000",
="032628","GIS台新88購01   ","1,463,000","10,000","1,453,000",
="032234","同欣電國泰85購01","1,471,000","43,000","1,428,000",
="031882","敦南群益85購01  ","1,476,000","104,000","1,372,000",
="05238 ","元富02          ","1,327,000","0","1,327,000",
="0050  ","元大台灣50      ","1,861,000","540,000","1,321,000",
="03979 ","富邦CP          ","1,287,000","0","1,287,000",
="031271","億光群益85購01  ","1,683,000","419,000","1,264,000",
="03402P","台達電凱基92售01","2,060,000","797,000","1,263,000",
="030111","台新金麥證84購02","1,518,000","263,000","1,255,000",
="05246 ","凱基8E          ","1,670,000","419,000","1,251,000",
="031641","聯詠兆豐85購01  ","1,584,000","360,000","1,224,000",
