"107年05月18日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","1605  ","華新            ","1,850,000","21,000","1,829,000",
" ","6153  ","嘉聯益          ","1,661,000","16,000","1,645,000",
" ","2883  ","開發金          ","1,306,000","11,000","1,295,000",
" ","1710  ","東聯            ","1,191,000","57,000","1,134,000",
" ","1301  ","台塑            ","1,011,000","14,000","997,000",
" ","8163  ","達方            ","576,000","1,000","575,000",
" ","1402  ","遠東新          ","552,000","3,000","549,000",
" ","2535  ","達欣工          ","550,000","10,000","540,000",
" ","1312  ","國喬            ","556,000","42,000","514,000",
" ",="0056  ","元大高股息      ","500,000","0","500,000",
" ","2376  ","技嘉            ","422,000","4,000","418,000",
" ","6120  ","達運            ","300,000","0","300,000",
" ","1476  ","儒鴻            ","250,000","8,000","242,000",
" ","1326  ","台化            ","210,000","13,000","197,000",
" ","3034  ","聯詠            ","200,000","3,000","197,000",
" ","8039  ","台虹            ","168,000","1,000","167,000",
" ","1101  ","台泥            ","156,000","2,000","154,000",
" ","2347  ","聯強            ","220,000","75,000","145,000",
" ","2474  ","可成            ","137,000","0","137,000",
" ","1515  ","力山            ","141,000","13,000","128,000",
" ","3661  ","世芯-KY         ","100,000","0","100,000",
" ","2456  ","奇力新          ","511,000","412,790","98,210",
" ","2352  ","佳世達          ","108,000","13,000","95,000",
" ","1536  ","和大            ","79,000","0","79,000",
" ","3702  ","大聯大          ","72,000","1,000","71,000",
" ","6505  ","台塑化          ","81,000","13,000","68,000",
" ","2377  ","微星            ","644,000","581,000","63,000",
" ","2912  ","統一超          ","64,000","2,000","62,000",
" ","2455  ","全新            ","53,000","0","53,000",
" ",="00731 ","FH富時高息低波  ","30,000","0","30,000",
" ","1722  ","台肥            ","29,000","0","29,000",
" ","2882  ","國泰金          ","55,000","30,000","25,000",
" ","3532  ","台勝科          ","307,000","282,000","25,000",
" ","4190  ","佐登-KY         ","25,000","0","25,000",
" ","3583  ","辛耘            ","25,000","1,000","24,000",
" ","3653  ","健策            ","50,000","26,000","24,000",
" ","3019  ","亞光            ","17,000","0","17,000",
" ","1760  ","寶齡富錦        ","15,000","0","15,000",
" ","5234  ","達興材料        ","20,000","5,000","15,000",
" ","6456  ","GIS-KY          ","13,000","0","13,000",
" ","1303  ","南亞            ","29,000","19,000","10,000",
" ","2351  ","順德            ","15,000","7,000","8,000",
" ","3008  ","大立光          ","9,000","1,000","8,000",
" ","3481  ","群創            ","10,000","6,000","4,000",
" ","3231  ","緯創            ","3,000","0","3,000",
