"099年04月30日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2371  ","大同            ","18,299,000","25,000","18,274,000",
" ","9911  ","櫻花            ","5,304,000","0","5,304,000",
" ","1902  ","台紙            ","3,090,000","0","3,090,000",
" ","9904  ","寶成            ","2,772,000","10,000","2,762,000",
" ","1313  ","聯成            ","2,170,000","0","2,170,000",
" ","2344  ","華邦電          ","2,056,000","12,000","2,044,000",
" ","3380  ","明泰            ","1,936,000","0","1,936,000",
" ","3189  ","景碩            ","1,892,000","151,000","1,741,000",
" ","2301  ","光寶科          ","1,778,000","64,000","1,714,000",
" ","2337  ","旺宏            ","2,300,000","773,000","1,527,000",
" ","8008  ","建興電          ","1,300,000","1,000","1,299,000",
" ","2489  ","瑞軒            ","1,650,000","364,000","1,286,000",
" ","1513  ","中興電          ","1,214,000","0","1,214,000",
" ","3045  ","台灣大          ","1,332,000","206,000","1,126,000",
" ","6209  ","今國光          ","1,119,000","0","1,119,000",
" ","2207  ","和泰車          ","888,000","0","888,000",
" ","2891  ","中信金          ","902,000","100,000","802,000",
" ","3406  ","玉晶光          ","802,000","0","802,000",
" ","3017  ","奇鋐            ","1,266,000","572,000","694,000",
" ","3559  ","全智科          ","676,000","0","676,000",
" ","2486  ","一詮            ","700,000","70,000","630,000",
" ","6166  ","凌華            ","627,000","0","627,000",
" ","1447  ","力鵬            ","620,000","0","620,000",
" ","2357  ","華碩            ","637,000","28,000","609,000",
" ","2404  ","漢唐            ","600,000","0","600,000",
" ","2887  ","台新金          ","583,000","0","583,000",
" ","2376  ","技嘉            ","531,000","0","531,000",
" ","2409  ","友達            ","550,000","39,035","510,965",
" ","2906  ","高林            ","500,000","0","500,000",
" ","8039  ","台虹            ","691,000","200,000","491,000",
" ","6206  ","飛捷            ","460,000","0","460,000",
" ","2383  ","台光電          ","493,000","100,000","393,000",
" ","1733  ","五鼎            ","678,000","300,000","378,000",
" ","9942  ","茂順            ","375,000","0","375,000",
" ","1473  ","台南            ","365,000","0","365,000",
" ","2327  ","國巨            ","300,000","8,000","292,000",
" ","1314  ","中石化          ","279,000","6,000","273,000",
" ","1227  ","佳格            ","255,000","0","255,000",
" ","8110  ","華東            ","250,000","0","250,000",
" ","2385  ","群光            ","241,000","13,000","228,000",
" ","9939  ","宏全            ","402,000","200,000","202,000",
" ","3579  ","尚志            ","200,000","0","200,000",
" ","6168  ","宏齊            ","200,000","0","200,000",
" ","9110  ","越南控-DR       ","200,000","0","200,000",
" ","1101  ","台泥            ","200,000","5,000","195,000",
" ","3030  ","德律            ","190,000","0","190,000",
" ","3561  ","昇陽光電        ","190,000","0","190,000",
" ","3614  ","誠致            ","184,000","0","184,000",
" ","3061  ","璨圓            ","180,000","0","180,000",
" ","2499  ","東貝            ","200,000","53,000","147,000",
" ","1477  ","聚陽            ","100,000","0","100,000",
" ","2401  ","凌陽            ","100,000","0","100,000",
" ","8103  ","瀚荃            ","100,000","0","100,000",
" ","2351  ","順德            ","200,000","107,000","93,000",
" ","2062  ","橋椿            ","90,000","0","90,000",
" ","2908  ","特力            ","80,000","0","80,000",
" ","1301  ","台塑            ","100,000","21,000","79,000",
" ","2101  ","南港            ","80,000","3,000","77,000",
" ","1537  ","廣隆            ","70,000","0","70,000",
" ","3022  ","威強電          ","110,000","41,543","68,457",
" ","3315  ","宣昶            ","60,000","0","60,000",
" ","6277  ","宏正            ","60,000","0","60,000",
" ","2456  ","奇力新          ","50,000","0","50,000",
" ","3043  ","科風            ","50,000","0","50,000",
" ","2379  ","瑞昱            ","50,000","2,000","48,000",
" ","1234  ","黑松            ","30,000","0","30,000",
" ","2911  ","麗嬰房          ","50,000","28,000","22,000",
" ","3573  ","穎台            ","40,000","18,000","22,000",
" ","2049  ","上銀            ","20,000","0","20,000",
" ","1216  ","統一            ","32,000","13,000","19,000",
" ","2384  ","勝華            ","20,000","3,000","17,000",
