"100年06月22日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2823  ","中壽            ","5,177,000","0","5,177,000",
" ","2303  ","聯電            ","3,240,000","0","3,240,000",
" ","2892  ","第一金          ","2,667,000","0","2,667,000",
" ","3189  ","景碩            ","2,394,000","0","2,394,000",
" ","2881  ","富邦金          ","2,080,000","0","2,080,000",
" ","2705  ","六福            ","1,553,000","0","1,553,000",
" ","2201  ","裕隆            ","1,527,000","50,000","1,477,000",
" ","2325  ","矽品            ","1,307,000","0","1,307,000",
" ","2908  ","特力            ","1,268,000","0","1,268,000",
" ","6285  ","啟碁            ","1,281,000","19,000","1,262,000",
" ","1304  ","台聚            ","1,230,000","0","1,230,000",
" ","2105  ","正新            ","1,124,000","0","1,124,000",
" ","2883  ","開發金          ","1,020,000","0","1,020,000",
" ","5388  ","中磊            ","961,000","0","961,000",
" ","3231  ","緯創            ","891,000","0","891,000",
" ","2311  ","日月光          ","852,000","0","852,000",
" ","6153  ","嘉聯益          ","834,000","0","834,000",
" ",="0055  ","元大MSCI金融    ","800,000","0","800,000",
" ","1802  ","台玻            ","737,000","0","737,000",
" ","2609  ","陽明            ","731,000","0","731,000",
" ","2886  ","兆豐金          ","613,000","0","613,000",
" ","2905  ","三商            ","571,000","0","571,000",
" ","2847  ","大眾銀          ","558,000","0","558,000",
" ","8008  ","建興電          ","408,000","0","408,000",
" ","2474  ","可成            ","440,000","92,000","348,000",
" ","2833  ","台壽保          ","318,000","0","318,000",
" ","1704  ","榮化            ","354,000","40,000","314,000",
" ","2890  ","永豐金          ","312,000","0","312,000",
" ","1604  ","聲寶            ","308,000","0","308,000",
" ","1303  ","南亞            ","327,000","24,000","303,000",
" ",="0061  ","元大寶滬深      ","300,000","0","300,000",
" ","3383  ","新世紀          ","300,000","0","300,000",
" ","2420  ","新巨            ","281,000","0","281,000",
" ","2903  ","遠百            ","271,000","0","271,000",
" ","1434  ","福懋            ","265,000","0","265,000",
" ","2449  ","京元電子        ","265,000","0","265,000",
" ","2601  ","益航            ","381,000","120,000","261,000",
" ","6269  ","台郡            ","253,000","0","253,000",
" ","2006  ","東和鋼鐵        ","251,000","0","251,000",
" ","1314  ","中石化          ","212,000","0","212,000",
" ","2392  ","正崴            ","210,000","0","210,000",
" ","2408  ","南亞科          ","209,000","0","209,000",
" ","1402  ","遠東新          ","205,000","0","205,000",
