"098年11月27日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2409  ","友達            ","7,984,000","0","7,984,000",
" ","3049  ","和鑫            ","6,068,000","0","6,068,000",
" ","1905  ","華紙            ","4,985,000","0","4,985,000",
" ","3009  ","奇美電          ","4,000,000","0","4,000,000",
" ","2475  ","華映            ","3,996,000","0","3,996,000",
" ","2481  ","強茂            ","3,927,000","0","3,927,000",
" ","6120  ","達運            ","3,055,000","0","3,055,000",
" ","2474  ","可成            ","2,577,000","0","2,577,000",
" ","8046  ","南電            ","2,177,000","0","2,177,000",
" ","2379  ","瑞昱            ","1,483,000","201,000","1,282,000",
" ","2439  ","美律            ","1,350,000","120,000","1,230,000",
" ","5471  ","松翰            ","1,200,000","10,000","1,190,000",
" ","3596  ","智易            ","1,028,000","0","1,028,000",
" ","3037  ","欣興            ","1,000,000","0","1,000,000",
" ","1313  ","聯成            ","956,000","0","956,000",
" ","1711  ","永光            ","925,000","0","925,000",
" ","2393  ","億光            ","766,000","0","766,000",
" ","3481  ","群創            ","719,000","0","719,000",
" ","2034  ","允強            ","650,000","0","650,000",
" ","5388  ","中磊            ","650,000","0","650,000",
" ","2355  ","敬鵬            ","601,000","0","601,000",
" ","2002  ","中鋼            ","590,000","0","590,000",
" ","3047  ","訊舟            ","527,000","0","527,000",
" ","3041  ","揚智            ","634,000","130,000","504,000",
" ","2403  ","友尚            ","483,000","0","483,000",
" ","3533  ","嘉澤            ","482,000","0","482,000",
" ","3607  ","谷崧            ","480,000","0","480,000",
" ","6213  ","聯茂            ","466,000","0","466,000",
" ","2014  ","中鴻            ","1,457,000","1,000,000","457,000",
" ","1723  ","中碳            ","443,000","0","443,000",
" ","1729  ","必翔            ","710,000","288,000","422,000",
" ","2455  ","全新            ","413,000","0","413,000",
" ","1701  ","中化            ","400,000","0","400,000",
" ","3443  ","創意            ","386,000","0","386,000",
" ","2049  ","上銀            ","319,000","0","319,000",
" ","3061  ","璨圓            ","309,000","0","309,000",
" ","1708  ","東鹼            ","300,000","0","300,000",
" ","3042  ","晶技            ","300,000","0","300,000",
" ","3060  ","銘異            ","300,000","0","300,000",
" ","1523  ","開億            ","280,000","0","280,000",
" ","9136  ","巨騰-DR         ","272,000","16,000","256,000",
" ","2406  ","國碩            ","250,000","0","250,000",
" ","1319  ","東陽            ","230,000","0","230,000",
" ","2395  ","研華            ","200,000","0","200,000",
" ","2441  ","超豐            ","200,000","0","200,000",
" ","3504  ","揚明光          ","200,000","0","200,000",
" ","1521  ","大億            ","251,000","62,000","189,000",
" ","2458  ","義隆            ","200,000","30,000","170,000",
" ","2204  ","中華            ","400,000","250,000","150,000",
" ","2404  ","漢唐            ","750,000","600,000","150,000",
" ","2421  ","建準            ","150,000","0","150,000",
" ","2456  ","奇力新          ","150,000","0","150,000",
" ","3494  ","誠研            ","150,000","0","150,000",
" ","3514  ","昱晶            ","150,000","0","150,000",
" ","8072  ","陞泰            ","142,000","0","142,000",
" ","8078  ","華寶            ","250,000","108,000","142,000",
" ","2607  ","榮運            ","137,000","0","137,000",
" ","2467  ","志聖            ","130,000","0","130,000",
" ","3653  ","健策            ","114,000","0","114,000",
" ","3045  ","台灣大          ","300,000","192,000","108,000",
" ","5607  ","遠雄港          ","106,000","0","106,000",
" ","1527  ","鑽全            ","100,000","0","100,000",
" ","2471  ","資通            ","100,000","0","100,000",
" ","3010  ","華立            ","100,000","0","100,000",
" ","4104  ","佳醫            ","100,000","0","100,000",
" ","6139  ","亞翔            ","100,000","0","100,000",
" ","1525  ","江申            ","90,000","0","90,000",
" ","2227  ","裕日車          ","80,000","0","80,000",
" ","5854  ","合庫            ","80,000","0","80,000",
" ","1540  ","喬福            ","70,000","0","70,000",
" ","3588  ","通嘉            ","150,000","80,000","70,000",
" ","2059  ","川湖            ","85,000","20,000","65,000",
" ","2448  ","晶電            ","255,000","200,000","55,000",
" ","6251  ","定穎            ","50,000","0","50,000",
" ","2485  ","兆赫            ","40,000","0","40,000",
" ","3576  ","聯合再生        ","250,000","210,000","40,000",
" ","3573  ","穎台            ","25,000","0","25,000",
" ","2823  ","中壽            ","200,000","180,000","20,000",
" ","6605  ","帝寶            ","20,000","0","20,000",
" ","2303  ","聯電            ","0","10,638,000","-10,638,000",
" ","2891  ","中信金          ","0","7,442,511","-7,442,511",
" ","2886  ","兆豐金          ","0","6,066,000","-6,066,000",
" ","2888  ","新光金          ","0","5,962,000","-5,962,000",
" ","3474  ","華亞科          ","0","4,947,000","-4,947,000",
" ","2890  ","永豐金          ","386,000","5,321,000","-4,935,000",
" ","2881  ","富邦金          ","200,000","4,830,000","-4,630,000",
" ","2892  ","第一金          ","0","4,264,875","-4,264,875",
" ","2356  ","英業達          ","0","4,000,000","-4,000,000",
" ","2887  ","台新金          ","0","3,498,000","-3,498,000",
" ","2201  ","裕隆            ","0","3,069,000","-3,069,000",
" ","2330  ","台積電          ","0","2,979,500","-2,979,500",
" ","2504  ","國產            ","0","2,965,200","-2,965,200",
" ","2106  ","建大            ","0","2,559,500","-2,559,500",
" ","2311  ","日月光          ","0","2,404,000","-2,404,000",
" ","1402  ","遠東新          ","0","2,327,000","-2,327,000",
" ","2489  ","瑞軒            ","0","2,182,000","-2,182,000",
" ","1216  ","統一            ","0","1,916,000","-1,916,000",
" ",="0061  ","元大寶滬深      ","0","1,900,000","-1,900,000",
" ","2915  ","潤泰全          ","0","1,828,000","-1,828,000",
" ","3005  ","神基            ","44,000","1,817,000","-1,773,000",
" ","9904  ","寶成            ","0","1,639,000","-1,639,000",
" ","2382  ","廣達            ","200,000","1,822,190","-1,622,190",
" ","1312  ","國喬            ","0","1,600,000","-1,600,000",
" ","4904  ","遠傳            ","0","1,600,000","-1,600,000",
" ","4906  ","正文            ","1,376,000","2,937,000","-1,561,000",
" ","1101  ","台泥            ","0","1,472,000","-1,472,000",
" ","1437  ","勤益控          ","0","1,450,000","-1,450,000",
" ","1201  ","味全            ","0","1,430,000","-1,430,000",
" ","2105  ","正新            ","0","1,127,000","-1,127,000",
" ","6239  ","力成            ","0","1,093,950","-1,093,950",
" ","2031  ","新光鋼          ","400,000","1,346,000","-946,000",
" ","2542  ","興富發          ","0","900,000","-900,000",
