"099年09月27日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","2885  ","元大金          ","10,681,000","404,000","10,277,000",
" ","1504  ","東元            ","3,674,000","4,000","3,670,000",
" ","2801  ","彰銀            ","2,788,000","7,000","2,781,000",
" ","2618  ","長榮航          ","2,228,000","2,000","2,226,000",
" ","3481  ","群創            ","1,765,000","38,000","1,727,000",
" ","6166  ","凌華            ","1,983,000","341,000","1,642,000",
" ","3049  ","和鑫            ","1,532,000","0","1,532,000",
" ","1301  ","台塑            ","1,410,000","8,000","1,402,000",
" ","8016  ","矽創            ","1,370,000","1,000","1,369,000",
" ","2892  ","第一金          ","1,262,000","27,850","1,234,150",
" ","5854  ","合庫            ","1,186,000","6,000","1,180,000",
" ","2903  ","遠百            ","1,414,000","266,666","1,147,334",
" ","3080  ","威力盟          ","1,138,000","0","1,138,000",
" ","3545  ","敦泰            ","1,105,000","0","1,105,000",
" ","1605  ","華新            ","1,100,000","4,000","1,096,000",
" ","1710  ","東聯            ","1,008,000","0","1,008,000",
" ","3060  ","銘異            ","1,000,000","0","1,000,000",
" ","3209  ","全科            ","859,000","0","859,000",
" ","2610  ","華航            ","822,000","1,000","821,000",
" ","1444  ","力麗            ","780,000","0","780,000",
" ","2457  ","飛宏            ","772,000","0","772,000",
" ","2887  ","台新金          ","750,000","10,000","740,000",
" ","3061  ","璨圓            ","720,000","1,364","718,636",
" ","1101  ","台泥            ","690,000","4,000","686,000",
" ","2412  ","中華電          ","991,000","368,000","623,000",
" ","1440  ","南紡            ","579,000","3,000","576,000",
" ","2409  ","友達            ","588,000","12,000","576,000",
" ","1711  ","永光            ","801,000","234,000","567,000",
" ","6285  ","啟碁            ","560,000","1,000","559,000",
" ","2448  ","晶電            ","506,000","1,000","505,000",
" ","2485  ","兆赫            ","1,000,000","500,000","500,000",
" ","2486  ","一詮            ","500,000","0","500,000",
" ","2823  ","中壽            ","500,000","0","500,000",
" ","1216  ","統一            ","498,000","2,000","496,000",
" ","2367  ","燿華            ","455,000","1,000","454,000",
" ","3406  ","玉晶光          ","460,000","114,000","346,000",
" ","911606","超級            ","322,000","0","322,000",
" ","3059  ","華晶科          ","300,000","1,000","299,000",
" ","1402  ","遠東新          ","364,000","104,000","260,000",
" ","3041  ","揚智            ","250,000","0","250,000",
" ","2884  ","玉山金          ","252,000","3,000","249,000",
" ","8081  ","致新            ","249,000","0","249,000",
" ","6278  ","台表科          ","217,000","0","217,000",
" ","1903  ","士紙            ","200,000","0","200,000",
" ","3047  ","訊舟            ","200,000","0","200,000",
" ","1314  ","中石化          ","185,000","2,000","183,000",
" ","1701  ","中化            ","170,000","0","170,000",
" ","2474  ","可成            ","193,000","24,000","169,000",
" ","2002  ","中鋼            ","150,000","9,000","141,000",
" ","3037  ","欣興            ","149,000","10,000","139,000",
" ","3534  ","雷凌            ","127,000","0","127,000",
" ","2385  ","群光            ","200,000","78,000","122,000",
" ","1473  ","台南            ","102,000","0","102,000",
" ","1537  ","廣隆            ","100,000","0","100,000",
" ","1733  ","五鼎            ","100,000","0","100,000",
" ","3044  ","健鼎            ","100,000","0","100,000",
" ","3189  ","景碩            ","100,000","0","100,000",
" ","9910  ","豐泰            ","100,000","0","100,000",
" ","1723  ","中碳            ","100,000","1,000","99,000",
" ","1521  ","大億            ","95,000","0","95,000",
" ","3588  ","通嘉            ","102,000","18,799","83,201",
" ","9914  ","美利達          ","83,000","0","83,000",
" ","1476  ","儒鴻            ","93,000","17,000","76,000",
" ","2911  ","麗嬰房          ","165,000","101,033","63,967",
" ","2601  ","益航            ","707,000","650,000","57,000",
" ","3026  ","禾伸堂          ","50,000","0","50,000",
" ","5471  ","松翰            ","50,000","1,000","49,000",
" ","2883  ","開發金          ","65,000","18,000","47,000",
" ","2499  ","東貝            ","80,000","34,159","45,841",
" ","2886  ","兆豐金          ","55,000","14,000","41,000",
" ","2317  ","鴻海            ","60,000","22,000","38,000",
" ","2498  ","宏達電          ","60,000","25,000","35,000",
" ","6206  ","飛捷            ","28,000","0","28,000",
" ","2707  ","晶華            ","20,000","0","20,000",
" ","2015  ","豐興            ","20,000","1,000","19,000",
" ","2201  ","裕隆            ","20,000","1,000","19,000",
" ","6286  ","立錡            ","20,000","10,000","10,000",
" ","3043  ","科風            ","0","5,156,000","-5,156,000",
" ","2384  ","勝華            ","182,000","3,440,000","-3,258,000",
" ","2504  ","國產            ","0","3,027,000","-3,027,000",
" ","8105  ","凌巨            ","785,000","3,163,000","-2,378,000",
" ","2404  ","漢唐            ","0","1,904,000","-1,904,000",
" ","2332  ","友訊            ","0","1,830,000","-1,830,000",
" ","9945  ","潤泰新          ","0","1,708,000","-1,708,000",
" ","2609  ","陽明            ","241,000","1,855,000","-1,614,000",
" ","2520  ","冠德            ","0","1,561,000","-1,561,000",
" ","1217  ","愛之味          ","0","1,500,000","-1,500,000",
" ","8039  ","台虹            ","110,000","1,446,000","-1,336,000",
" ","6153  ","嘉聯益          ","405,000","1,705,000","-1,300,000",
" ","1905  ","華紙            ","0","1,274,000","-1,274,000",
" ","2006  ","東和鋼鐵        ","0","1,236,000","-1,236,000",
" ","2481  ","強茂            ","460,000","1,672,450","-1,212,450",
" ","2330  ","台積電          ","35,000","1,166,000","-1,131,000",
" ","1201  ","味全            ","0","1,058,000","-1,058,000",
" ","2103  ","台橡            ","0","917,000","-917,000",
" ","3576  ","聯合再生        ","0","876,000","-876,000",
" ","3450  ","聯鈞            ","119,000","901,000","-782,000",
" ","2547  ","日勝生          ","0","650,000","-650,000",
" ","9911  ","櫻花            ","0","623,000","-623,000",
" ","2360  ","致茂            ","0","591,301","-591,301",
" ","2455  ","全新            ","17,000","596,000","-579,000",
" ","2605  ","新興            ","0","571,000","-571,000",
" ","2882  ","國泰金          ","0","569,000","-569,000",
" ","5534  ","長虹            ","0","561,060","-561,060",
" ","3584  ","介面            ","0","549,000","-549,000",
" ","9934  ","成霖            ","0","461,000","-461,000",
" ","1702  ","南僑            ","0","460,000","-460,000",
" ","2311  ","日月光          ","0","458,000","-458,000",
" ","9933  ","中鼎            ","0","456,000","-456,000",
" ","3017  ","奇鋐            ","0","423,000","-423,000",
" ","2049  ","上銀            ","0","387,400","-387,400",
" ","8046  ","南電            ","0","353,000","-353,000",
" ","3561  ","昇陽光電        ","0","352,000","-352,000",
" ","2308  ","台達電          ","0","315,000","-315,000",
" ","3030  ","德律            ","0","301,000","-301,000",
" ","2387  ","精元            ","0","292,000","-292,000",
" ","1708  ","東鹼            ","0","290,000","-290,000",
" ","3311  ","閎暉            ","0","277,276","-277,276",
" ","2324  ","仁寶            ","0","277,000","-277,000",
" ","1447  ","力鵬            ","0","251,000","-251,000",
" ","2395  ","研華            ","0","245,000","-245,000",
" ","2347  ","聯強            ","0","228,465","-228,465",
" ","2105  ","正新            ","0","226,000","-226,000",
" ","5388  ","中磊            ","0","222,000","-222,000",
" ","3042  ","晶技            ","0","220,336","-220,336",
" ","2327  ","國巨            ","0","212,000","-212,000",
" ","3579  ","尚志            ","0","208,000","-208,000",
" ","2355  ","敬鵬            ","0","203,550","-203,550",
" ","1312  ","國喬            ","100,000","301,000","-201,000",
" ","2606  ","裕民            ","0","200,000","-200,000",
" ","2915  ","潤泰全          ","0","200,000","-200,000",
" ","3058  ","立德            ","0","200,000","-200,000",
" ","4133  ","亞諾法          ","0","195,000","-195,000",
" ","1704  ","榮化            ","100,000","290,000","-190,000",
" ","2227  ","裕日車          ","65,000","249,000","-184,000",
" ","1319  ","東陽            ","0","175,000","-175,000",
" ","3653  ","健策            ","0","168,000","-168,000",
" ","3045  ","台灣大          ","0","164,000","-164,000",
" ","3519  ","綠能            ","0","163,000","-163,000",
" ","3164  ","景岳            ","0","160,000","-160,000",
" ","2612  ","中航            ","0","150,000","-150,000",
" ","6226  ","光鼎            ","0","150,000","-150,000",
" ","2104  ","國際中橡        ","0","148,000","-148,000",
" ","2536  ","宏普            ","0","142,000","-142,000",
" ","2538  ","基泰            ","0","120,000","-120,000",
" ","3034  ","聯詠            ","184,000","300,000","-116,000",
" ","2454  ","聯發科          ","23,000","129,868","-106,868",
