"099年05月20日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
"2887  ","台新金          ","2,668,000","365,000","2,303,000",
="04671 ","凱基5U          ","3,032,000","947,000","2,085,000",
="03726 ","凱基2Y          ","2,081,000","304,000","1,777,000",
"2610  ","華航            ","2,030,000","511,000","1,519,000",
="03824 ","元大71          ","1,817,000","432,000","1,385,000",
="04822P","台積電元富94售08","1,500,000","120,000","1,380,000",
="06426 ","大華CL          ","1,270,000","0","1,270,000",
="03920P","大立光凱基93售20","1,418,000","207,000","1,211,000",
"1905  ","華紙            ","1,050,000","1,000","1,049,000",
="07168 ","第一29          ","1,105,000","102,000","1,003,000",
="03105 ","元大9Q          ","1,116,000","137,000","979,000",
="04499 ","國泰GX          ","1,028,000","55,000","973,000",
="03917 ","富邦CD          ","964,000","5,000","959,000",
="07302P","儒鴻國泰8B售01  ","1,533,000","578,000","955,000",
="04296 ","元大BX          ","1,406,000","463,000","943,000",
"2311  ","日月光          ","1,595,740","661,000","934,740",
="04121 ","群益57          ","984,000","57,000","927,000",
="07653 ","元大7N          ","891,000","0","891,000",
="07720 ","元大8F          ","959,000","109,000","850,000",
="06494 ","永昌JG          ","823,000","0","823,000",
="06517P","滬深2X元大89售01","792,000","0","792,000",
"1444  ","力麗            ","770,000","0","770,000",
="03506 ","富邦AP          ","851,000","100,000","751,000",
"2618  ","長榮航          ","891,000","172,000","719,000",
="030005","高鐵元大84購03  ","724,000","10,000","714,000",
="07392 ","富邦H3          ","1,328,000","615,000","713,000",
="04578 ","統一EM          ","727,000","20,000","707,000",
="07290 ","統一G3          ","975,000","268,000","707,000",
="03615 ","群益33          ","820,000","161,000","659,000",
="07865 ","元大8Q          ","674,000","20,000","654,000",
="03276 ","寶來78          ","922,000","297,000","625,000",
="05148 ","統一GY          ","723,000","99,000","624,000",
="03223 ","富邦N4          ","1,293,000","684,000","609,000",
="03226 ","富邦N7          ","594,000","0","594,000",
="05001P","華通統一95售01  ","678,000","114,000","564,000",
="07758 ","日盛LT          ","560,000","0","560,000",
="04294 ","元大BV          ","568,000","50,000","518,000",
="03756 ","國泰FS          ","699,000","185,000","514,000",
="03622 ","永豐4A          ","593,000","86,000","507,000",
="03024 ","日盛ME          ","499,000","0","499,000",
="06900 ","元大3R          ","496,000","0","496,000",
="07112 ","日盛KJ          ","497,000","12,000","485,000",
="03245 ","日盛MU          ","808,000","328,000","480,000",
="04495 ","統一DX          ","479,000","10,000","469,000",
="06385 ","統一98          ","469,000","1,000","468,000",
="03248 ","日盛MX          ","473,000","13,000","460,000",
="05160 ","元大GC          ","473,000","15,000","458,000",
"2327  ","國巨            ","1,246,000","791,000","455,000",
="03859 ","富邦BZ          ","449,000","0","449,000",
="04237 ","工銀LC          ","668,000","227,000","441,000",
="08373P","台積電統一8C售05","1,601,000","1,160,000","441,000",
="04257 ","永豐7L          ","827,000","387,000","440,000",
="06448 ","元大1H          ","510,000","75,000","435,000",
="03574 ","永豐3T          ","432,000","0","432,000",
="07538 ","國泰EC          ","547,000","116,000","431,000",
="06438 ","凱基MI          ","628,000","206,000","422,000",
="04074 ","元大AB          ","450,000","36,000","414,000",
="07471 ","永豐51          ","410,000","0","410,000",
"2376  ","技嘉            ","555,000","146,000","409,000",
="03579 ","永豐3Y          ","699,000","295,000","404,000",
="07078 ","工銀IC          ","403,000","0","403,000",
="08349 ","永豐LF          ","396,000","0","396,000",
="03418P","台積電統一94售01","406,000","11,000","395,000",
="07734 ","凱基37          ","442,000","55,000","387,000",
="06946 ","元富EU          ","385,000","0","385,000",
="04011 ","富邦CY          ","407,000","30,000","377,000",
"910579","歐聖            ","371,000","0","371,000",
="07527 ","元大6N          ","368,000","0","368,000",
="03366 ","富邦AC          ","386,000","25,000","361,000",
"3017  ","奇鋐            ","618,000","260,000","358,000",
="07346 ","永豐18          ","518,000","165,000","353,000",
="03571 ","永豐3Q          ","429,000","80,000","349,000",
="05210 ","兆豐AH          ","441,000","95,000","346,000",
="03257 ","永豐1K          ","348,000","5,000","343,000",
="08328 ","元富EA          ","338,000","0","338,000",
="03662 ","元大53          ","812,000","476,000","336,000",
="06431 ","台証B7          ","330,000","0","330,000",
="03061 ","大華GI          ","320,000","0","320,000",
="04879 ","元大EC          ","322,000","4,000","318,000",
="03131 ","群益NK          ","440,000","130,000","310,000",
="03838 ","工銀KH          ","315,000","5,000","310,000",
="03098 ","元大9F          ","427,000","121,000","306,000",
="04854 ","統一FX          ","324,000","20,000","304,000",
="03672 ","寶來A1          ","324,000","22,000","302,000",
="04823 ","寶來C9          ","510,000","208,000","302,000",
="03686 ","大華JZ          ","301,000","0","301,000",
="07925 ","大華FZ          ","301,000","0","301,000",
"1314  ","中石化          ","1,158,000","857,000","301,000",
="07197 ","統一G2          ","297,000","0","297,000",
="08398P","台灣50永豐92售01","762,000","465,000","297,000",
="08452 ","元大CT          ","297,000","0","297,000",
="03883 ","永昌LP          ","781,000","486,000","295,000",
="03638 ","永昌LD          ","327,000","33,000","294,000",
="04328 ","元大BZ          ","299,000","5,000","294,000",
="06927 ","日盛JJ          ","427,000","135,000","292,000",
="04286 ","凱基4H          ","300,000","10,000","290,000",
="03772 ","永豐4L          ","329,000","41,000","288,000",
="06655 ","元大2F          ","287,000","0","287,000",
="08454 ","元大CV          ","297,000","10,000","287,000",
"2403  ","友尚            ","449,000","163,000","286,000",
="04234 ","元富LC          ","950,000","667,000","283,000",
="03438 ","第一45          ","379,000","99,000","280,000",
="03089 ","元富JQ          ","277,000","0","277,000",
="05233 ","日盛90          ","297,000","20,000","277,000",
="08347 ","群益LE          ","297,000","20,000","277,000",
="03008 ","元富HY          ","360,000","88,000","272,000",
="03107 ","元大9S          ","597,000","326,000","271,000",
="04899 ","凱基7D          ","370,000","99,000","271,000",
"1310  ","台苯            ","427,000","158,000","269,000",
="03834 ","工銀KD          ","329,000","61,000","268,000",
="03000 ","永豐98          ","1,007,000","742,000","265,000",
="03012 ","元富JC          ","264,000","0","264,000",
="03106P","南寶統一91售03  ","629,000","367,000","262,000",
="03394 ","永豐2C          ","410,000","148,000","262,000",
="03262P","瑞昱統一92售03  ","482,000","221,000","261,000",
="03479 ","工銀JK          ","310,000","50,000","260,000",
="04965 ","元富NF          ","260,000","0","260,000",
"6285  ","啟碁            ","499,000","240,000","259,000",
="06398 ","元大J5          ","257,000","0","257,000",
="07453 ","元大5X          ","265,000","11,000","254,000",
"6209  ","今國光          ","280,000","26,000","254,000",
="07989 ","元大8Z          ","251,000","0","251,000",
="05182 ","永豐E2          ","250,000","0","250,000",
="07364 ","大華EA          ","250,000","0","250,000",
="07572 ","亞東FZ          ","250,000","0","250,000",
="07070 ","日盛JT          ","249,000","0","249,000",
="04381 ","國泰GM          ","258,000","10,000","248,000",
="03623 ","永豐4B          ","247,000","0","247,000",
="04609P","健策永豐94售01  ","419,000","172,000","247,000",
="07867 ","元大8S          ","317,000","71,000","246,000",
="03944 ","日盛15          ","855,000","610,000","245,000",
="04455 ","富邦DX          ","250,000","10,000","240,000",
="04650 ","兆豐L9          ","250,000","10,000","240,000",
="07631 ","富邦K3          ","240,000","0","240,000",
="03894 ","康和CC          ","235,000","0","235,000",
="03399 ","群益NZ          ","229,000","0","229,000",
="03605 ","群益23          ","336,000","107,000","229,000",
="04445 ","元富LL          ","268,000","40,000","228,000",
="05101 ","統一GS          ","656,000","428,000","228,000",
="03326 ","元大23          ","235,000","10,000","225,000",
="04498 ","統一EA          ","224,000","0","224,000",
="03343 ","元富KH          ","420,000","199,000","221,000",
="05246 ","凱基8E          ","747,000","526,000","221,000",
="07455P","鴻海國泰8B售10  ","221,000","0","221,000",
="07698 ","富邦K8          ","269,000","50,000","219,000",
="06447 ","日盛HC          ","218,000","0","218,000",
="08369P","台灣50國票8C售02","505,000","287,000","218,000",
="04144 ","元大AS          ","674,000","458,000","216,000",
="08428P","臺股指統一91售02","545,000","329,000","216,000",
="08392P","台灣50兆豐93售01","719,000","504,000","215,000",
