"101年03月03日 投信買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","4960  ","誠美材          ","3,354,000","100,000","3,254,000",
" ","9945  ","潤泰新          ","3,121,000","29,000","3,092,000",
" ","2323  ","中環            ","3,044,000","0","3,044,000",
" ","8213  ","志超            ","2,326,000","0","2,326,000",
" ","3041  ","揚智            ","2,000,000","70,000","1,930,000",
" ","3406  ","玉晶光          ","1,868,000","0","1,868,000",
" ","5871  ","中租-KY         ","1,054,000","0","1,054,000",
" ","2313  ","華通            ","1,000,000","0","1,000,000",
" ","1722  ","台肥            ","808,000","0","808,000",
" ","1513  ","中興電          ","800,000","0","800,000",
" ","6239  ","力成            ","1,744,000","948,000","796,000",
" ","6257  ","矽格            ","630,000","0","630,000",
" ","1227  ","佳格            ","1,115,000","498,000","617,000",
" ","3698  ","隆達            ","458,000","0","458,000",
" ","2454  ","聯發科          ","436,000","7,000","429,000",
" ","2455  ","全新            ","374,000","0","374,000",
" ","4938  ","和碩            ","365,000","0","365,000",
" ","3645  ","達邁            ","363,000","0","363,000",
" ","5388  ","中磊            ","350,000","0","350,000",
" ","3653  ","健策            ","328,000","0","328,000",
" ","9914  ","美利達          ","774,000","448,000","326,000",
" ","3042  ","晶技            ","300,000","0","300,000",
" ","1519  ","華城            ","299,000","0","299,000",
" ","3356  ","奇偶            ","290,000","0","290,000",
" ","8131  ","福懋科          ","280,000","0","280,000",
" ","2520  ","冠德            ","250,000","0","250,000",
" ","2474  ","可成            ","266,000","20,000","246,000",
" ","1729  ","必翔            ","200,000","0","200,000",
" ","5215  ","科嘉-KY         ","170,000","0","170,000",
" ","2511  ","太子            ","160,000","0","160,000",
" ","1789  ","神隆            ","156,000","0","156,000",
" ","2601  ","益航            ","150,000","0","150,000",
" ","3022  ","威強電          ","150,000","0","150,000",
" ","9905  ","大華            ","150,000","0","150,000",
" ","4904  ","遠傳            ","126,000","0","126,000",
" ","3638  ","F-IML           ","112,000","0","112,000",
" ","6269  ","台郡            ","605,000","496,000","109,000",
" ","6176  ","瑞儀            ","165,000","57,000","108,000",
" ","1477  ","聚陽            ","100,000","0","100,000",
" ","2383  ","台光電          ","100,000","0","100,000",
" ","2489  ","瑞軒            ","100,000","0","100,000",
" ","4532  ","瑞智            ","100,000","0","100,000",
" ","3697  ","F-晨星          ","98,000","0","98,000",
" ","1201  ","味全            ","90,000","0","90,000",
" ","2448  ","晶電            ","80,000","0","80,000",
" ","3605  ","宏致            ","80,000","0","80,000",
" ","2498  ","宏達電          ","63,000","5,000","58,000",
" ","3015  ","全漢            ","54,000","0","54,000",
" ","1702  ","南僑            ","50,000","0","50,000",
" ","2497  ","怡利電          ","50,000","0","50,000",
" ","2838  ","聯邦銀          ","48,000","0","48,000",
" ","1507  ","永大            ","46,000","0","46,000",
" ","1216  ","統一            ","37,000","0","37,000",
" ","1326  ","台化            ","37,000","0","37,000",
" ","2887  ","台新金          ","30,000","0","30,000",
" ","4958  ","臻鼎-KY         ","30,000","0","30,000",
" ","2723  ","美食-KY         ","26,000","0","26,000",
" ","6192  ","巨路            ","25,000","0","25,000",
" ","9911  ","櫻花            ","25,000","0","25,000",
" ","2707  ","晶華            ","24,000","0","24,000",
" ","2355  ","敬鵬            ","20,000","0","20,000",
" ","2705  ","六福            ","20,000","0","20,000",
" ","2823  ","中壽            ","20,000","0","20,000",
" ","5203  ","訊連            ","19,000","0","19,000",
" ","2451  ","創見            ","75,000","68,000","7,000",
" ","2618  ","長榮航          ","0","3,315,000","-3,315,000",
" ","6153  ","嘉聯益          ","250,000","3,287,000","-3,037,000",
" ","3576  ","聯合再生        ","0","2,574,000","-2,574,000",
" ","2325  ","矽品            ","0","2,500,000","-2,500,000",
" ","2317  ","鴻海            ","47,000","2,338,000","-2,291,000",
" ","1312  ","國喬            ","0","2,200,000","-2,200,000",
" ","2891  ","中信金          ","0","2,200,000","-2,200,000",
" ","2337  ","旺宏            ","0","2,000,000","-2,000,000",
" ","2886  ","兆豐金          ","0","1,985,000","-1,985,000",
" ","2892  ","第一金          ","0","1,841,422","-1,841,422",
" ","6120  ","達運            ","0","1,721,000","-1,721,000",
" ","1710  ","東聯            ","0","1,661,000","-1,661,000",
" ","1314  ","中石化          ","0","1,486,000","-1,486,000",
" ","2402  ","毅嘉            ","0","1,400,000","-1,400,000",
" ","2311  ","日月光          ","0","1,333,883","-1,333,883",
" ","2603  ","長榮            ","0","1,179,000","-1,179,000",
" ","1455  ","集盛            ","0","1,150,000","-1,150,000",
" ","2330  ","台積電          ","0","1,128,000","-1,128,000",
" ","2379  ","瑞昱            ","0","1,052,000","-1,052,000",
" ","1605  ","華新            ","0","1,023,000","-1,023,000",
" ","8078  ","華寶            ","0","1,020,000","-1,020,000",
" ","8101  ","華冠            ","0","1,004,000","-1,004,000",
" ","3481  ","群創            ","0","1,000,000","-1,000,000",
" ","1210  ","大成            ","38,000","742,000","-704,000",
" ","2382  ","廣達            ","0","641,000","-641,000",
" ","3189  ","景碩            ","0","539,000","-539,000",
" ","3311  ","閎暉            ","0","528,000","-528,000",
" ","1907  ","永豐餘          ","0","513,000","-513,000",
" ","2915  ","潤泰全          ","0","508,000","-508,000",
" ","3037  ","欣興            ","0","492,000","-492,000",
" ","2002  ","中鋼            ","0","485,770","-485,770",
" ","2347  ","聯強            ","130,000","600,000","-470,000",
" ","2409  ","友達            ","0","450,000","-450,000",
" ","3545  ","敦泰            ","0","420,000","-420,000",
" ","3231  ","緯創            ","0","392,000","-392,000",
" ","1402  ","遠東新          ","0","390,000","-390,000",
" ","3514  ","昱晶            ","0","390,000","-390,000",
" ","2201  ","裕隆            ","0","325,000","-325,000",
" ",="0055  ","元大MSCI金融    ","0","300,000","-300,000",
" ","4725  ","信昌化          ","0","300,000","-300,000",
" ","6278  ","台表科          ","0","300,000","-300,000",
" ","9934  ","成霖            ","0","282,000","-282,000",
" ","3673  ","TPK-KY          ","558,000","827,000","-269,000",
" ","2439  ","美律            ","35,000","300,000","-265,000",
" ","3034  ","聯詠            ","0","260,000","-260,000",
" ","1308  ","亞聚            ","0","250,000","-250,000",
" ","1701  ","中化            ","0","250,000","-250,000",
" ","2303  ","聯電            ","0","250,000","-250,000",
" ","1723  ","中碳            ","0","226,000","-226,000",
" ","2308  ","台達電          ","0","208,000","-208,000",
" ","5706  ","鳳凰            ","0","206,000","-206,000",
" ","1521  ","大億            ","50,000","255,000","-205,000",
" ","2104  ","國際中橡        ","0","200,000","-200,000",
" ","2473  ","思源            ","0","200,000","-200,000",
" ","6166  ","凌華            ","0","200,000","-200,000",
" ","2458  ","義隆            ","224,000","411,000","-187,000",
" ","1102  ","亞泥            ","0","181,240","-181,240",
" ","3036  ","文曄            ","0","180,000","-180,000",
" ","8081  ","致新            ","65,000","242,000","-177,000",
" ","1304  ","台聚            ","0","175,000","-175,000",
" ","1590  ","亞德客-KY       ","0","167,000","-167,000",
" ","2885  ","元大金          ","0","166,000","-166,000",
" ","2881  ","富邦金          ","44,000","207,000","-163,000",
" ","2014  ","中鴻            ","0","160,000","-160,000",
" ","2353  ","宏碁            ","160,000","320,000","-160,000",
" ","2882  ","國泰金          ","44,000","204,000","-160,000",
" ","2905  ","三商            ","0","157,837","-157,837",
" ","3383  ","新世紀          ","0","148,000","-148,000",
