"096年11月20日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="07216 ","永豐NE          ","17,855,000","3,777,000","14,078,000",
="07217 ","永豐NF          ","17,134,000","3,060,000","14,074,000",
="07226 ","永豐NP          ","14,405,000","404,000","14,001,000",
="07229 ","永豐NS          ","14,067,000","66,000","14,001,000",
="07225 ","永豐NN          ","14,431,000","431,000","14,000,000",
="07231 ","富邦G4          ","14,009,000","9,000","14,000,000",
="07224 ","永豐NM          ","14,312,000","321,000","13,991,000",
="07219 ","永豐NH          ","15,701,000","1,712,000","13,989,000",
="07221 ","永豐NJ          ","15,912,000","1,927,000","13,985,000",
="07232 ","富邦G5          ","15,419,000","1,438,000","13,981,000",
="07228 ","永豐NR          ","14,613,000","635,000","13,978,000",
="07218 ","永豐NG          ","16,044,000","2,069,000","13,975,000",
="07223 ","永豐NL          ","17,163,000","3,190,000","13,973,000",
="07227 ","永豐NQ          ","14,236,000","269,000","13,967,000",
="07233 ","富邦G6          ","14,709,000","808,000","13,901,000",
="07222 ","永豐NK          ","15,884,000","2,016,000","13,868,000",
"2475  ","華映            ","3,232,000","1,434,000","1,798,000",
"2384  ","勝華            ","2,703,000","1,502,000","1,201,000",
="05773 ","國泰CK          ","1,220,000","24,000","1,196,000",
"3009  ","奇美電          ","6,517,000","5,405,000","1,112,000",
"2890  ","永豐金          ","1,227,000","233,000","994,000",
="05344 ","台証64          ","1,094,000","201,000","893,000",
="06431P","玉晶光永豐88售03","1,159,000","309,000","850,000",
"2352  ","佳世達          ","850,000","0","850,000",
="05495 ","國泰CB          ","847,000","37,000","810,000",
"2891  ","中信金          ","742,000","31,000","711,000",
="05148 ","統一GY          ","713,000","15,000","698,000",
"1303  ","南亞            ","1,299,000","614,000","685,000",
"6505  ","台塑化          ","780,000","159,000","621,000",
="05286 ","台証55          ","600,000","0","600,000",
="05222 ","統一HJ          ","583,000","20,000","563,000",
"2887  ","台新金          ","605,000","60,000","545,000",
"2330  ","台積電          ","1,041,000","508,000","533,000",
"1305  ","華夏            ","530,000","0","530,000",
"2823  ","中壽            ","1,266,000","754,000","512,000",
"1301  ","台塑            ","1,103,000","600,000","503,000",
"2340  ","光磊            ","500,000","10,000","490,000",
"2458  ","義隆            ","733,000","283,000","450,000",
="05943P","嘉澤元大88售01  ","495,000","65,000","430,000",
"2317  ","鴻海            ","733,000","312,000","421,000",
"2882  ","國泰金          ","1,335,000","958,000","377,000",
="05257 ","工銀FS          ","369,000","0","369,000",
"2332  ","友訊            ","384,000","33,000","351,000",
="05575 ","元大NC          ","349,000","0","349,000",
"2347  ","聯強            ","1,057,000","710,000","347,000",
="05339 ","永豐CY          ","697,000","359,000","338,000",
