"097年10月15日 自營商買賣超彙總表"
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
="05934 ","國票F8          ","15,638,000","1,138,000","14,500,000",
="05936 ","日盛FS          ","15,439,000","939,000","14,500,000",
="05937 ","國票G2          ","14,672,000","172,000","14,500,000",
="05935 ","國票F9          ","15,470,000","980,000","14,490,000",
="05932 ","永豐GI          ","14,032,000","48,000","13,984,000",
="05933 ","永豐GJ          ","14,551,000","601,000","13,950,000",
="03041 ","寶來52          ","2,339,000","0","2,339,000",
="05167 ","群益E6          ","3,820,000","1,956,000","1,864,000",
="05824 ","群益HF          ","2,477,000","978,000","1,499,000",
="04163P","可成統一93售03  ","1,302,000","30,000","1,272,000",
"2834  ","臺企銀          ","1,826,000","681,000","1,145,000",
="05517 ","凱基JU          ","956,000","96,000","860,000",
="03035 ","寶來EP          ","1,970,000","1,198,000","772,000",
="04755 ","群益96          ","1,131,000","419,000","712,000",
="04978 ","永豐A8          ","726,000","158,000","568,000",
="05830 ","康和AS          ","802,000","245,000","557,000",
="04350 ","統一DI          ","544,000","0","544,000",
="04084 ","亞東HY          ","543,000","0","543,000",
"9907  ","統一實          ","508,000","653","507,347",
="05151 ","統一HB          ","625,000","132,000","493,000",
="05492 ","國泰BY          ","1,883,000","1,409,000","474,000",
"2303  ","聯電            ","1,440,000","972,000","468,000",
="05407 ","富邦68          ","2,765,000","2,315,000","450,000",
="0053  ","元大電子        ","417,000","10,000","407,000",
"3474  ","華亞科          ","614,000","254,000","360,000",
="05823 ","永豐FM          ","895,000","578,000","317,000",
="04769 ","統一MS          ","314,000","0","314,000",
="05713 ","永豐EW          ","1,584,000","1,281,000","303,000",
"2847  ","大眾銀          ","301,000","0","301,000",
="05280 ","永豐CM          ","358,000","75,000","283,000",
="03388 ","大華HK          ","374,000","94,000","280,000",
"3231  ","緯創            ","278,000","0","278,000",
="04201P","智原群益93售01  ","275,000","0","275,000",
="04972 ","永昌NF          ","1,979,000","1,712,000","267,000",
="05819 ","永豐FI          ","512,000","259,000","253,000",
="05440 ","康和AP          ","963,000","712,000","251,000",
="05692 ","台証86          ","1,343,000","1,093,000","250,000",
="04977 ","永豐A7          ","546,000","302,000","244,000",
="03043 ","寶來54          ","242,000","0","242,000",
="05342 ","台証62          ","1,521,000","1,279,000","242,000",
="05372 ","元大LZ          ","236,000","0","236,000",
"2368  ","金像電          ","237,000","2,028","234,972",
"3005  ","神基            ","230,000","281","229,719",
="05096 ","凱基7W          ","392,000","180,000","212,000",
="04993 ","日盛77          ","611,000","400,000","211,000",
="05600 ","永豐EE          ","1,883,000","1,672,000","211,000",
="05139 ","元富NU          ","457,000","249,000","208,000",
="05822 ","永豐FL          ","880,000","675,000","205,000",
="04866 ","寶來JX          ","1,762,000","1,562,000","200,000",
="03042 ","寶來53          ","198,000","0","198,000",
="03044 ","寶來55          ","198,000","0","198,000",
="05305 ","元富AH          ","1,101,000","905,000","196,000",
="05881 ","國泰CP          ","590,000","394,000","196,000",
"2379  ","瑞昱            ","199,000","5,000","194,000",
="05693 ","台証87          ","1,272,000","1,081,000","191,000",
="05703 ","金鼎AJ          ","438,000","252,000","186,000",
"2886  ","兆豐金          ","181,000","0","181,000",
="05434 ","大華N6          ","410,000","230,000","180,000",
="05270 ","大華L9          ","1,091,000","915,000","176,000",
="05443 ","宏遠35          ","2,010,000","1,834,000","176,000",
="05124 ","富邦EM          ","175,000","1,000","174,000",
="04233 ","元富LB          ","522,000","349,000","173,000",
="04083 ","亞東HX          ","168,000","0","168,000",
"2325  ","矽品            ","383,000","215,000","168,000",
"2498  ","宏達電          ","290,999","124,000","166,999",
="05343 ","台証63          ","2,204,000","2,038,000","166,000",
"3481  ","群創            ","194,500","31,000","163,500",
"6116  ","彩晶            ","228,000","66,198","161,802",
="03752 ","元大60          ","161,000","0","161,000",
="05820 ","永豐FJ          ","1,307,000","1,146,000","161,000",
="05154 ","統一HE          ","346,000","188,000","158,000",
="05646 ","凱基JY          ","779,000","625,000","154,000",
="05355 ","統一01          ","435,000","284,000","151,000",
="05743 ","群益HC          ","818,000","668,000","150,000",
"1503  ","士電            ","150,000","0","150,000",
"2103  ","台橡            ","150,000","613","149,387",
="05364 ","亞東EA          ","801,000","654,000","147,000",
="03235 ","元富KB          ","145,000","0","145,000",
"1402  ","遠東新          ","347,000","204,770","142,230",
="04842 ","凱基6P          ","140,000","0","140,000",
"2006  ","東和鋼鐵        ","249,000","109,743","139,257",
="05583 ","群益GK          ","946,000","811,000","135,000",
="05773 ","國泰CK          ","131,000","0","131,000",
"2454  ","聯發科          ","248,000","121,000","127,000",
="04857 ","統一GA          ","460,000","336,000","124,000",
="03045 ","寶來56          ","120,000","0","120,000",
="04864 ","亞東JY          ","275,000","160,000","115,000",
="04970 ","元富NL          ","135,000","20,000","115,000",
"2347  ","聯強            ","245,000","130,200","114,800",
="05800 ","永昌HC          ","1,028,000","914,000","114,000",
"6176  ","瑞儀            ","120,000","7,000","113,000",
"2391  ","合勤            ","118,000","5,435","112,565",
="05855 ","兆豐NS          ","838,000","726,000","112,000",
"2474  ","可成            ","309,000","197,517","111,483",
="05179 ","永豐D8          ","473,000","362,000","111,000",
="05710 ","大華AY          ","373,000","263,000","110,000",
"6239  ","力成            ","113,000","3,000","110,000",
="05605 ","統一16          ","697,000","588,000","109,000",
="05704 ","統一29          ","1,062,000","957,000","105,000",
="05846 ","永豐FZ          ","636,000","532,000","104,000",
="08051 ","金鼎AN          ","159,000","56,000","103,000",
="04336 ","國泰GJ          ","103,000","1,000","102,000",
="05114 ","群益D7          ","151,000","50,000","101,000",
"2105  ","正新            ","110,000","9,760","100,240",
="04798 ","永昌MW          ","99,000","0","99,000",
="04835 ","兆豐N1          ","155,000","56,000","99,000",
="05832 ","康和AU          ","1,013,000","915,000","98,000",
="05011 ","統一GF          ","107,000","10,000","97,000",
="05224 ","統一HL          ","993,000","897,000","96,000",
"3042  ","晶技            ","116,000","20,190","95,810",
="05491 ","國泰BX          ","1,089,000","995,000","94,000",
="05074 ","永昌NN          ","406,000","313,000","93,000",
"2888  ","新光金          ","94,000","1,000","93,000",
="05508 ","元富AQ          ","2,375,000","2,288,000","87,000",
"2475  ","華映            ","128,000","41,000","87,000",
"5471  ","松翰            ","86,000","627","85,373",
